slot	count	value	split	UCUM	confidence	notes
suspend_solids		gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	milligram per liter	mg/L	high	Exact match on UCUM description
suspend_solids		gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	mole per liter	mol/L	high	Exact match on UCUM description
suspend_solids		gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	part per million	[ppm]	high	Exact match on UCUM description
tan		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
temp	4900.0	degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
temp_out		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
timepoint		hours or days	hours or days		none	No match found
toluene		milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
toluene		milligram per liter, parts per million	parts per million		none	No match found
tot_carb	192.0					
tot_depth_water_col		meter	meter	m	high	Exact match on UCUM description
tot_diss_nitro		microgram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_inorg_nitro		microgram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_iron		milligram per liter, milligram per kilogram	milligram per kilogram	mg/kg	high	Exact match on UCUM description
tot_iron		milligram per liter, milligram per kilogram	milligram per liter	mg/L	high	Exact match on UCUM description
tot_nitro	103.0	microgram per liter, micromole per liter, milligram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_nitro	103.0	microgram per liter, micromole per liter, milligram per liter	micromole per liter	umol/L	high	Exact match on UCUM description
tot_nitro	103.0	microgram per liter, micromole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
tot_nitro_content	1432.0					
tot_org_carb	26.0	gram Carbon per kilogram sample material	gram Carbon per kilogram sample material		none	No match found
tot_part_carb		microgram per liter, micromole per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_part_carb		microgram per liter, micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
tot_phosp	172.0	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
tot_phosp	172.0	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
tot_phosp	172.0	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
tot_phosphate		microgram per liter, micromole per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_phosphate		microgram per liter, micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
tot_sulfur		milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
tot_sulfur		milligram per liter, parts per million	parts per million		none	No match found
tvdss_of_hcr_press		meter	meter	m	high	Exact match on UCUM description
tvdss_of_hcr_temp		meter	meter	m	high	Exact match on UCUM description
ventilation_rate		cubic meter per minute, liters per second	cubic meter per minute		none	No match found
ventilation_rate		cubic meter per minute, liters per second	liters per second		none	No match found
vfa		milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
vfa		milligram per liter, parts per million	parts per million		none	No match found
vfa_fw		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
viscosity		cP at degree Celsius	cP at degree Celsius		none	No match found
volatile_org_comp		microgram per cubic meter, parts per million, nanogram per liter	microgram per cubic meter	ug/m3	high	Exact match on UCUM description
volatile_org_comp		microgram per cubic meter, parts per million, nanogram per liter	nanogram per liter	ng/L	high	Exact match on UCUM description
volatile_org_comp		microgram per cubic meter, parts per million, nanogram per liter	parts per million		none	No match found
wall_area		square meter	square meter	m2	high	Exact match on UCUM description
wall_height		centimeter	centimeter	cm	high	Exact match on UCUM description
wall_thermal_mass		joule per degree Celsius	joule per degree Celsius		none	No match found
water_content	4331.0	gram per gram or cubic centimeter per cubic centimeter	gram per gram or cubic centimeter per cubic centimeter		none	No match found
water_current		cubic meter per second, knots	cubic meter per second	m3/s	high	Exact match on UCUM description
water_current		cubic meter per second, knots	knots		none	No match found
water_cut		percent	percent	%	high	Exact match on UCUM description
water_feat_size		square meter	square meter	m2	high	Exact match on UCUM description
water_frequency		per day, per week, per month	per day	/d	high	Exact match on UCUM description
water_frequency		per day, per week, per month	per month	/mo	high	Exact match on UCUM description
water_frequency		per day, per week, per month	per week	/wk	high	Exact match on UCUM description
water_prod_rate		cubic meter per day	cubic meter per day		none	No match found
water_temp_regm		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
watering_regm	106.0	milliliter, liter	liter	L	high	Exact match on UCUM description
watering_regm	106.0	milliliter, liter	milliliter	mL	high	Exact match on UCUM description
weight_loss_3_month		kilogram, gram	gram	g	high	Exact match on UCUM description
weight_loss_3_month		kilogram, gram	kilogram	kg	high	Exact match on UCUM description
wind_direction	192.0	degrees or cardinal direction	degrees or cardinal direction		none	No match found
wind_speed	192.0					
window_size		inch, meter	inch	[cin_i]	low	Partial match on UCUM description
window_size		inch, meter	meter	m	high	Exact match on UCUM description
xylene		milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
xylene		milligram per liter, parts per million	parts per million		none	No match found
zinc	103.0					
