class	class_uri	slot	slot_uri	broad_mappings	close_mappings	exact_mappings	mappings	narrow_mappings	abstract	alias	aliases	annotation_expected_value	annotation_occurrence	annotation_preferred_unit	annotation_tooltip	any_of	comments	contributors	description	designates_type	example_values	id_prefixes	identifier	inlined	inlined_as_list	is_a	list_elements_ordered	maximum_cardinality	maximum_value	minimum_cardinality	minimum_value	mixins	multivalued	notes	pattern	range	rank	recommended	required	see_also	slot_group	string_serialization	structured_aliases	structured_pattern.syntax	title	todos
Biosample	nmdc:Biosample	experimental_factor_other															This slot accepts open-ended text about your sample.|We recommend using key:value pairs.|Provided pairs will be considered for inclusion as future slots/terms in this data collection template.		Other details about your sample that you feel can't be accurately represented in the available columns.		experimental treatment: value															string	7.0	True		MIXS:0000008|MIXS:0000300	MIxS Inspired	{text}	JsonObj()		experimental factor- other	
Biosample	nmdc:Biosample	ext_door	MIXS:0000170								exterior door count	value	1						The number of exterior doors in the built structure							core field							False			TextValue							JsonObj()		exterior door count	
Biosample	nmdc:Biosample	ext_wall_orient	MIXS:0000817								orientations of exterior wall	enumeration	1						The orientation of the exterior wall		northwest					core field							False			ext_wall_orient_enum							JsonObj()		orientations of exterior wall	
Biosample	nmdc:Biosample	ext_window_orient	MIXS:0000818								orientations of exterior window	enumeration	1						The compass direction the exterior window of the room is facing		southwest					core field							False			ext_window_orient_enum							JsonObj()		orientations of exterior window	
Biosample	nmdc:Biosample	extreme_event	MIXS:0000320								history/extreme events	date, string							Unusual physical events that may have affected microbial populations		1980-05-18, volcanic eruption					core field							False			string							JsonObj()		history/extreme events	
Biosample	nmdc:Biosample	fao_class	MIXS:0001083								soil_taxonomic/FAO classification	enumeration	1						Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups		Luvisols					core field							False			fao_class_enum							JsonObj()		soil_taxonomic/FAO classification	
Biosample	nmdc:Biosample	fertilizer_regm	MIXS:0000556								fertilizer regimen	fertilizer name;fertilizer amount;treatment interval and duration	m	gram, mole per liter, milligram per liter					Information about treatment involving the use of fertilizers; should include the name of fertilizer, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fertilizer regimens		urea;0.6 milligram per liter;R2/2018-05-11:T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{text};{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		fertilizer regimen	
Biosample	nmdc:Biosample	field	MIXS:0000291								field name	name	1						Name of the hydrocarbon field (e.g. Albacora)							core field							False			TextValue						{text}	JsonObj()		field name	
Biosample	nmdc:Biosample	filter_method															describe the filter or provide a catalog number and manufacturer		Type of filter used or how the sample was filtered		C18|Basix PES, 13-100-106 FisherSci															string	6.0	True		MIXS:0000765	MIxS Inspired	{text}	JsonObj()		filter method	
Biosample	nmdc:Biosample	filter_type	MIXS:0000765								filter type	enumeration	m						A device which removes solid particulates or airborne molecular contaminants		HEPA					core field							True			filter_type_enum							JsonObj()		filter type	
Biosample	nmdc:Biosample	fire	MIXS:0001086								history/fire	date string					Provide the date the fire occurred. If extended burning occurred provide the date range.		Historical and/or physical evidence of fire		1871-10-10|1871-10-01 to 1871-10-31					core field							False		^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?(\s+to\s+[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?)?$	string							JsonObj()		history/fire	"is ""to"" acceptable? Is there a better way to request that be written?"
Biosample	nmdc:Biosample	fireplace_type	MIXS:0000802								fireplace type	enumeration	1						A firebox with chimney		wood burning					core field							False			TextValue						[gas burning|wood burning]	JsonObj()		fireplace type	
Biosample	nmdc:Biosample	flooding	MIXS:0000319								history/flooding	date string					Provide the date the flood occurred. If extended flooding occurred provide the date range.		Historical and/or physical evidence of flooding		1927-04-15|1927-04 to 1927-05					core field							False			string							JsonObj()		history/flooding	"is ""to"" acceptable? Is there a better way to request that be written?|What about if the ""day"" isn't known? Is this ok?"
Biosample	nmdc:Biosample	floor_age	MIXS:0000164								floor age	value	1	years, weeks, days					The time period since installment of the carpet or flooring							core field							False			QuantityValue							JsonObj()		floor age	
Biosample	nmdc:Biosample	floor_area	MIXS:0000165								floor area	measurement value	1	square meter					The area of the floor space within the room							core field							False			QuantityValue							JsonObj()		floor area	
Biosample	nmdc:Biosample	floor_cond	MIXS:0000803								floor condition	enumeration	1						The physical condition of the floor at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas		new					core field							False			floor_cond_enum							JsonObj()		floor condition	
Biosample	nmdc:Biosample	floor_count	MIXS:0000225								floor count	value	1						The number of floors in the building, including basements and mechanical penthouse							core field							False			TextValue							JsonObj()		floor count	
Biosample	nmdc:Biosample	floor_finish_mat	MIXS:0000804								floor finish material	enumeration	1						The floor covering type; the finished surface that is walked on		carpet					core field							False			floor_finish_mat_enum							JsonObj()		floor finish material	
Biosample	nmdc:Biosample	floor_struc	MIXS:0000806								floor structure	enumeration	1						Refers to the structural elements and subfloor upon which the finish flooring is installed		concrete					core field							False			floor_struc_enum							JsonObj()		floor structure	
Biosample	nmdc:Biosample	floor_thermal_mass	MIXS:0000166								floor thermal mass	measurement value	1	joule per degree Celsius					The ability of the floor to provide inertia against temperature fluctuations							core field							False			QuantityValue							JsonObj()		floor thermal mass	
Biosample	nmdc:Biosample	floor_water_mold	MIXS:0000805								floor signs of water/mold	enumeration	1						Signs of the presence of mold or mildew in a room		ceiling discoloration					core field							False			floor_water_mold_enum							JsonObj()		floor signs of water/mold	
Biosample	nmdc:Biosample	fluor	MIXS:0000704								fluorescence	measurement value	1	milligram chlorophyll a per cubic meter, volts					Raw or converted fluorescence of water		2.5 volts					core field							False			QuantityValue							JsonObj()		fluorescence	
Biosample	nmdc:Biosample	freq_clean	MIXS:0000226								frequency of cleaning	enumeration or {text}	1						The number of times the sample location is cleaned. Frequency of cleaning might be on a Daily basis, Weekly, Monthly, Quarterly or Annually.							core field							False			QuantityValue							JsonObj()		frequency of cleaning	
Biosample	nmdc:Biosample	freq_cook	MIXS:0000227								frequency of cooking	measurement value	1						The number of times a meal is cooked per week							core field							False			QuantityValue							JsonObj()		frequency of cooking	
Biosample	nmdc:Biosample	fungicide_regm	MIXS:0000557								fungicide regimen	fungicide name;fungicide amount;treatment interval and duration	m	gram, mole per liter, milligram per liter					Information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fungicide regimens		bifonazole;1 mole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{text};{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		fungicide regimen	
Biosample	nmdc:Biosample	furniture	MIXS:0000807								furniture	enumeration	1						The types of furniture present in the sampled room		chair					core field							False			furniture_enum							JsonObj()		furniture	
Biosample	nmdc:Biosample	gaseous_environment	MIXS:0000558								gaseous environment	gaseous compound name;gaseous compound amount;treatment interval and duration	m	micromole per liter					Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens		CO2; 500ppm above ambient; constant|nitric oxide;0.5 micromole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{text};{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		gaseous environment	would like to see usage examples for this slot. Requiring micromole/L seems too limiting and doesn't match expected_value value|did I do this right? keep the example that's provided and add another? so as to not override
Biosample	nmdc:Biosample	gaseous_substances	MIXS:0000661								gaseous substances	gaseous substance name;measurement value	m	micromole per liter					Amount or concentration of substances such as hydrogen sulfide, carbon dioxide, methane, etc.; can include multiple substances						True	core field							True			TextValue						{text};{float} {unit}	JsonObj()		gaseous substances	
Biosample	nmdc:Biosample	gender_restroom	MIXS:0000808								gender of restroom	enumeration	1						The gender type of the restroom		male					core field							False			gender_restroom_enum							JsonObj()		gender of restroom	
Biosample	nmdc:Biosample	genetic_mod	MIXS:0000859								genetic modification	PMID,DOI,url or free text	1						Genetic modifications of the genome of an organism, which may occur naturally by spontaneous mutation, or be introduced by some experimental means, e.g. specification of a transgene or the gene knocked-out or details of transient transfection		aox1A transgenic					core field							False			TextValue						{PMID}|{DOI}|{URL}|{text}	JsonObj()		genetic modification	
Biosample	nmdc:Biosample	geo_loc_name	MIXS:0000010								geographic location (country and/or sea,region)	country or sea name (INSDC or GAZ): region(GAZ), specific location name							The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)		USA: Maryland, Bethesda					environment field							False			TextValue						{term}: {term}, {text}	JsonObj()		geographic location (country and/or sea,region)	
Biosample	nmdc:Biosample	glucosidase_act	MIXS:0000137								glucosidase activity	measurement value	1	mol per liter per hour					Measurement of glucosidase activity		5 mol per liter per hour					core field							False			QuantityValue							JsonObj()		glucosidase activity	
Biosample	nmdc:Biosample	gold_biosample_identifiers													Provide the GOLD biosample IDs associated with this biosample.		This is the ID provided by GOLD that starts with 'GB'		Unique identifier for a biosample submitted to GOLD that matches the NMDC submitted biosample		https://bioregistry.io/gold:Gb0312930					biosample_identifiers						gold_identifiers	True		^gold:Gb[0-9]+$	uriorcurie							JsonObj()			
Biosample	nmdc:Biosample	gravidity	MIXS:0000875								gravidity	gravidity status;timestamp	1						Whether or not subject is gravid, and if yes date due or date post-conception, specifying which is used		yes;due date:2018-05-11					core field							False			TextValue						{boolean};{timestamp}	JsonObj()		gravidity	
Biosample	nmdc:Biosample	gravity	MIXS:0000559								gravity	gravity factor value;treatment interval and duration	m	meter per square second, g					Information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple treatments		12 g;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		gravity	
Biosample	nmdc:Biosample	growth_facil	MIXS:0001043								growth facility	free text or CO	1						Type of facility where the sampled plant was grown; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field. Alternatively use Crop Ontology (CO) terms, see http://www.cropontology.org/ontology/CO_715/Crop%20Research		Growth chamber [CO_715:0000189]					core field							False			ControlledTermValue						{text}|{termLabel} {[termID]}	JsonObj()		growth facility	
Biosample	nmdc:Biosample	growth_habit	MIXS:0001044								growth habit	enumeration	1						Characteristic shape, appearance or growth form of a plant species		spreading					core field							False			growth_habit_enum							JsonObj()		growth habit	
Biosample	nmdc:Biosample	growth_hormone_regm	MIXS:0000560								growth hormone regimen	growth hormone name;growth hormone amount;treatment interval and duration	m	gram, mole per liter, milligram per liter					Information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple growth hormone regimens		abscisic acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{text};{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		growth hormone regimen	
Biosample	nmdc:Biosample	habitat																																		string							JsonObj()			
Biosample	nmdc:Biosample	hall_count	MIXS:0000228								hallway/corridor count	value	1						The total count of hallways and cooridors in the built structure							core field							False			TextValue							JsonObj()		hallway/corridor count	
Biosample	nmdc:Biosample	handidness	MIXS:0000809								handidness	enumeration	1						The handidness of the individual sampled		right handedness					core field							False			handidness_enum							JsonObj()		handidness	
Biosample	nmdc:Biosample	hc_produced	MIXS:0000989								hydrocarbon type produced	enumeration	1						"Main hydrocarbon type produced from resource (i.e. Oil, gas, condensate, etc). If ""other"" is specified, please propose entry in ""additional info"" field"		Gas					core field							False			hc_produced_enum							JsonObj()		hydrocarbon type produced	
Biosample	nmdc:Biosample	hcr	MIXS:0000988								hydrocarbon resource type	enumeration	1						"Main Hydrocarbon Resource type. The term ""Hydrocarbon Resource"" HCR defined as a natural environmental feature containing large amounts of hydrocarbons at high concentrations potentially suitable for commercial exploitation. This term should not be confused with the Hydrocarbon Occurrence term which also includes hydrocarbon-rich environments with currently limited commercial interest such as seeps, outcrops, gas hydrates etc. If ""other"" is specified, please propose entry in ""additional info"" field"		Oil Sand					core field							False			hcr_enum							JsonObj()		hydrocarbon resource type	
Biosample	nmdc:Biosample	hcr_fw_salinity	MIXS:0000406								formation water salinity	measurement value	1	milligram per liter					Original formation water salinity (prior to secondary recovery e.g. Waterflooding) expressed as TDS							core field							False			QuantityValue							JsonObj()		formation water salinity	
Biosample	nmdc:Biosample	hcr_geol_age	MIXS:0000993								hydrocarbon resource geological age	enumeration	1						"Geological age of hydrocarbon resource (Additional info: https://en.wikipedia.org/wiki/Period_(geology)). If ""other"" is specified, please propose entry in ""additional info"" field"		Silurian					core field							False			hcr_geol_age_enum							JsonObj()		hydrocarbon resource geological age	
Biosample	nmdc:Biosample	hcr_pressure	MIXS:0000395								hydrocarbon resource original pressure	measurement value range	1	atmosphere, kilopascal					Original pressure of the hydrocarbon resource							core field							False			TextValue						{float} - {float} {unit}	JsonObj()		hydrocarbon resource original pressure	
Biosample	nmdc:Biosample	hcr_temp	MIXS:0000393								hydrocarbon resource original temperature	measurement value range	1	degree Celsius					Original temperature of the hydrocarbon resource		150-295 degree Celsius					core field							False			TextValue						{float} - {float} {unit}	JsonObj()		hydrocarbon resource original temperature	
Biosample	nmdc:Biosample	heat_cool_type	MIXS:0000766								heating and cooling system type	enumeration	m						Methods of conditioning or heating a room or building		heat pump					core field							True			heat_cool_type_enum							JsonObj()		heating and cooling system type	
Biosample	nmdc:Biosample	heat_deliv_loc	MIXS:0000810								heating delivery locations	enumeration	1						The location of heat delivery within the room		north					core field							False			heat_deliv_loc_enum							JsonObj()		heating delivery locations	
Biosample	nmdc:Biosample	heat_sys_deliv_meth	MIXS:0000812								heating system delivery method	enumeration	1						The method by which the heat is delivered through the system		radiant					core field							False			string						[conductive|radiant]	JsonObj()		heating system delivery method	
Biosample	nmdc:Biosample	heat_system_id	MIXS:0000833								heating system identifier	unique identifier	1						The heating system identifier							core field							False			TextValue							JsonObj()		heating system identifier	
Biosample	nmdc:Biosample	heavy_metals	MIXS:0000652								extreme_unusual_properties/heavy metals	heavy metal name;measurement value unit	m	microgram per gram			For multiple heavy metals and concentrations, separate by ;		Heavy metals present in the sample and their concentrations.		mercury 0.09 micrograms per gram|mercury 0.09 ug/g; chromium 0.03 ug/g				True	core field							True			TextValue						{text};{float} {unit}	JsonObj()		heavy metals/ extreme unusual properties	Example & validation. Can we configure things so that 27% & 27 % & 0.27 will validate?|I think it's weird the way GSC writes the title. I recommend this change. Thoughts? I would argue this isn't an extreme unusual property. It's just a biogeochemical measurement.
Biosample	nmdc:Biosample	heavy_metals_meth	MIXS:0000343								extreme_unusual_properties/heavy metals method	PMID,DOI or url	1				Required when heavy metals are provided|If different methods are used for multiple metals, indicate the metal and method. Separate metals by ;		Reference or method used in determining heavy metals		https://doi.org/10.3390/ijms9040434|mercury https://doi.org/10.1007/BF01056090; chromium https://doi.org/10.1007/s00216-006-0322-8				True	core field							True			TextValue						{PMID}|{DOI}|{URL}	JsonObj()		heavy metals method/ extreme unusual properties	
Biosample	nmdc:Biosample	height_carper_fiber	MIXS:0000167								height carpet fiber mat	value	1	centimeter					The average carpet fiber height in the indoor environment							core field							False			QuantityValue							JsonObj()		height carpet fiber mat	
Biosample	nmdc:Biosample	herbicide_regm	MIXS:0000561								herbicide regimen	herbicide name;herbicide amount;treatment interval and duration	m	gram, mole per liter, milligram per liter					Information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens		atrazine;10 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{text};{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		herbicide regimen	
Biosample	nmdc:Biosample	horizon_meth	MIXS:0000321								soil horizon method	PMID,DOI or url	1						Reference or method used in determining the horizon							core field							False			TextValue						{PMID}|{DOI}|{URL}	JsonObj()		soil horizon method	
Biosample	nmdc:Biosample	host_age	MIXS:0000255								host age	value	1	year, day, hour					Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees		10 days					core field							False			QuantityValue							JsonObj()		host age	
Biosample	nmdc:Biosample	host_body_habitat	MIXS:0000866								host body habitat	free text	1						Original body habitat where the sample was obtained from		nasopharynx					core field							False			TextValue						{text}	JsonObj()		host body habitat	
Biosample	nmdc:Biosample	host_body_product	MIXS:0000888								host body product	FMA or UBERON	1						Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. For foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON) terms, please see https://www.ebi.ac.uk/ols/ontologies/fma or https://www.ebi.ac.uk/ols/ontologies/uberon		mucus [UBERON:0000912]					core field							False			ControlledTermValue						{termLabel} {[termID]}	JsonObj()		host body product	
Biosample	nmdc:Biosample	host_body_site	MIXS:0000867								host body site	FMA or UBERON	1						Name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For foundational model of anatomy ontology (fma) (v 4.11.0) or Uber-anatomy ontology (UBERON) (v releases/2014-06-15) terms, please see http://purl.bioontology.org/ontology/FMA or http://purl.bioontology.org/ontology/UBERON		gill [UBERON:0002535]					core field							False			ControlledTermValue						{termLabel} {[termID]}	JsonObj()		host body site	
Biosample	nmdc:Biosample	host_body_temp	MIXS:0000274								host body temperature	measurement value	1	degree Celsius					Core body temperature of the host when sample was collected		15 degree Celsius					core field							False			QuantityValue							JsonObj()		host body temperature	
Biosample	nmdc:Biosample	host_color	MIXS:0000260								host color	color	1						The color of host							core field							False			TextValue						{text}	JsonObj()		host color	
Biosample	nmdc:Biosample	host_common_name	MIXS:0000248								host common name	common name	1						Common name of the host.		human					core field							False			TextValue						{text}	JsonObj()		host common name	
Biosample	nmdc:Biosample	host_diet	MIXS:0000869								host diet	diet type	m						Type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types		herbivore				True	core field							True			TextValue						{text}	JsonObj()		host diet	
Biosample	nmdc:Biosample	host_disease_stat	MIXS:0000031								host disease status	disease name or Disease Ontology term							List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text		rabies [DOID:11260]					nucleic acid sequence source field							False			TextValue						{termLabel} {[termID]}|{text}	JsonObj()		host disease status	
Biosample	nmdc:Biosample	host_dry_mass	MIXS:0000257								host dry mass	measurement value	1	kilogram, gram					Measurement of dry mass		500 gram					core field							False			QuantityValue							JsonObj()		host dry mass	
Biosample	nmdc:Biosample	host_family_relation	MIXS:0000872								host family relationship	relationship type;arbitrary identifier	m						Familial relationships to other hosts in the same study; can include multiple relationships		offspring;Mussel25					core field							True			string						{text};{text}	JsonObj()		host family relationship	
Biosample	nmdc:Biosample	host_genotype	MIXS:0000365								host genotype	genotype	1						Observed genotype		C57BL/6					core field							False			TextValue						{text}	JsonObj()		host genotype	
Biosample	nmdc:Biosample	host_growth_cond	MIXS:0000871								host growth conditions	PMID,DOI,url or free text	1						Literature reference giving growth conditions of the host		https://academic.oup.com/icesjms/article/68/2/349/617247					core field							False			TextValue						{PMID}|{DOI}|{URL}|{text}	JsonObj()		host growth conditions	
Biosample	nmdc:Biosample	host_height	MIXS:0000264								host height	measurement value	1	centimeter, millimeter, meter					The height of subject		0.1 meter					core field							False			QuantityValue							JsonObj()		host height	
Biosample	nmdc:Biosample	host_last_meal	MIXS:0000870								host last meal	content;duration	m						Content of last meal and time since feeding; can include multiple values		corn feed;P2H				True	core field							True			TextValue						{text};{duration}	JsonObj()		host last meal	
Biosample	nmdc:Biosample	host_length	MIXS:0000256								host length	measurement value	1	centimeter, millimeter, meter					The length of subject		1 meter					core field							False			QuantityValue							JsonObj()		host length	
Biosample	nmdc:Biosample	host_life_stage	MIXS:0000251								host life stage	stage	1						Description of life stage of host		adult					core field							False			TextValue						{text}	JsonObj()		host life stage	
Biosample	nmdc:Biosample	host_name																																		string							JsonObj()			
Biosample	nmdc:Biosample	host_phenotype	MIXS:0000874								host phenotype	PATO or HP	1						Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP		elongated [PATO:0001154]					core field							False			ControlledTermValue						{termLabel} {[termID]}	JsonObj()		host phenotype	
Biosample	nmdc:Biosample	host_sex	MIXS:0000811								host sex	enumeration	1						Gender or physical sex of the host.		non-binary					core field							False			host_sex_enum							JsonObj()		host sex	
Biosample	nmdc:Biosample	host_shape	MIXS:0000261								host shape	shape	1						Morphological shape of host		round					core field							False			TextValue						{text}	JsonObj()		host shape	
Biosample	nmdc:Biosample	host_subject_id	MIXS:0000861								host subject id	unique identifier	1						A unique identifier by which each subject can be referred to, de-identified.		MPI123					core field							False			TextValue						{text}	JsonObj()		host subject id	
Biosample	nmdc:Biosample	host_subspecf_genlin	MIXS:0001318								host subspecific genetic lineage	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	m						Information about the genetic distinctness of the host organism below the subspecies level e.g., serovar, serotype, biotype, ecotype, variety, cultivar, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.		serovar:Newport, variety:glabrum, cultivar: Red Delicious					core field							True			string						{rank name}:{text}	JsonObj()		host subspecific genetic lineage	
Biosample	nmdc:Biosample	host_substrate	MIXS:0000252								host substrate	substrate name	1						The growth substrate of the host.		rock					core field							False			TextValue						{text}	JsonObj()		host substrate	
Biosample	nmdc:Biosample	host_symbiont	MIXS:0001298								observed host symbionts	species name or common name	m						The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host.		flukeworms					core field							True			string						{text}	JsonObj()		observed host symbionts	
Biosample	nmdc:Biosample	host_taxid	MIXS:0000250								host taxid	NCBI taxon identifier	1				Homo sapiens [NCBITaxon:9606] would be a reasonable has_raw_value		NCBI taxon id of the host, e.g. 9606							core field							False			ControlledIdentifiedTermValue							JsonObj()		host taxid	
Biosample	nmdc:Biosample	host_tot_mass	MIXS:0000263								host total mass	measurement value	1	kilogram, gram					Total mass of the host at collection, the unit depends on host		2500 gram					core field							False			QuantityValue							JsonObj()		host total mass	
Biosample	nmdc:Biosample	host_wet_mass	MIXS:0000567								host wet mass	measurement value	1	kilogram, gram					Measurement of wet mass		1500 gram					core field							False			QuantityValue							JsonObj()		host wet mass	
Biosample	nmdc:Biosample	humidity	MIXS:0000100								humidity	measurement value	1	gram per cubic meter					Amount of water vapour in the air, at the time of sampling		25 gram per cubic meter					core field							False			QuantityValue							JsonObj()		humidity	
Biosample	nmdc:Biosample	humidity_regm	MIXS:0000568								humidity regimen	humidity value;treatment interval and duration	m	gram per cubic meter					Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens		25 gram per cubic meter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		humidity regimen	
Biosample	nmdc:Biosample	id																	An NMDC assigned unique identifier for a biosample submitted to NMDC.		nmdc:mgmag-00-x012.1_7_c1		True											abstracted pattern: prefix:typecode-authshoulder-blade(.version)?(_seqsuffix)?|a minimum length of 3 characters is suggested for typecodes, but 1 or 2 characters will be accepted|typecodes must correspond 1:1 to a class in the NMDC schema. this will be checked via per-class id slot usage assertions|minting authority shoulders should probably be enumerated and checked in the pattern	^(nmdc):bsm-([0-9][a-z]{0,6}[0-9])-([A-Za-z0-9]{1,})$	uriorcurie			True				"JsonObj(workflow_execution_id=StructuredAlias({
  'literal_form': 'workflow_execution_id',
  'predicate': AliasPredicateEnum(text='NARROW_SYNONYM', meaning='http://www.w3.org/2004/02/skos/core#narrowerMatch'),
  'contexts': ['https://bitbucket.org/berkeleylab/jgi-jat/macros/nmdc_metadata.yaml']
}), data_object_id=StructuredAlias({
  'literal_form': 'data_object_id',
  'predicate': AliasPredicateEnum(text='NARROW_SYNONYM', meaning='http://www.w3.org/2004/02/skos/core#narrowerMatch'),
  'contexts': ['https://bitbucket.org/berkeleylab/jgi-jat/macros/nmdc_metadata.yaml']
}))"	{id_nmdc_prefix}:bsm-{id_shoulder}-{id_blade}$		
Biosample	nmdc:Biosample	igsn_biosample_identifiers																	A list of identifiers for the biosample from the IGSN database.							biosample_identifiers						igsn_identifiers	True		^[a-zA-Z0-9][a-zA-Z0-9_\.]+:[a-zA-Z0-9_][a-zA-Z0-9_\-\/\.,]*$	external_identifier							JsonObj()		IGSN Biosample Identifiers	
Biosample	nmdc:Biosample	img_identifiers																	A list of identifiers that relate the biosample to records in the IMG database.							external_database_identifiers							True		^img\.taxon:[a-zA-Z0-9_][a-zA-Z0-9_\/\.]*$	external_identifier							JsonObj()		IMG Identifiers	add is_a or mixin modeling, like other external_database_identifiers|what class would IMG records belong to?! Are they Studies, Biosamples, or something else?
Biosample	nmdc:Biosample	indoor_space	MIXS:0000763								indoor space	enumeration	1						A distinguishable space within a structure, the purpose for which discrete areas of a building is used		foyer					core field							False			indoor_space_enum							JsonObj()		indoor space	
Biosample	nmdc:Biosample	indoor_surf	MIXS:0000764								indoor surface	enumeration	1						Type of indoor surface		wall					core field							False			indoor_surf_enum							JsonObj()		indoor surface	
Biosample	nmdc:Biosample	indust_eff_percent	MIXS:0000662								industrial effluent percent	measurement value	1	percentage					Percentage of industrial effluents received by wastewater treatment plant							core field							False			QuantityValue							JsonObj()		industrial effluent percent	
Biosample	nmdc:Biosample	infiltrations									infiltration_1|infiltration_2								The amount of time it takes to complete each infiltration activity		['00:01:32', '00:00:53']						True						True		^(?:[0-9]|[1-9][0-9]|9[0-9]|0[0-9]|0[0-5][0-9]):[0-5][0-9]:[0-5][0-9]$	string				https://www.protocols.io/view/field-sampling-protocol-kqdg3962pg25/v1			JsonObj()			
Biosample	nmdc:Biosample	inorg_particles	MIXS:0000664								inorganic particles	inorganic particle name;measurement value	m	mole per liter, milligram per liter					Concentration of particles such as sand, grit, metal particles, ceramics, etc.; can include multiple particles						True	core field							True			TextValue						{text};{float} {unit}	JsonObj()		inorganic particles	
Biosample	nmdc:Biosample	insdc_biosample_identifiers									EBI biosample identifiers|NCBI biosample identifiers|DDBJ biosample identifiers								identifiers for corresponding sample in INSDC		https://bioregistry.io/biosample:SAMEA5989477|https://bioregistry.io/biosample:SAMD00212331					biosample_identifiers						insdc_identifiers	True		^biosample:SAM[NED]([A-Z])?[0-9]+$	external_identifier				https://github.com/bioregistry/bioregistry/issues/108|https://www.ebi.ac.uk/biosamples/|https://www.ncbi.nlm.nih.gov/biosample|https://www.ddbj.nig.ac.jp/biosample/index-e.html			JsonObj()			
Biosample	nmdc:Biosample	inside_lux	MIXS:0000168								inside lux light	measurement value	1	kilowatt per square metre					The recorded value at sampling time (power density)							core field							False			QuantityValue							JsonObj()		inside lux light	
