slot	range	domain	range_is_nmdc_class
ncbi_project_name	string	NucleotideSequencing	False
ncbi_taxonomy_name	string	Biosample	False
neon_biosample_identifiers	external_identifier	Biosample	False
neon_study_identifiers	external_identifier	Study	False
nitrate	QuantityValue	Biosample	True
nitrate_nitrogen	QuantityValue	Biosample	True
nitrite	QuantityValue	Biosample	True
nitrite_nitrogen	QuantityValue	Biosample	True
nitro	QuantityValue	Biosample	True
non_microb_biomass	string	Biosample	False
non_microb_biomass_method	string	Biosample	False
non_min_nutr_regm	string	Biosample	False
notes	string	Study	False
nucl_acid_amp	TextValue	LibraryPreparation	True
nucleic acid sequence source field	string	Biosample	False
num_16s	integer	MagBin	False
num_23s	integer	MagBin	False
num_5s	integer	MagBin	False
num_aligned_reads	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
num_input_reads	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
num_t_rna	integer	MagBin	False
number_of_contig	integer	MagBin	False
number_pets	QuantityValue	Biosample	True
number_plants	QuantityValue	Biosample	True
number_resident	QuantityValue	Biosample	True
object	OntologyClass	OntologyRelation	True
objective	string	Study	False
occup_density_samp	QuantityValue	Biosample	True
occup_document	occup_document_enum	Biosample	False
occup_samp	QuantityValue	Biosample	True
orcid	string	PersonValue	False
ordered_mobile_phases	MobilePhaseSegment	ChromatographicSeparationProcess, ChromatographyConfiguration	True
org_carb	QuantityValue	Biosample	True
org_count_qpcr_info	string	Biosample	False
org_matter	QuantityValue	Biosample	True
org_nitro	QuantityValue	Biosample	True
org_nitro_method	string	Biosample	False
org_particles	TextValue	Biosample	True
organism_count	QuantityValue	Biosample	True
other_treatment	string	Biosample	False
output_base_count	float	ReadQcAnalysis	False
output_read_bases	float	ReadQcAnalysis	False
output_read_count	float	ReadQcAnalysis	False
owc_tvdss	QuantityValue	Biosample	True
oxy_stat_samp	oxy_stat_samp_enum	Biosample	False
oxygen	QuantityValue	Biosample	True
part_of	FieldResearchSite	FieldResearchSite	True
part_of	Study	Study	True
part_org_carb	QuantityValue	Biosample	True
part_org_nitro	QuantityValue	Biosample	True
particle_class	TextValue	Biosample	True
pcr_cond	TextValue	LibraryPreparation	True
pcr_cycles	integer	LibraryPreparation	False
pcr_primers	TextValue	LibraryPreparation	True
permeability	TextValue	Biosample	True
perturbation	TextValue	Biosample	True
pesticide_regm	TextValue	Biosample	True
petroleum_hydrocarb	QuantityValue	Biosample	True
ph	double	Biosample	False
ph_meth	TextValue	Biosample	True
ph_regm	TextValue	Biosample	True
phaeopigments	TextValue	Biosample	True
phase	integer	GenomeFeature	False
phosphate	QuantityValue	Biosample	True
phosplipid_fatt_acid	TextValue	Biosample	True
photon_flux	QuantityValue	Biosample	True
plant_growth_med	ControlledTermValue	Biosample	True
plant_product	TextValue	Biosample	True
plant_sex	plant_sex_enum	Biosample	False
plant_struc	ControlledTermValue	Biosample	True
polarity_mode	PolarityModeEnum	MassSpectrometryConfiguration	False
pollutants	TextValue	Biosample	True
porosity	TextValue	Biosample	True
potassium	QuantityValue	Biosample	True
pour_point	QuantityValue	Biosample	True
pre_treatment	TextValue	Biosample	True
predicate	OntologyClass	OntologyRelation	True
pres_animal_insect	string	Biosample	False
pressure	QuantityValue	Biosample	True
prev_land_use_meth	string	Biosample	False
previous_land_use	TextValue	Biosample	True
primary_prod	QuantityValue	Biosample	True
primary_treatment	TextValue	Biosample	True
principal_investigator	PersonValue	DataGeneration, MassSpectrometry, NucleotideSequencing, Study	True
processed_sample_set	ProcessedSample	Database	True
processing_institution	ProcessingInstitutionEnum	ChemicalConversionProcess, ChromatographicSeparationProcess, CollectingBiosamplesFromSite, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MagsAnalysis, MassSpectrometry, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NomAnalysis, NucleotideSequencing, PlannedProcess, Pooling, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, SubSamplingProcess, WorkflowExecution	False
prod_rate	QuantityValue	Biosample	True
prod_start_date	TimestampValue	Biosample	True
profile_image_url	string	PersonValue	False
profile_position	profile_position_enum	Biosample	False
project_id	string	Biosample	False
proport_woa_temperature	string	Biosample	False
proposal_dna	string	Biosample	False
proposal_rna	string	Biosample	False
protocol_link	Protocol	ChemicalConversionProcess, ChromatographicSeparationProcess, CollectingBiosamplesFromSite, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MagsAnalysis, MassSpectrometry, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NomAnalysis, NucleotideSequencing, PlannedProcess, Pooling, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, Study, SubSamplingProcess, WorkflowExecution	True
qc_comment	string	ChemicalConversionProcess, ChromatographicSeparationProcess, CollectingBiosamplesFromSite, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MagsAnalysis, MassSpectrometry, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NomAnalysis, NucleotideSequencing, PlannedProcess, Pooling, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, SubSamplingProcess, WorkflowExecution	False
qc_failure_what	FailureWhatEnum	FailureCategorization	False
qc_failure_where	FailureWhereEnum	FailureCategorization	False
qc_status	StatusEnum	ChemicalConversionProcess, ChromatographicSeparationProcess, CollectingBiosamplesFromSite, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MagsAnalysis, MassSpectrometry, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NomAnalysis, NucleotideSequencing, PlannedProcess, Pooling, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, SubSamplingProcess, WorkflowExecution	False
quad_pos	quad_pos_enum	Biosample	False
radiation_regm	TextValue	Biosample	True
rainfall_regm	TextValue	Biosample	True
reactor_type	TextValue	Biosample	True
redox_potential	QuantityValue	Biosample	True
rel_air_humidity	QuantityValue	Biosample	True
rel_humidity_out	QuantityValue	Biosample	True
rel_samp_loc	rel_samp_loc_enum	Biosample	False
related_identifiers	string	Study	False
relations	OntologyRelation	ChemicalEntity, EnvironmentalMaterialTerm, FunctionalAnnotationTerm, OntologyClass, OrthologyGroup, Pathway	True
replicate_number	string	Biosample	False
reservoir	TextValue	Biosample	True
resins_pc	TextValue	Biosample	True
resolution_categories	ResolutionCategoryEnum	MassSpectrometryConfiguration	False
rna_absorb1	float	Biosample	False
rna_absorb2	float	Biosample	False
rna_collect_site	string	Biosample	False
rna_concentration	float	Biosample	False
rna_cont_type	JgiContTypeEnum	Biosample	False
rna_cont_well	string	Biosample	False
rna_container_id	string	Biosample	False
rna_isolate_meth	string	Biosample	False
rna_organisms	string	Biosample	False
rna_project_contact	string	Biosample	False
rna_samp_id	string	Biosample	False
rna_sample_format	RNASampleFormatEnum	Biosample	False
rna_sample_name	string	Biosample	False
rna_seq_project	string	Biosample	False
rna_seq_project_name	string	Biosample	False
rna_seq_project_pi	string	Biosample	False
rna_volume	float	Biosample	False
room_air_exch_rate	QuantityValue	Biosample	True
room_architec_elem	string	Biosample	False
room_condt	room_condt_enum	Biosample	False
room_connected	room_connected_enum	Biosample	False
room_count	TextValue	Biosample	True
room_dim	TextValue	Biosample	True
room_door_dist	TextValue	Biosample	True
room_door_share	TextValue	Biosample	True
room_hallway	TextValue	Biosample	True
room_loc	room_loc_enum	Biosample	False
room_moist_dam_hist	integer	Biosample	False
room_net_area	TextValue	Biosample	True
room_occup	QuantityValue	Biosample	True
room_samp_pos	room_samp_pos_enum	Biosample	False
room_type	room_type_enum	Biosample	False
room_vol	TextValue	Biosample	True
room_wall_share	TextValue	Biosample	True
room_window_count	integer	Biosample	False
root_cond	TextValue	Biosample	True
root_med_carbon	TextValue	Biosample	True
root_med_macronutr	TextValue	Biosample	True
root_med_micronutr	TextValue	Biosample	True
root_med_ph	QuantityValue	Biosample	True
root_med_regl	TextValue	Biosample	True
root_med_solid	TextValue	Biosample	True
root_med_suppl	TextValue	Biosample	True
salinity	QuantityValue	Biosample	True
salinity_category	string	Biosample	False
salinity_meth	TextValue	Biosample	True
salt_regm	TextValue	Biosample	True
samp_capt_status	samp_capt_status_enum	Biosample	False
samp_collec_device	string	Biosample	False
samp_collec_method	string	Biosample	False
samp_collect_point	samp_collect_point_enum	Biosample	False
samp_dis_stage	samp_dis_stage_enum	Biosample	False
samp_floor	samp_floor_enum	Biosample	False
samp_loc_corr_rate	TextValue	Biosample	True
samp_mat_process	ControlledTermValue	Biosample	True
samp_md	QuantityValue	Biosample	True
samp_name	string	Biosample	False
samp_preserv	TextValue	Biosample	True
samp_room_id	TextValue	Biosample	True
samp_size	QuantityValue	Biosample	True
samp_sort_meth	TextValue	Biosample	True
samp_store_dur	TextValue	Biosample	True
samp_store_loc	TextValue	Biosample	True
samp_store_temp	QuantityValue	Biosample	True
samp_subtype	samp_subtype_enum	Biosample	False
samp_taxon_id	ControlledIdentifiedTermValue	Biosample	True
samp_time_out	TextValue	Biosample	True
samp_transport_cond	TextValue	Biosample	True
samp_tvdss	TextValue	Biosample	True
samp_type	TextValue	Biosample	True
samp_weather	samp_weather_enum	Biosample	False
samp_well_name	TextValue	Biosample	True
sample_collection_site	string	Biosample	False
sample_link	string	Biosample	False
sample_shipped	string	Biosample	False
sample_state_information	SampleStateEnum	PortionOfSubstance	False
sample_type	SampleTypeEnum	Biosample	False
sampled_portion	SamplePortionEnum	SubSamplingProcess	False
saturates_pc	TextValue	Biosample	True
scaf_bp	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_l50	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_l90	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_l_gt50k	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_logsum	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_max	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_n50	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_n90	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_n_gt50k	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_pct_gt50k	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaf_powsum	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
scaffolds	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
season	TextValue	Biosample	True
season_environment	TextValue	Biosample	True
season_precpt	QuantityValue	Biosample	True
season_temp	QuantityValue	Biosample	True
season_use	season_use_enum	Biosample	False
secondary_treatment	TextValue	Biosample	True
sediment_type	sediment_type_enum	Biosample	False
separation_method	SeparationMethodEnum	FiltrationProcess	False
seqid	string	GenomeFeature	False
sequencing field	string	Biosample	False
sewage_type	TextValue	Biosample	True
shad_dev_water_mold	string	Biosample	False
shading_device_cond	shading_device_cond_enum	Biosample	False
shading_device_loc	TextValue	Biosample	True
shading_device_mat	TextValue	Biosample	True
shading_device_type	shading_device_type_enum	Biosample	False
sieving	TextValue	Biosample	True
silicate	QuantityValue	Biosample	True
size_frac	TextValue	Biosample	True
size_frac_low	QuantityValue	Biosample	True
size_frac_up	QuantityValue	Biosample	True
slope_aspect	QuantityValue	Biosample	True
slope_gradient	QuantityValue	Biosample	True
sludge_retent_time	QuantityValue	Biosample	True
sodium	QuantityValue	Biosample	True
soil_horizon	soil_horizon_enum	Biosample	False
soil_text_measure	QuantityValue	Biosample	True
soil_texture_meth	string	Biosample	False
soil_type	TextValue	Biosample, FieldResearchSite	True
soil_type_meth	TextValue	Biosample	True
solar_irradiance	QuantityValue	Biosample	True
soluble_inorg_mat	TextValue	Biosample	True
soluble_iron_micromol	string	Biosample	False
soluble_org_mat	TextValue	Biosample	True
soluble_react_phosp	QuantityValue	Biosample	True
source_concentration	QuantityValue	PortionOfSubstance	True
source_mat_id	TextValue	Biosample	True
space_typ_state	TextValue	Biosample	True
specific	specific_enum	Biosample	False
specific_ecosystem	string	Biosample, Study	False
specific_humidity	QuantityValue	Biosample	True
sr_dep_env	sr_dep_env_enum	Biosample	False
sr_geol_age	sr_geol_age_enum	Biosample	False
sr_kerog_type	sr_kerog_type_enum	Biosample	False
sr_lithology	sr_lithology_enum	Biosample	False
standing_water_regm	TextValue	Biosample	True
start	integer	GenomeFeature	False
start_date	string	ChemicalConversionProcess, ChromatographicSeparationProcess, CollectingBiosamplesFromSite, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MagsAnalysis, MassSpectrometry, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NomAnalysis, NucleotideSequencing, PlannedProcess, Pooling, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, SubSamplingProcess, WorkflowExecution	False
start_date_inc	string	Biosample	False
start_time_inc	string	Biosample	False
started_at_time	string	MagsAnalysis, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, NomAnalysis, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, WorkflowExecution	False
stationary_phase	StationaryPhaseEnum	ChromatographicSeparationProcess, ChromatographyConfiguration	False
storage_process_set	StorageProcess	Database	True
store_cond	TextValue	Biosample	True
strand	string	GenomeFeature	False
stranded_orientation	StrandedOrientationEnum	LibraryPreparation	False
study_category	StudyCategoryEnum	Study	False
study_image	ImageValue	Study	True
study_set	Study	Database	True
subject	GeneProduct	FunctionalAnnotation	True
subject	OntologyClass	OntologyRelation	True
substance_role	SubstanceRoleEnum	PortionOfSubstance	False
substances_used	PortionOfSubstance	ChemicalConversionProcess, DissolvingProcess, Extraction, MobilePhaseSegment, StorageProcess	True
substances_volume	QuantityValue	ChemicalConversionProcess	True
substructure_type	substructure_type_enum	Biosample	False
subsurface_depth	QuantityValue	Biosample	True
sulfate	QuantityValue	Biosample	True
sulfate_fw	QuantityValue	Biosample	True
sulfide	QuantityValue	Biosample	True
surf_air_cont	surf_air_cont_enum	Biosample	False
surf_humidity	QuantityValue	Biosample	True
surf_material	surf_material_enum	Biosample	False
surf_moisture	QuantityValue	Biosample	True
surf_moisture_ph	double	Biosample	False
surf_temp	QuantityValue	Biosample	True
suspend_part_matter	QuantityValue	Biosample	True
suspend_solids	TextValue	Biosample	True
tan	QuantityValue	Biosample	True
target_gene	TargetGeneEnum	NucleotideSequencing	False
target_subfragment	TextValue	NucleotideSequencing	True
technical_reps	string	Biosample	False
temp	QuantityValue	Biosample	True
temp_out	QuantityValue	Biosample	True
temperature	QuantityValue	ChemicalConversionProcess, ChromatographicSeparationProcess, ChromatographyConfiguration, DissolvingProcess, StorageProcess, SubSamplingProcess	True
term	OntologyClass	ControlledIdentifiedTermValue, ControlledTermValue	True
tertiary_treatment	TextValue	Biosample	True
tidal_stage	tidal_stage_enum	Biosample	False
tillage	tillage_enum	Biosample	False
tiss_cult_growth_med	TextValue	Biosample	True
title	string	Study	False
toluene	QuantityValue	Biosample	True
too_short_contig_num	integer	MagsAnalysis	False
tot_carb	QuantityValue	Biosample	True
tot_depth_water_col	QuantityValue	Biosample	True
tot_diss_nitro	QuantityValue	Biosample	True
tot_inorg_nitro	QuantityValue	Biosample	True
tot_iron	QuantityValue	Biosample	True
tot_nitro	QuantityValue	Biosample	True
tot_nitro_cont_meth	string	Biosample	False
tot_nitro_content	QuantityValue	Biosample	True
tot_org_c_meth	TextValue	Biosample	True
tot_org_carb	QuantityValue	Biosample	True
tot_part_carb	QuantityValue	Biosample	True
tot_phosp	QuantityValue	Biosample	True
tot_phosphate	QuantityValue	Biosample	True
tot_sulfur	QuantityValue	Biosample	True
total_bases	integer	MagBin	False
train_line	train_line_enum	Biosample	False
train_stat_loc	train_stat_loc_enum	Biosample	False
train_stop_loc	train_stop_loc_enum	Biosample	False
turbidity	QuantityValue	Biosample	True
tvdss_of_hcr_press	QuantityValue	Biosample	True
tvdss_of_hcr_temp	QuantityValue	Biosample	True
typ_occup_density	double	Biosample	False
type	uriorcurie	AttributeValue, Biosample, CalibrationInformation, ChemicalConversionProcess, ChemicalEntity, ChromatographicSeparationProcess, ChromatographyConfiguration, CollectingBiosamplesFromSite, Configuration, ControlledIdentifiedTermValue, ControlledTermValue, CreditAssociation, DataGeneration, DataObject, DissolvingProcess, Doi, EnvironmentalMaterialTerm, EukEval, Extraction, FailureCategorization, FieldResearchSite, FiltrationProcess, FunctionalAnnotation, FunctionalAnnotationAggMember, FunctionalAnnotationTerm, GeneProduct, GenomeFeature, GeolocationValue, ImageValue, InformationObject, Instrument, LibraryPreparation, MagBin, MagsAnalysis, Manifest, MassSpectrometry, MassSpectrometryConfiguration, MaterialEntity, MaterialProcessing, MetaboliteIdentification, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, MobilePhaseSegment, NamedThing, NomAnalysis, NucleotideSequencing, OntologyClass, OntologyRelation, OrthologyGroup, Pathway, PersonValue, PlannedProcess, Pooling, PortionOfSubstance, ProcessedSample, Protocol, QuantityValue, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, Sample, Site, StorageProcess, Study, SubSamplingProcess, TextValue, TimestampValue, WorkflowExecution	False
unbinned_contig_num	integer	MagsAnalysis	False
url	string	DataObject, ImageValue, Protocol	False
uses_calibration	CalibrationInformation	MetabolomicsAnalysis, NomAnalysis	True
vendor	InstrumentVendorEnum	Instrument	False
ventilation_rate	QuantityValue	Biosample	True
ventilation_type	TextValue	Biosample	True
version	string	MagsAnalysis, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, NomAnalysis, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, WorkflowExecution	False
vfa	QuantityValue	Biosample	True
vfa_fw	QuantityValue	Biosample	True
vis_media	vis_media_enum	Biosample	False
viscosity	TextValue	Biosample	True
volatile_org_comp	TextValue	Biosample	True
volume	QuantityValue	Extraction, FiltrationProcess, MobilePhaseSegment, PortionOfSubstance, SubSamplingProcess	True
wall_area	QuantityValue	Biosample	True
wall_const_type	wall_const_type_enum	Biosample	False
wall_finish_mat	wall_finish_mat_enum	Biosample	False
wall_height	QuantityValue	Biosample	True
wall_loc	wall_loc_enum	Biosample	False
wall_surf_treatment	wall_surf_treatment_enum	Biosample	False
wall_texture	wall_texture_enum	Biosample	False
wall_thermal_mass	QuantityValue	Biosample	True
wall_water_mold	TextValue	Biosample	True
was_generated_by	MetagenomeAnnotation	FunctionalAnnotation	True
was_generated_by	WorkflowExecution	DataObject, FunctionalAnnotationAggMember	True
was_informed_by	DataGeneration	MagsAnalysis, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, NomAnalysis, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, WorkflowExecution	True
wastewater_type	TextValue	Biosample	True
water_cont_soil_meth	string	Biosample	False
water_content	string	Biosample	False
water_current	QuantityValue	Biosample	True
water_cut	QuantityValue	Biosample	True
water_feat_size	QuantityValue	Biosample	True
water_feat_type	water_feat_type_enum	Biosample	False
water_prod_rate	QuantityValue	Biosample	True
water_temp_regm	TextValue	Biosample	True
watering_regm	TextValue	Biosample	True
websites	string	PersonValue, Study	False
weekday	weekday_enum	Biosample	False
win	TextValue	Biosample	True
wind_direction	TextValue	Biosample	True
wind_speed	QuantityValue	Biosample	True
window_cond	window_cond_enum	Biosample	False
window_cover	window_cover_enum	Biosample	False
window_horiz_pos	window_horiz_pos_enum	Biosample	False
window_loc	window_loc_enum	Biosample	False
window_mat	window_mat_enum	Biosample	False
window_open_freq	TextValue	Biosample	True
window_size	TextValue	Biosample	True
window_status	TextValue	Biosample	True
window_type	window_type_enum	Biosample	False
window_vert_pos	window_vert_pos_enum	Biosample	False
window_water_mold	TextValue	Biosample	True
workflow_execution_set	WorkflowExecution	Database	True
xylene	QuantityValue	Biosample	True
zinc	QuantityValue	Biosample	True
