projectGoldId	sequencingStrategy	projectStatus	studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	sraExperimentIds
Gp0618991	Metagenome	Permanent Draft	Gs0154244	Gb0315897	PRJEB42019	SAMEA7723609	ERX4813724|ERX4812937|ERX4812366|ERX4811087|ERX4814445
Gp0619024	Metagenome	Permanent Draft	Gs0154244	Gb0315930	PRJEB42019	SAMEA7723649	ERX4814516|ERX4813903|ERX4813116
Gp0619597	Targeted Gene Survey	incomplete	Gs0154244	Gb0315930	PRJEB42019	SAMEA7723649	ERX4804595|ERX4803648|ERX4806748|ERX4807330|ERX4805314
Gp0619600	Targeted Gene Survey	incomplete	Gs0154244	Gb0315933	PRJEB42019	SAMEA7723652	ERX4806751|ERX4806354|ERX4805317|ERX4804599|ERX4807333|ERX4803651
Gp0619027	Metagenome	Permanent Draft	Gs0154244	Gb0315933	PRJEB42019	SAMEA7723652	ERX4813120|ERX4813907|ERX4814520
Gp0619610	Targeted Gene Survey	incomplete	Gs0154244	Gb0315943	PRJEB42019	SAMEA7723662	ERX4803661|ERX4806761|ERX4806365|ERX4805327|ERX4807343|ERX4804620
Gp0619037	Metagenome	Permanent Draft	Gs0154244	Gb0315943	PRJEB42019	SAMEA7723662	ERX4813141|ERX4813928|ERX4814541
Gp0619617	Targeted Gene Survey	incomplete	Gs0154244	Gb0315950	PRJEB42019	SAMEA7723669	ERX4804638|ERX4803668|ERX4807350|ERX4806768|ERX4805334
Gp0619044	Metagenome	Permanent Draft	Gs0154244	Gb0315950	PRJEB42019	SAMEA7723669	ERX4813946|ERX4813159|ERX4814559
Gp0619519	Targeted Gene Survey	incomplete	Gs0154244	Gb0315472	PRJEB42019	SAMEA7723568	ERX4805223|ERX4803557|ERX4807245
Gp0620131	Targeted Gene Survey	incomplete	Gs0154244	Gb0315608	PRJEB42019	SAMEA7724421	ERX4806668
Gp0619788	Targeted Gene Survey	incomplete	Gs0154244	Gb0315787	PRJEB42019	SAMEA7723888	ERX4809779|ERX4806919|ERX4805549|ERX4804106|ERX4805955|ERX4804894
Gp0618881	Metagenome	Permanent Draft	Gs0154244	Gb0315787	PRJEB42019	SAMEA7723888	ERX4812923|ERX4811074|ERX4813710|ERX4812353
Gp0619647	Targeted Gene Survey	incomplete	Gs0154244	Gb0315811	PRJEB42019	SAMEA7723699	ERX4807723|ERX4805808|ERX4807912|ERX4804370|ERX4803713|ERX4807395|ERX4806813|ERX4805379
Gp0618905	Metagenome	Permanent Draft	Gs0154244	Gb0315811	PRJEB42019	SAMEA7723699	ERX4813505|ERX4814292|ERX4812755|ERX4811476
Gp0619694	Targeted Gene Survey	incomplete	Gs0154244	Gb0315714	PRJEB42019	SAMEA7723794	ERX4807925|ERX4805429|ERX4803984
Gp0619695	Targeted Gene Survey	incomplete	Gs0154244	Gb0315715	PRJEB42019	SAMEA7723795	ERX4805430|ERX4803985
Gp0618900	Metagenome	Permanent Draft	Gs0154244	Gb0315806	PRJEB42019	SAMEA7723694	ERX4814287|ERX4811471|ERX4813500|ERX4812750
Gp0619642	Targeted Gene Survey	incomplete	Gs0154244	Gb0315806	PRJEB42019	SAMEA7723694	ERX4803708|ERX4805374|ERX4804827|ERX4806808|ERX4807390|ERX4806480
Gp0618903	Metagenome	Permanent Draft	Gs0154244	Gb0315809	PRJEB42019	SAMEA7723697	ERX4811474|ERX4813503|ERX4814290|ERX4812753
Gp0619645	Targeted Gene Survey	incomplete	Gs0154244	Gb0315809	PRJEB42019	SAMEA7723697	ERX4805377|ERX4807999|ERX4807393|ERX4803711|ERX4806811|ERX4804369
Gp0619675	Targeted Gene Survey	incomplete	Gs0154244	Gb0315839	PRJEB42019	SAMEA7723727	ERX4806840|ERX4805407|ERX4803741|ERX4807422
Gp0618933	Metagenome	Permanent Draft	Gs0154244	Gb0315839	PRJEB42019	SAMEA7723727	ERX4813534|ERX4814321
Gp0618940	Metagenome	Permanent Draft	Gs0154244	Gb0315846	PRJEB42019	SAMEA7723734	ERX4814328|ERX4813541
Gp0619682	Targeted Gene Survey	incomplete	Gs0154244	Gb0315846	PRJEB42019	SAMEA7723734	ERX4807429|ERX4803748|ERX4806847|ERX4805414
Gp0618944	Metagenome	Permanent Draft	Gs0154244	Gb0315850	PRJEB42019	SAMEA7724011	ERX4812748|ERX4814285|ERX4811469|ERX4813498
Gp0619893	Targeted Gene Survey	incomplete	Gs0154244	Gb0315850	PRJEB42019	SAMEA7724011	ERX4804365|ERX4807998|ERX4806220|ERX4807184|ERX4805161|ERX4805804
Gp0619048	Metagenome	Permanent Draft	Gs0154244	Gb0315954	PRJEB42019	SAMEA7723685	ERX4814617|ERX4811408|ERX4813429|ERX4814216|ERX4812687
Gp0619633	Targeted Gene Survey	incomplete	Gs0154244	Gb0315954	PRJEB42019	SAMEA7723685	ERX4804340|ERX4805363|ERX4805780|ERX4807717|ERX4807906|ERX4803697|ERX4806797|ERX4807379
Gp0619051	Metagenome	Permanent Draft	Gs0154244	Gb0315957	PRJEB42019	SAMEA7723892	ERX4812934|ERX4811084|ERX4813721|ERX4812363|ERX4814442
Gp0619792	Targeted Gene Survey	incomplete	Gs0154244	Gb0315957	PRJEB42019	SAMEA7723892	ERX4805560|ERX4806928|ERX4804903|ERX4809682|ERX4804117
Gp0619638	Targeted Gene Survey	incomplete	Gs0154244	Gb0315802	PRJEB42019	SAMEA7723690	ERX4803704|ERX4805370|ERX4806804|ERX4804359|ERX4807386|ERX4805799|ERX4809831
Gp0618896	Metagenome	Permanent Draft	Gs0154244	Gb0315802	PRJEB42019	SAMEA7723690	ERX4813495|ERX4814282|ERX4811462|ERX4812741
Gp0619080	Metagenome	Permanent Draft	Gs0154244	Gb0315986	PRJEB42019	SAMEA7724139	ERX4813846|ERX4814459|ERX4813059
Gp0619994	Targeted Gene Survey	incomplete	Gs0154244	Gb0315986	PRJEB42019	SAMEA7724139	ERX4807007|ERX4806041|ERX4804536|ERX4806316|ERX4804982
Gp0619086	Metagenome	Permanent Draft	Gs0154244	Gb0315992	PRJEB42019	SAMEA7724145	ERX4814473|ERX4813073|ERX4813860
Gp0620000	Targeted Gene Survey	incomplete	Gs0154244	Gb0315992	PRJEB42019	SAMEA7724145	ERX4806323|ERX4804550
Gp0620003	Targeted Gene Survey	incomplete	Gs0154244	Gb0315995	PRJEB42019	SAMEA7724148	ERX4806326|ERX4804553
Gp0619089	Metagenome	incomplete	Gs0154244	Gb0315995	PRJEB42019	SAMEA7724148	ERX4813076|ERX4813863|ERX4814476
Gp0620020	Targeted Gene Survey	incomplete	Gs0154244	Gb0316012	PRJEB42019	SAMEA7724165	ERX4804591|ERX4806351
Gp0618907	Metagenome	Permanent Draft	Gs0154244	Gb0315813	PRJEB42019	SAMEA7723701	ERX4811481|ERX4813507|ERX4814294|ERX4812760
Gp0619649	Targeted Gene Survey	incomplete	Gs0154244	Gb0315813	PRJEB42019	SAMEA7723701	ERX4807724|ERX4804374|ERX4807913|ERX4803715|ERX4805381|ERX4806815|ERX4805812|ERX4807397
Gp0619115	Metagenome	Permanent Draft	Gs0154244	Gb0316021	PRJEB42019	SAMEA7724174	ERX4813915|ERX4814528|ERX4813128
Gp0620029	Targeted Gene Survey	incomplete	Gs0154244	Gb0316021	PRJEB42019	SAMEA7724174	ERX4806058|ERX4804607|ERX4804999|ERX4807024|ERX4806358
Gp0619124	Metagenome	Permanent Draft	Gs0154244	Gb0316030	PRJEB42019	SAMEA7724183	ERX4813935|ERX4813148|ERX4814548
Gp0620038	Targeted Gene Survey	incomplete	Gs0154244	Gb0316030	PRJEB42019	SAMEA7724183	ERX4806067|ERX4804627|ERX4806371|ERX4807033|ERX4805008
Gp0619674	Targeted Gene Survey	incomplete	Gs0154244	Gb0315838	PRJEB42019	SAMEA7723726	ERX4806839|ERX4805406|ERX4807421|ERX4803740
Gp0618932	Metagenome	Permanent Draft	Gs0154244	Gb0315838	PRJEB42019	SAMEA7723726	ERX4814320|ERX4813533
Gp0619677	Targeted Gene Survey	incomplete	Gs0154244	Gb0315841	PRJEB42019	SAMEA7723729	ERX4807424|ERX4805409|ERX4803743|ERX4806842
Gp0618935	Metagenome	Permanent Draft	Gs0154244	Gb0315841	PRJEB42019	SAMEA7723729	ERX4813536|ERX4814323
Gp0618938	Metagenome	Permanent Draft	Gs0154244	Gb0315844	PRJEB42019	SAMEA7723732	ERX4813539|ERX4814326
Gp0619680	Targeted Gene Survey	incomplete	Gs0154244	Gb0315844	PRJEB42019	SAMEA7723732	ERX4807427|ERX4803746|ERX4806845|ERX4805412
Gp0618548	Metagenome	Permanent Draft	Gs0154244	Gb0315454	PRJEB42019	SAMEA7723735	ERX4812789|ERX4813557|ERX4814344|ERX4811510
Gp0619683	Targeted Gene Survey	incomplete	Gs0154244	Gb0315454	PRJEB42019	SAMEA7723735	ERX4807820|ERX4803749|ERX4804408|ERX4806848|ERX4805846|ERX4805415|ERX4807430
Gp0618954	Metagenome	Permanent Draft	Gs0154244	Gb0315860	PRJEB42019	SAMEA7723412	ERX4812933|ERX4814441|ERX4812362|ERX4811083|ERX4813720
Gp0619381	Targeted Gene Survey	incomplete	Gs0154244	Gb0315860	PRJEB42019	SAMEA7723412	ERX4806927|ERX4806509|ERX4804902|ERX4803833|ERX4805559|ERX4803401|ERX4804116|ERX4807762|ERX4805963|ERX4807466
Gp0619376	Targeted Gene Survey	incomplete	Gs0154244	Gb0315791	PRJEB42019	SAMEA7723407	ERX4803396|ERX4804101|ERX4803828|ERX4807859|ERX4806914|ERX4804889|ERX4807670|ERX4807461|ERX4806504|ERX4805544|ERX4805950
Gp0618885	Metagenome	Permanent Draft	Gs0154244	Gb0315791	PRJEB42019	SAMEA7723407	ERX4813705|ERX4812918|ERX4812348|ERX4811069
Gp0619801	Targeted Gene Survey	incomplete	Gs0154244	Gb0315774	PRJEB42019	SAMEA7723908	ERX4804156|ERX4809789|ERX4804949|ERX4806008|ERX4806974|ERX4805599
Gp0618868	Metagenome	Permanent Draft	Gs0154244	Gb0315774	PRJEB42019	SAMEA7723908	ERX4811141|ERX4813802|ERX4812420|ERX4813015
Gp0619412	Targeted Gene Survey	incomplete	Gs0154244	Gb0315869	PRJEB42019	SAMEA7723459	ERX4806037|ERX4807512|ERX4803880|ERX4804200|ERX4803448|ERX4804978|ERX4807003|ERX4807774|ERX4805643|ERX4806555
Gp0618963	Metagenome	Permanent Draft	Gs0154244	Gb0315869	PRJEB42019	SAMEA7723459	ERX4813053|ERX4812472|ERX4811193|ERX4814453|ERX4813840
Gp0619468	Targeted Gene Survey	incomplete	Gs0154244	Gb0315875	PRJEB42019	SAMEA7723517	ERX4806169|ERX4807986|ERX4807569|ERX4803938|ERX4805110|ERX4803506|ERX4807134|ERX4804302|ERX4806612|ERX4805742
Gp0618969	Metagenome	Permanent Draft	Gs0154244	Gb0315875	PRJEB42019	SAMEA7723517	ERX4811372|ERX4813391|ERX4812651|ERX4814579|ERX4814178
Gp0619705	Targeted Gene Survey	incomplete	Gs0154244	Gb0315725	PRJEB42019	SAMEA7723805	ERX4805440|ERX4807737|ERX4803995
Gp0619706	Targeted Gene Survey	incomplete	Gs0154244	Gb0315503	PRJEB42019	SAMEA7723806	ERX4805441|ERX4807834|ERX4803996|ERX4807642
Gp0619711	Targeted Gene Survey	incomplete	Gs0154244	Gb0315508	PRJEB42019	SAMEA7723811	ERX4804001|ERX4807835|ERX4805446|ERX4807643
Gp0619053	Metagenome	Permanent Draft	Gs0154244	Gb0315959	PRJEB42019	SAMEA7723928	ERX4813054|ERX4811194|ERX4813841|ERX4812473|ERX4814454
Gp0619816	Targeted Gene Survey	incomplete	Gs0154244	Gb0315959	PRJEB42019	SAMEA7723928	ERX4807886|ERX4804979|ERX4805644|ERX4807004|ERX4804201|ERX4807697|ERX4806038
Gp0619473	Targeted Gene Survey	incomplete	Gs0154244	Gb0315880	PRJEB42019	SAMEA7723522	ERX4809723|ERX4805122|ERX4803943|ERX4806617|ERX4806181|ERX4804315|ERX4805755|ERX4807574|ERX4803511|ERX4807146
Gp0618974	Metagenome	Permanent Draft	Gs0154244	Gb0315880	PRJEB42019	SAMEA7723522	ERX4814592|ERX4811385|ERX4814191|ERX4813404|ERX4812664
Gp0618983	Metagenome	Permanent Draft	Gs0154244	Gb0315889	PRJEB42019	SAMEA7723531	ERX4811396|ERX4813415|ERX4814603|ERX4814202|ERX4812675
Gp0619482	Targeted Gene Survey	incomplete	Gs0154244	Gb0315889	PRJEB42019	SAMEA7723531	ERX4805132|ERX4807583|ERX4804326|ERX4803952|ERX4806626|ERX4807991|ERX4806191|ERX4807156|ERX4805766|ERX4803520
Gp0618553	Metagenome	Permanent Draft	Gs0154244	Gb0315459	PRJEB42019	SAMEA7723550	ERX4811516|ERX4812795|ERX4813569|ERX4814356
Gp0619501	Targeted Gene Survey	incomplete	Gs0154244	Gb0315459	PRJEB42019	SAMEA7723550	ERX4804420|ERX4807602|ERX4807207|ERX4806243|ERX4807823|ERX4805184|ERX4803539|ERX4805858|ERX4806644|ERX4803971
Gp0619721	Targeted Gene Survey	incomplete	Gs0154244	Gb0315518	PRJEB42019	SAMEA7723821	ERX4807645|ERX4804011|ERX4807837|ERX4805456
Gp0618544	Metagenome	incomplete	Gs0154244	Gb0315450	PRJEB42019	SAMEA7723546	ERX4814349|ERX4813562
Gp0619497	Targeted Gene Survey	incomplete	Gs0154244	Gb0315450	PRJEB42019	SAMEA7723546	ERX4805179|ERX4806641|ERX4808009|ERX4803967|ERX4803535|ERX4806238|ERX4804413|ERX4807202|ERX4807598|ERX4805851
Gp0619524	Targeted Gene Survey	incomplete	Gs0154244	Gb0315477	PRJEB42019	SAMEA7723573	ERX4803562|ERX4805228
Gp0619542	Targeted Gene Survey	incomplete	Gs0154244	Gb0315495	PRJEB42019	SAMEA7723591	ERX4803580|ERX4807264|ERX4805246
Gp0619557	Targeted Gene Survey	incomplete	Gs0154244	Gb0315792	PRJEB42019	SAMEA7723606	ERX4805266|ERX4805541|ERX4804098|ERX4807282|ERX4803600|ERX4806700|ERX4809678
Gp0618886	Metagenome	Permanent Draft	Gs0154244	Gb0315792	PRJEB42019	SAMEA7723606	ERX4813702|ERX4812915|ERX4811066|ERX4812345
Gp0619744	Targeted Gene Survey	incomplete	Gs0154244	Gb0315741	PRJEB42019	SAMEA7723844	ERX4804034|ERX4807651|ERX4805479|ERX4807841
Gp0618532	Metagenome	Permanent Draft	Gs0154244	Gb0315438	PRJEB42019	SAMEA7723848	ERX4812291|ERX4813648|ERX4812861|ERX4811011
Gp0619748	Targeted Gene Survey	incomplete	Gs0154244	Gb0315438	PRJEB42019	SAMEA7723848	ERX4805486|ERX4807933|ERX4804041|ERX4805913|ERX4804850|ERX4806875
Gp0619749	Targeted Gene Survey	incomplete	Gs0154244	Gb0315766	PRJEB42019	SAMEA7723849	ERX4804043|ERX4807747|ERX4805915|ERX4806877|ERX4804852|ERX4805488
Gp0618860	Metagenome	Permanent Draft	Gs0154244	Gb0315766	PRJEB42019	SAMEA7723849	ERX4812295|ERX4813650|ERX4811015|ERX4812863
Gp0619757	Targeted Gene Survey	incomplete	Gs0154244	Gb0315726	PRJEB42019	SAMEA7723857	ERX4804063|ERX4805508|ERX4805925|ERX4809672|ERX4806888|ERX4804863
Gp0618820	Metagenome	Permanent Draft	Gs0154244	Gb0315726	PRJEB42019	SAMEA7723857	ERX4813670|ERX4811035|ERX4812883|ERX4812315
Gp0619409	Targeted Gene Survey	incomplete	Gs0154244	Gb0315866	PRJEB42019	SAMEA7723456	ERX4805640|ERX4804197|ERX4806552|ERX4806034|ERX4807509|ERX4803877|ERX4807000|ERX4804975|ERX4803445|ERX4807696|ERX4807885
Gp0618960	Metagenome	Permanent Draft	Gs0154244	Gb0315866	PRJEB42019	SAMEA7723456	ERX4814450|ERX4811190|ERX4813050|ERX4813837|ERX4812469
Gp0619538	Targeted Gene Survey	incomplete	Gs0154244	Gb0315491	PRJEB42019	SAMEA7723587	ERX4805242|ERX4807261|ERX4803576
Gp0619544	Targeted Gene Survey	incomplete	Gs0154244	Gb0315497	PRJEB42019	SAMEA7723593	ERX4803582|ERX4807266|ERX4805248
Gp0619545	Targeted Gene Survey	incomplete	Gs0154244	Gb0315498	PRJEB42019	SAMEA7723594	ERX4803583|ERX4805249|ERX4807267
Gp0620147	Targeted Gene Survey	incomplete	Gs0154244	Gb0315624	PRJEB42019	SAMEA7724437	ERX4806684
Gp0620163	Targeted Gene Survey	incomplete	Gs0154244	Gb0315640	PRJEB42019	SAMEA7724453	ERX4806870
Gp0619966	Targeted Gene Survey	incomplete	Gs0154244	Gb0315549	PRJEB42019	SAMEA7724084	ERX4804475
Gp0619969	Targeted Gene Survey	incomplete	Gs0154244	Gb0315552	PRJEB42019	SAMEA7724087	ERX4806282|ERX4804478
Gp0618671	Metagenome	incomplete	Gs0154244	Gb0315577	PRJEB42019	SAMEA7724368	ERX4812856|ERX4813643
Gp0620083	Targeted Gene Survey	incomplete	Gs0154244	Gb0315577	PRJEB42019	SAMEA7724368	ERX4804846
Gp0620015	Targeted Gene Survey	incomplete	Gs0154244	Gb0316007	PRJEB42019	SAMEA7724160	ERX4806045|ERX4804986|ERX4807011|ERX4804576
Gp0619101	Metagenome	Permanent Draft	Gs0154244	Gb0316007	PRJEB42019	SAMEA7724160	ERX4813098|ERX4813885|ERX4814498
Gp0620017	Targeted Gene Survey	incomplete	Gs0154244	Gb0316009	PRJEB42019	SAMEA7724162	ERX4806344|ERX4806047|ERX4804581|ERX4804988|ERX4807013
Gp0619103	Metagenome	Permanent Draft	Gs0154244	Gb0316009	PRJEB42019	SAMEA7724162	ERX4813890|ERX4814503|ERX4813103
Gp0620027	Targeted Gene Survey	incomplete	Gs0154244	Gb0316019	PRJEB42019	SAMEA7724172	ERX4806056|ERX4804604|ERX4807022|ERX4804997|ERX4806357
Gp0619113	Metagenome	Permanent Draft	Gs0154244	Gb0316019	PRJEB42019	SAMEA7724172	ERX4813912|ERX4814525|ERX4813125
Gp0619963	Targeted Gene Survey	incomplete	Gs0154244	Gb0315546	PRJEB42019	SAMEA7724081	ERX4804472|ERX4806281
Gp0619989	Targeted Gene Survey	incomplete	Gs0154244	Gb0315431	PRJEB42019	SAMEA7724134	ERX4804529|ERX4806313
Gp0618525	Metagenome	Permanent Draft	Gs0154244	Gb0315431	PRJEB42019	SAMEA7724134	ERX4812448|ERX4811169
Gp0620144	Targeted Gene Survey	incomplete	Gs0154244	Gb0315621	PRJEB42019	SAMEA7724434	ERX4806681
Gp0620145	Targeted Gene Survey	incomplete	Gs0154244	Gb0315622	PRJEB42019	SAMEA7724435	ERX4806682
Gp0619954	Targeted Gene Survey	incomplete	Gs0154244	Gb0315708	PRJEB42019	SAMEA7724072	ERX4804463
Gp0619309	Targeted Gene Survey	incomplete	Gs0154244	Gb0239918	PRJEB42019	SAMEA7724297	ERX4804769|ERX4806447
Gp0452544	Metagenome	Permanent Draft	Gs0154244	Gb0239918	PRJEB42019	SAMEA7724297	ERX4813359|ERX4814146
Gp0619313	Targeted Gene Survey	incomplete	Gs0154244	Gb0239922	PRJEB42019	SAMEA7724301	ERX4804773
Gp0452548	Metagenome	Permanent Draft	Gs0154244	Gb0239922	PRJEB42019	SAMEA7724301	ERX4813363|ERX4814150
Gp0452551	Metagenome	Permanent Draft	Gs0154244	Gb0239925	PRJEB42019	SAMEA7724304	ERX4814153|ERX4811349|ERX4812628|ERX4813366
Gp0619316	Targeted Gene Survey	incomplete	Gs0154244	Gb0239925	PRJEB42019	SAMEA7724304	ERX4804776
Gp0619302	Targeted Gene Survey	incomplete	Gs0154244	Gb0239940	PRJEB42019	SAMEA7724290	ERX4806444|ERX4804762
Gp0452566	Metagenome	incomplete	Gs0154244	Gb0239940	PRJEB42019	SAMEA7724290	ERX4813352|ERX4814139
Gp0619356	Targeted Gene Survey	incomplete	Gs0154244	Gb0239981	PRJEB42019	SAMEA7724407	ERX4806423
Gp0452607	Metagenome	incomplete	Gs0154244	Gb0239981	PRJEB42019	SAMEA7724407	ERX4813296|ERX4814083
Gp0619282	Targeted Gene Survey	incomplete	Gs0154244	Gb0240002	PRJEB42019	SAMEA7724270	ERX4804742
Gp0452628	Metagenome	Permanent Draft	Gs0154244	Gb0240002	PRJEB42019	SAMEA7724270	ERX4812603|ERX4814119|ERX4811324|ERX4813332
Gp0619284	Targeted Gene Survey	incomplete	Gs0154244	Gb0240004	PRJEB42019	SAMEA7724272	ERX4804744
Gp0452630	Metagenome	incomplete	Gs0154244	Gb0240004	PRJEB42019	SAMEA7724272	ERX4814121|ERX4813334
Gp0452696	Metagenome	Permanent Draft	Gs0154244	Gb0240070	PRJEB42019	SAMEA7724197	ERX4812476|ERX4813954|ERX4811197|ERX4813167
Gp0619214	Targeted Gene Survey	incomplete	Gs0154244	Gb0240070	PRJEB42019	SAMEA7724197	ERX4806381|ERX4804646
Gp0452719	Metagenome	Permanent Draft	Gs0154244	Gb0240093	PRJEB42019	SAMEA7724215	ERX4813185|ERX4812494|ERX4811215|ERX4813972
Gp0619232	Targeted Gene Survey	incomplete	Gs0154244	Gb0240093	PRJEB42019	SAMEA7724215	ERX4806390|ERX4804664
Gp0452739	Metagenome	Permanent Draft	Gs0154244	Gb0240113	PRJEB42019	SAMEA7723429	ERX4812390|ERX4813749|ERX4811111|ERX4812962
Gp0619148	Targeted Gene Survey	incomplete	Gs0154244	Gb0240113	PRJEB42019	SAMEA7723429	ERX4805586|ERX4804144|ERX4804928|ERX4803418|ERX4807483|ERX4805988|ERX4806525|ERX4806953|ERX4803850|ERX4809787
Gp0452564	Metagenome	Permanent Draft	Gs0154244	Gb0239938	PRJEB42019	SAMEA7724288	ERX4812615|ERX4813350|ERX4811336|ERX4814137
Gp0619300	Targeted Gene Survey	incomplete	Gs0154244	Gb0239938	PRJEB42019	SAMEA7724288	ERX4804760
Gp0452568	Metagenome	incomplete	Gs0154244	Gb0239942	PRJEB42019	SAMEA7724120	ERX4813781|ERX4812994
Gp0619203	Targeted Gene Survey	incomplete	Gs0154244	Gb0239942	PRJEB42019	SAMEA7724120	ERX4804515
Gp0452581	Metagenome	Permanent Draft	Gs0154244	Gb0239955	PRJEB42019	SAMEA7724109	ERX4812407|ERX4813770|ERX4811128|ERX4812983
Gp0619192	Targeted Gene Survey	incomplete	Gs0154244	Gb0239955	PRJEB42019	SAMEA7724109	ERX4804504
Gp0452593	Metagenome	incomplete	Gs0154244	Gb0239967	PRJEB42019	SAMEA7724236	ERX4813282|ERX4814069
Gp0619248	Targeted Gene Survey	incomplete	Gs0154244	Gb0239967	PRJEB42019	SAMEA7724236	ERX4804708|ERX4806413
Gp0619251	Targeted Gene Survey	incomplete	Gs0154244	Gb0239970	PRJEB42019	SAMEA7724239	ERX4804711|ERX4806414
Gp0452596	Metagenome	Permanent Draft	Gs0154244	Gb0239970	PRJEB42019	SAMEA7724239	ERX4813285|ERX4814072|ERX4812579|ERX4811300
Gp0619253	Targeted Gene Survey	incomplete	Gs0154244	Gb0239972	PRJEB42019	SAMEA7724241	ERX4804713|ERX4806415
Gp0452598	Metagenome	incomplete	Gs0154244	Gb0239972	PRJEB42019	SAMEA7724241	ERX4814074|ERX4813287
Gp0619256	Targeted Gene Survey	incomplete	Gs0154244	Gb0239975	PRJEB42019	SAMEA7724244	ERX4804716|ERX4806418
Gp0452601	Metagenome	Permanent Draft	Gs0154244	Gb0239975	PRJEB42019	SAMEA7724244	ERX4814077|ERX4813290
Gp0452606	Metagenome	Permanent Draft	Gs0154244	Gb0239980	PRJEB42019	SAMEA7724249	ERX4813295|ERX4811305|ERX4814082|ERX4812584
Gp0619261	Targeted Gene Survey	incomplete	Gs0154244	Gb0239980	PRJEB42019	SAMEA7724249	ERX4806422|ERX4804721
Gp0452622	Metagenome	incomplete	Gs0154244	Gb0239996	PRJEB42019	SAMEA7724264	ERX4813326|ERX4814113
Gp0619276	Targeted Gene Survey	incomplete	Gs0154244	Gb0239996	PRJEB42019	SAMEA7724264	ERX4806433|ERX4804736
Gp0452635	Metagenome	incomplete	Gs0154244	Gb0240009	PRJEB42019	SAMEA7724277	ERX4813339|ERX4814126
Gp0619289	Targeted Gene Survey	incomplete	Gs0154244	Gb0240009	PRJEB42019	SAMEA7724277	ERX4804749|ERX4806438
Gp0452660	Metagenome	Permanent Draft	Gs0154244	Gb0240034	PRJEB42019	SAMEA7724320	ERX4814231|ERX4812701|ERX4811422|ERX4813444
Gp0619332	Targeted Gene Survey	incomplete	Gs0154244	Gb0240034	PRJEB42019	SAMEA7724320	ERX4804792|ERX4806461
Gp0619341	Targeted Gene Survey	incomplete	Gs0154244	Gb0240043	PRJEB42019	SAMEA7724339	ERX4806470|ERX4804811
Gp0452669	Metagenome	Permanent Draft	Gs0154244	Gb0240043	PRJEB42019	SAMEA7724339	ERX4814250|ERX4813463
Gp0619346	Targeted Gene Survey	incomplete	Gs0154244	Gb0240048	PRJEB42019	SAMEA7724344	ERX4804816
Gp0452674	Metagenome	Permanent Draft	Gs0154244	Gb0240048	PRJEB42019	SAMEA7724344	ERX4812714|ERX4813468|ERX4814255|ERX4811435
Gp0452689	Metagenome	Permanent Draft	Gs0154244	Gb0240063	PRJEB42019	SAMEA7724202	ERX4813959|ERX4812481|ERX4813172|ERX4811202
Gp0619219	Targeted Gene Survey	incomplete	Gs0154244	Gb0240063	PRJEB42019	SAMEA7724202	ERX4804651
Gp0619245	Targeted Gene Survey	incomplete	Gs0154244	Gb0240084	PRJEB42019	SAMEA7724228	ERX4804677
Gp0452710	Metagenome	Permanent Draft	Gs0154244	Gb0240084	PRJEB42019	SAMEA7724228	ERX4812503|ERX4813198|ERX4813985|ERX4811224
Gp0619226	Targeted Gene Survey	incomplete	Gs0154244	Gb0240088	PRJEB42019	SAMEA7724209	ERX4804658
Gp0452714	Metagenome	Permanent Draft	Gs0154244	Gb0240088	PRJEB42019	SAMEA7724209	ERX4813966|ERX4811209|ERX4813179|ERX4812488
Gp0452728	Metagenome	incomplete	Gs0154244	Gb0240102	PRJEB42019	SAMEA7727180	ERX4813790|ERX4813003
Gp0619168	Targeted Gene Survey	incomplete	Gs0154244	Gb0240112	PRJEB42019	SAMEA7723901	ERX4805585|ERX4804143|ERX4807869|ERX4804927|ERX4807680|ERX4805987|ERX4806952
Gp0452738	Metagenome	Permanent Draft	Gs0154244	Gb0240112	PRJEB42019	SAMEA7723901	ERX4813748|ERX4812961
Gp0619185	Targeted Gene Survey	incomplete	Gs0154244	Gb0240114	PRJEB42019	SAMEA7724102	ERX4804929|ERX4804493|ERX4806292|ERX4805989|ERX4806954
Gp0452740	Metagenome	Permanent Draft	Gs0154244	Gb0240114	PRJEB42019	SAMEA7724102	ERX4812391|ERX4811112|ERX4813750|ERX4812963
Gp0619152	Targeted Gene Survey	incomplete	Gs0154244	Gb0240124	PRJEB42019	SAMEA7723433	ERX4807767|ERX4804939|ERX4805591|ERX4806529|ERX4805999|ERX4803854|ERX4803422|ERX4806964|ERX4807487|ERX4804149
Gp0452750	Metagenome	Permanent Draft	Gs0154244	Gb0240124	PRJEB42019	SAMEA7723433	ERX4811121|ERX4813760|ERX4812973|ERX4812400
Gp0619188	Targeted Gene Survey	incomplete	Gs0154244	Gb0240125	PRJEB42019	SAMEA7724105	ERX4806000|ERX4806965|ERX4804940|ERX4804499
Gp0452751	Metagenome	Permanent Draft	Gs0154244	Gb0240125	PRJEB42019	SAMEA7724105	ERX4811122|ERX4812974|ERX4813761|ERX4812401
Gp0620093	Targeted Gene Survey	incomplete	Gs0154244	Gb0297480	PRJEB42019	SAMEA7724378	ERX4807192|ERX4806228|ERX4805169
Gp0578425	Metagenome	incomplete	Gs0154244	Gb0297480	PRJEB42019	SAMEA7724378	ERX4813548|ERX4814335
