	has_enum_range	has_preferred_unit	name_components	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s	evidence_score	weighted_evidence_score
occup_samp	False		2	True	float																																																																																																																											True																																																																																																																																																																				True																																															True																																																																														2	1.0
org_carb	False		2	True	string																																																																																																																																		True																																			True																																																																																																																												True																																																																																																																											2	1.0
org_count_qpcr_info	False	True	4	False	string						True																																																																																				True																																																																																														True																																																													True																																												True																																																																																																																											0	0.0
org_matter	False	True	2	True	string																																																																True																																																																		True																																																																																																																																								True																							True																																																																																																																											2	1.0
org_nitro	False		2	True	string																																																																																																																																		True																																																																																																																																																							True								True																																																																																																																											2	1.0
org_particles	False	True	2	False	string																																True																																																																																																																																																																																																																																																																	True										True																																																																																																																	1	0.5
organism_count	False		2	True	string																																																																																																																																																																																								True																																																																																																																																																																																																																																				1	0.5
otu_class_appr	False		3	False	string																																																																																																																													True																										True																		True																																																																																																																										True																																																																																																																									-3	-1.0
otu_db	False		2	False	string																																																																																																																																																																																															True																																																																																																				True																																																																																																																									-2	-1.0
otu_seq_comp_appr	False		4	False	string																																																																																																																																																							True																							True																																																																																																																					True																																																			True																																																																						-2	-0.5
owc_tvdss	False	True	2	True	string																																																								True																																																																										True																																																																																																																																																																																																																																																																								True																		4	2.0
oxy_stat_samp	True		3	False	OxyStatSampEnum																																																																																																																																																																																																																																																																																																					True																																									True																															True																																															-2	-0.6666666666666666
oxygen	False	True	1	True	string																																																																													True																	True																																				True																																																																																																																																																																				True																																																																																																																						4	4.0
part_org_carb	False		3	True	string																																																																																																																																		True																																			True																																																																																																																												True									True																																																																																																																		2	0.6666666666666666
part_org_nitro	False	True	3	True	string																																																																True					True																																																													True																																																																																																																																																							True								True									True																																																																																																																		3	1.0
part_plant_animal	False		3	False	string																																																																																																																																																				True																																																																																																																																																						True									True																																																																																																									-1	-0.3333333333333333
particle_class	False	True	2	False	string																																																																		True																																																																																																							True																																																																																																																																																																																																																																																			0	0.0
pathogenicity	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
pcr_cond	False		2	False	string																																																																																																																																																																																True																																																																																																																													True																																																																																																															-2	-1.0
pcr_primers	False		2	False	string																																																																																																															True																																																																																																																																																																																														True																																																																																																															-2	-1.0
permeability	False	True	1	False	string																																																							True																																																																																																																																																																																																																																																																																																																																																																					1	1.0
perturbation	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
pesticide_regm	False	True	2	False	string																									True																																																				True									True																																																																																																																																																																																																																																																True																																																																																						0	0.0
pet_farm_animal	False		3	False	string																																																																																																																																																				True																																																																			True																																																																																																																																																																																																					-1	-0.3333333333333333
petroleum_hydrocarb	False	True	2	True	string																																																																					True																																																													True																																																																																																																																																																																																																																																																																										3	1.5
ph	False		1	False	float																																																																																																																																																																																																																																																																																																															True																																																																																																													-1	-1.0
ph_meth	False		2	False	string																																																																																																																		True																																																																																																																																																															True																														True																																																																																																													-3	-1.5
ph_regm	False		2	False	string																																																																																																																																																																																																																																																																																																															True																							True																																																																																						-2	-1.0
phaeopigments	False	True	1	False	string																																																																										True																																																																																																																																																																																																																																																																																																																																																		1	1.0
phosphate	False	True	1	True	string																																																																					True																																																													True																																																																																																																																																																															True																																																																																																											3	3.0
phosplipid_fatt_acid	False		3	False	string																																																																																																																																									True																																																																																																																																																																																																																																																																																			0	0.0
photon_flux	False	True	2	True	string																																																																																											True																																							True																																																																																																																																																																																																																																																																																										3	1.5
photosynt_activ	False	True	2	False	string																																																																																				True																																														True									True																																																																																																																																																																							True																																																																																																										3	1.5
photosynt_activ_meth	False		3	False	string																																																																																																																			True																								True																																																																																																																																						True																																	True																																																																																																										-1	-0.3333333333333333
plant_growth_med	False		3	False	string																																																																																																																																																																																																																																							True																																					True																																							True																																																																																																									-3	-1.0
plant_part_maturity	False		3	False	string																																																																																																																																																																																																																																																																																																										True									True																																																																																																									-1	-0.3333333333333333
plant_product	False		2	False	string																																																																																																																																																																																																																																																																																																																			True													True																																																																																												-2	-1.0
plant_reprod_crop	True		3	False	PlantReprodCropEnum																																																																																																																																																																																										True																																																																																																																									True																																																																																																									-2	-0.6666666666666666
plant_sex	True		2	False	PlantSexEnum																																																																																																																																																																																																																																																																																																																			True																																						True																																																																			-3	-1.5
plant_struc	False		2	False	string																																																																																																																																				True																																																																																																																																																																															True																																																															True																																										-2	-1.0
plant_water_method	False		3	False	string																																																																																																																																				True																																																																																																																																														True																																	True																																																																																																		True							-3	-1.0
ploidy	False		1	False	string																																																																																																																																				True																																																																																																																																																																																																																																																																																								-1	-1.0
pollutants	False	True	1	False	string																									True																																					True															True									True																																																																																																																																																																																																																																																																																																																																						1	1.0
pool_dna_extracts	False	True	3	False	string																									True																																								True													True																																																																																																																														True																																																																																																																																																																																																																1	0.3333333333333333
porosity	False	True	1	False	string																																																																																																			True																																																																																																																																																																																																																		True																																																																																																							2	2.0
pos_cont_type	False		3	False	string																																																																																																																																																																																			True																																																																																																																																			True																																																																																						True																-2	-0.6666666666666666
potassium	False	True	1	True	string																																																																													True																	True																																				True																																																																																																																																																																																																																																																																																										3	3.0
pour_point	False	True	2	True	string																			True																																																																																																															True																																																																																																																																																																																		True																																																																																																								3	1.5
pre_treatment	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																									True																			-1	-0.5
pred_genome_struc	True		3	False	PredGenomeStrucEnum																																																																																																																																																																																																																																				True																																																																																				True																																																										True																																										-2	-0.6666666666666666
pred_genome_type	True		3	False	ViralGenomeTypeEnum																																																																																																																																																																																																																																				True																																																																																				True																																																																																				True																-3	-1.0
pregnancy	False		1	False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
pres_animal_insect	False		3	False	string																																																																																																																																																				True																																																																																																																																																																																																																																																																								0	0.0
pressure	False	True	1	True	string		True																																																																																																																																True																																																																																																																																																																																										True																																																																																																4	4.0
prev_land_use_meth	False		4	False	string																																																																																																																		True																																																																																																																																											True																				True																																																																																																																													True														-3	-0.75
previous_land_use	False		3	False	string																																																																																																																																																																																																																																																													True																																																																																																																																																	True														-1	-0.3333333333333333
primary_prod	False	True	2	True	string																																		True																																									True																																																							True																																																																																																																																																																																											True		True																																																																																													2	1.0
primary_treatment	False		2	False	string																																																																																																																																																																																																																																																																																																																													True																																																																												True																			-2	-1.0
prod_label_claims	False		3	False	string																																																																																																																																																																																																																																																												True																																																																			True																																																																																													-1	-0.3333333333333333
prod_rate	False	True	2	True	string													True																																																																																																																					True																																																																																																																																																																																													True				True																																																																																									4	2.0
prod_start_date	False		3	False	datetime																																																																																																																																																																																														True																																																																																																																																	True																																													True																																																-1	-0.3333333333333333
profile_position	True		2	False	ProfilePositionEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-0.5
project_name	False		2	False	string																																																																																																																																																																																																																																																																																								True																																																																																																																																				-1	-0.5
propagation	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
pulmonary_disord	False		2	False	string																																																																																																																																																																																																										True																																																																																																																																																																																																																		-1	-0.5
quad_pos	True		2	False	QuadPosEnum																																																																																																																																																																																																																																																																																																																						True																																																																																																						-2	-1.0
radiation_regm	False	True	2	False	string																																				True																																																																		True																																																																																																																																																																																																																																True																																																																																						0	0.0
rainfall_regm	False	True	2	False	string																																																																															True																																																																																																																																																																																																																																																							True																																																																																						0	0.0
reactor_type	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																												True																-1	-0.5
reassembly_bin	False		2	False	boolean																																																																																																																																																												True																																																																																																																																																																																																																																																																0	0.0
redox_potential	False	True	2	True	string																																																																																			True																																															True																																																																																																																																																																																																																																																																																										3	1.5
ref_biomaterial	False		2	False	string																																																																																																																		True																																																																																																																																																																																																																			True																																																																																							-1	-0.5
ref_db	False		2	False	string																																																																																																																																																																																															True																																																																																																																																						True																																																																																							-1	-0.5
rel_air_humidity	False	True	3	True	float																																																																																																			True																															True													True																																																																																																	True																																																																																							True																																																																																					4	1.3333333333333333
rel_humidity_out	False	True	3	True	string																											True															True																																																																																								True																																																																																																														True																																																				True																																			True																																																																																					4	1.3333333333333333
rel_location	False		2	False	string																																																																																																																																																																																																																																																																						True																																																																	True																																																																																					-1	-0.5
rel_samp_loc	True		3	False	RelSampLocEnum																																																																																																																																																																																																																																																																				True																																																																			True							True																																																																														-2	-0.6666666666666666
rel_to_oxygen	True		3	False	RelToOxygenEnum																																																																																																																																																																																																																																																																																																						True																																	True																																																																																					0	0.0
repository_name	False		2	False	string																																																																																																																																																																																																																																																																																								True																																																																																																																																				-1	-0.5
reservoir	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
resins_pc	False	True	2	False	string																																																																																																		True																													True																																																																																																																																																																													True		True																																																																																																														0	0.0
room_air_exch_rate	False	True	4	True	string																																																			True																																																																															True													True																																																																																																																																																																																				True							True																																																																																		4	1.0
room_architec_elem	False		3	False	string																																																																																																																																																																																																																																																																																																																																										True																																																																																		0	0.0
room_condt	True		2	False	RoomCondtEnum																																																																																																																																																																																	True																																																																																																																																																									True																																																																																		-2	-1.0
room_connected	True		2	False	RoomConnectedEnum																																																																																																																																																																																																																																																																																																																																										True																																																																																		-1	-0.5
room_count	False		2	False	integer																																																																																																																																																																																								True																																																																																																																																																		True																																																																																		0	0.0
room_dim	False	True	2	False	string																																																								True																																																																																																																																																																																																																																																																																		True																																																																																		1	0.5
room_door_dist	False	True	3	False	string																																																								True																																																																			True																																																																																		True																																																																																																																													True																																																																																		2	0.6666666666666666
room_door_share	False		3	False	string																																																																																																																																	True																																																																												True																																																																																																																													True																	True																																																																	-2	-0.6666666666666666
room_hallway	False		2	False	string																																																																																																																																	True																																																																																																																																																																																																									True																																																																																		-1	-0.5
room_loc	True		2	False	RoomLocEnum																																																																																																																																																																																																																																																																				True																																																																						True																																																																																		-2	-1.0
room_moist_dam_hist	False		4	False	integer																																																																																																																																																																																																																																													True																																																																																													True																																																																																		-1	-0.25
room_net_area	False	True	3	False	string																																																																																																								True	True																		True																													True																																																																																																																																																																																		True																																																																																		3	1.0
room_occup	False		2	True	string																																																																																																																											True																																																																																																																																																																				True																																											True																																																																																		2	1.0
room_samp_pos	True		3	False	RoomSampPosEnum																																																																																																																																																																																																																																																																																																																						True																				True				True																																																																														-2	-0.6666666666666666
room_type	False		2	False	string																																																																																																																																																																																																																																																																																																																																										True																																																																		True																-1	-0.5
