Number	Item	Vote	Comments	Filename
8.4	Software & source code access	Yes	All software versions and parameters provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
8.5	Reproducible research	Yes	Methods described in reproducible detail	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
9.0	Descriptive data	Yes	Sample characteristics summarized 	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
10.0	Microbiome sequencing data	Yes	Sequencing results presented	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
10.1	Metabolomics, proteomics, & other omics data	NA	Not applicable	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
10.2	Statistical analyses	Yes	Statistical results presented	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
10.3	Figures, tables, & captions	Yes	Clear figures and detailed captions provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
11.0	Key results	Yes	Key findings highlighted	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
11.1	Interpretation	Yes	Results interpreted in context	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
11.2	Limitations	Yes	Limitations discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
11.3	Generalizability	Yes	Generalizability discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
12.0	Ongoing & future work	Yes	Future applications discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
13.0	Conclusions	Yes	Clear conclusions provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
14.0	Acknowledgements	Yes	Detailed acknowledgements provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
14.1	Funding	Yes	Funding sources listed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
15.0	Conflicts of interest	No	No conflicts of interest statement	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
16.0	Supplementary data & files	Yes	Supplementary figures and tables provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
17.0	Sample & data availability	Yes	Data availability statement with accession numbers	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
18.0	AI usage	NA	Published in 2020, before AI usage reporting requirements	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
1.0	Structured or unstructured abstract	Yes	Unstructured abstract present on pg 15783 containing background, methods, results, and conclusions	acp-23-15783-2023.tsv
1.1	Study design	Yes	"Study design described in abstract: ""large-scale survey of potential INP sources in tundra terrain"""	acp-23-15783-2023.tsv
1.2	Environmental & sample information	Yes	Abstract describes specific environmental system (thermokarst regions, tundra terrain) and sample types (permafrost, active layer, ice wedge, vegetation, water, aerosol)	acp-23-15783-2023.tsv
1.3	Host information (if applicable)	NA	Study did not involve host organisms	acp-23-15783-2023.tsv
1.4	Experiments & omics methods	Yes	Abstract describes sample collection and INP analyses performed	acp-23-15783-2023.tsv
1.5	Analyses & results	Yes	Abstract summarizes key analyses and results, including INP concentrations and heat sensitivity tests	acp-23-15783-2023.tsv
2.0	Background & rationale	Yes	Introduction (pg 15783-15784) provides detailed background on thermokarst processes, INPs, and Arctic climate	acp-23-15783-2023.tsv
2.1	Hypotheses or questions	Yes	"Research objectives stated on pg 15784: to survey ""previously uncharacterized potential sources of airborne terrestrial-based Arctic INPs"""	acp-23-15783-2023.tsv
3.0	Study design	Yes	Detailed in Methods section 2.1 (pg 15784). Observational study with field sampling conducted Sept 1-17, 2021	acp-23-15783-2023.tsv
3.1	Samples	Yes	Sample types and collection methods described in detail in Methods sections 2.1-2.2	acp-23-15783-2023.tsv
3.2	Environmental context & geographic location	Yes	Study conducted near Utqiagvik, Alaska with specific coordinates provided in Table 1	acp-23-15783-2023.tsv
3.3	Relevant dates	Yes	Sampling dates specified (Sept 1-17, 2021) with pre-campaign measurements Aug 22-24	acp-23-15783-2023.tsv
3.4	Host(s) (if applicable)	NA	Study did not involve host organisms	acp-23-15783-2023.tsv
3.5	Ethics	No	No mention of permits or ethical approvals	acp-23-15783-2023.tsv
3.6	Environmental conditions & experimental treatments	Yes	Environmental conditions described including wind speeds, temperatures, and weather conditions	acp-23-15783-2023.tsv
3.7	Sample collection	Yes	Detailed methods for collecting each sample type provided in Methods section 2.1	acp-23-15783-2023.tsv
3.8	Eligibility/selection criteria	Yes	"Site selection criteria described on pg 15784: ""Sites were chosen based on accessibility with all-terrain vehicles (ATVs) as well as to maximize areal coverage and diversity of terrain and weather conditions"""	acp-23-15783-2023.tsv
3.9	Analytic sample size	Yes	Sample numbers provided throughout results and in Table 1	acp-23-15783-2023.tsv
4.0	Storage & preservation	Yes	Sample storage and preservation methods described on pg 15786	acp-23-15783-2023.tsv
4.1	Shipping	No	No information provided about sample transport	acp-23-15783-2023.tsv
4.2	Extraction methods	Yes	Methods for extracting and processing samples described in section 2.2	acp-23-15783-2023.tsv
4.3	Experiments & sample processing	Yes	Sample processing methods detailed in section 2.2	acp-23-15783-2023.tsv
4.4	Library preparation	NA	Study did not involve sequencing libraries	acp-23-15783-2023.tsv
4.5	Depletion, enrichment, & multiplexing	NA	Study did not involve nucleic acid work	acp-23-15783-2023.tsv
4.6	Primer selection	NA	Study did not involve PCR or primers	acp-23-15783-2023.tsv
5.0	Positive controls	No	No mention of positive controls	acp-23-15783-2023.tsv
5.1	Negative controls	Yes	Blank controls described for aerosol samples on pg 15786	acp-23-15783-2023.tsv
6.0	Quantification & quality assessments	Yes	Quality control measures described including confidence intervals and corrections	acp-23-15783-2023.tsv
6.1	Contaminant mitigation & identification	Yes	Methods to control for contamination described including filter cleaning and blanks	acp-23-15783-2023.tsv
6.2	Replication	Yes	Multiple samples collected at each site and replication described throughout methods	acp-23-15783-2023.tsv
6.3	Sequencing methods	NA	Study did not involve sequencing	acp-23-15783-2023.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Study did not involve omics methods	acp-23-15783-2023.tsv
6.5	Contextual & linked datasets	No	No mention of linked datasets	acp-23-15783-2023.tsv
6.6	Batch effects	No	Batch effects not discussed	acp-23-15783-2023.tsv
7.0	Bioinformatics analyses	Yes	Statistical analyses and PCA described in Methods	acp-23-15783-2023.tsv
7.1	Quality control	Yes	Quality control measures described including blank corrections and confidence intervals	acp-23-15783-2023.tsv
7.2	Normalization	Yes	Data normalization methods described for freezing point depression corrections	acp-23-15783-2023.tsv
7.3	Database information	NA	Study did not use databases	acp-23-15783-2023.tsv
7.4	Statistical methods	Yes	Statistical methods including PCA and confidence intervals described	acp-23-15783-2023.tsv
7.5	Missing data	No	Handling of missing data not discussed	acp-23-15783-2023.tsv
7.6	Bias & confounding variables	Yes	Potential biases discussed including wind effects and sampling limitations	acp-23-15783-2023.tsv
7.7	Subgroup analysis	Yes	Subgroup analyses performed for different sample types and locations	acp-23-15783-2023.tsv
7.8	Sensitivity analyses	Yes	Heat sensitivity analyses performed and described	acp-23-15783-2023.tsv
7.9	Criteria for significance	Yes	95% confidence intervals used and described	acp-23-15783-2023.tsv
8.0	Metadata access	Yes	Data availability statement provided	acp-23-15783-2023.tsv
8.1	Host data access (if applicable)	NA	Study did not involve host organisms	acp-23-15783-2023.tsv
8.2	Raw data access	Yes	Data availability statement indicates data are available at DOI provided	acp-23-15783-2023.tsv
8.3	Processed data access	Yes	Data availability statement indicates processed data are available	acp-23-15783-2023.tsv
8.4	Software & source code access	No	No code availability statement	acp-23-15783-2023.tsv
8.5	Reproducible research	No	No explicit statement about reproducibility	acp-23-15783-2023.tsv
9.0	Descriptive data	Yes	Sample characteristics summarized in results and Table 1	acp-23-15783-2023.tsv
10.0	Microbiome sequencing data	NA	Study did not involve microbiome sequencing	acp-23-15783-2023.tsv
10.1	Metabolomics, proteomics, & other omics data	NA	Study did not involve omics data	acp-23-15783-2023.tsv
10.2	Statistical analyses	Yes	Statistical analysis results presented throughout Results section	acp-23-15783-2023.tsv
10.3	Figures, tables, & captions	Yes	Multiple clear figures and tables with detailed captions provided	acp-23-15783-2023.tsv
11.0	Key results	Yes	Key findings summarized in Discussion and Conclusions	acp-23-15783-2023.tsv
11.1	Interpretation	Yes	Results interpreted in context of objectives and previous work	acp-23-15783-2023.tsv
11.2	Limitations	Yes	Study limitations discussed	acp-23-15783-2023.tsv
11.3	Generalizability	Yes	Generalizability of findings discussed in relation to other Arctic regions	acp-23-15783-2023.tsv
12.0	Ongoing & future work	Yes	Future research directions discussed in Conclusions	acp-23-15783-2023.tsv
13.0	Conclusions	Yes	Clear conclusions provided	acp-23-15783-2023.tsv
14.0	Acknowledgements	Yes	Detailed acknowledgements provided	acp-23-15783-2023.tsv
14.1	Funding	Yes	Funding sources acknowledged	acp-23-15783-2023.tsv
15.0	Conflicts of interest	Yes	Competing interests statement provided	acp-23-15783-2023.tsv
16.0	Supplementary data & files	Yes	Supplementary information referenced	acp-23-15783-2023.tsv
17.0	Sample & data availability	Yes	Data availability statement provided with DOI	acp-23-15783-2023.tsv
18.0	AI usage	No	No statement about AI usage provided	acp-23-15783-2023.tsv
1.0	Structured or unstructured abstract	Yes	Unstructured abstract present providing background, approach, methods and key findings	41564_2019_Article_449.tsv
1.1	Study design	Yes	Study design described in abstract (metagenomic and proteomic analyses of Mediterranean grassland soil)	41564_2019_Article_449.tsv
1.2	Environmental & sample information	Yes	Environmental context described - Mediterranean grassland soil ecosystem, sub-root zone samples	41564_2019_Article_449.tsv
1.3	Host information (if applicable)	NA	No host organisms involved	41564_2019_Article_449.tsv
1.4	Experiments & omics methods	Yes	Abstract describes metagenomic sequencing, proteomic analyses and bioinformatics methods	41564_2019_Article_449.tsv
1.5	Analyses & results	Yes	Key findings about microbial communities and C-N cycling described in abstract	41564_2019_Article_449.tsv
2.0	Background & rationale	Yes	Extensive background on soil carbon cycling and study rationale provided in introduction	41564_2019_Article_449.tsv
2.1	Hypotheses or questions	Yes	Clear research objectives stated to understand soil microbial communities and their roles	41564_2019_Article_449.tsv
3.0	Study design	Yes	Detailed sampling and analysis design described in Methods	41564_2019_Article_449.tsv
3.1	Samples	Yes	Sample collection and processing detailed in Methods	41564_2019_Article_449.tsv
3.2	Environmental context & geographic location	Yes	Site location and characteristics provided (Angelo Coast Range Reserve, CA)	41564_2019_Article_449.tsv
3.3	Relevant dates	Yes	Sample collection dates provided (September-October 2014)	41564_2019_Article_449.tsv
3.4	Host(s) (if applicable)	NA	No host organisms involved	41564_2019_Article_449.tsv
3.5	Ethics	No	No ethics statements or permits mentioned except sampling permission	41564_2019_Article_449.tsv
3.6	Environmental conditions & experimental treatments	Yes	Extended rainfall treatment conditions described	41564_2019_Article_449.tsv
3.7	Sample collection	Yes	Detailed soil core collection methods described	41564_2019_Article_449.tsv
3.8	Eligibility/selection criteria	Yes	Sample selection criteria described for soil depths and locations	41564_2019_Article_449.tsv
3.9	Analytic sample size	Yes	60 soil samples total described, with 20 for proteomics	41564_2019_Article_449.tsv
4.0	Storage & preservation	Yes	Sample storage methods described (flash frozen, -80°C)	41564_2019_Article_449.tsv
4.1	Shipping	Yes	Shipping details provided (on ice within 24h)	41564_2019_Article_449.tsv
4.2	Extraction methods	Yes	DNA/protein extraction methods detailed	41564_2019_Article_449.tsv
4.3	Experiments & sample processing	Yes	Sample processing described in detail	41564_2019_Article_449.tsv
4.4	Library preparation	Yes	Metagenomic library prep described	41564_2019_Article_449.tsv
4.5	Depletion, enrichment, & multiplexing	NA	Not applicable for this study type	41564_2019_Article_449.tsv
4.6	Primer selection	NA	Not applicable for this study type	41564_2019_Article_449.tsv
5.0	Positive controls	No	No positive controls described	41564_2019_Article_449.tsv
5.1	Negative controls	No	No negative controls described	41564_2019_Article_449.tsv
6.0	Quantification & quality assessments	Yes	Quality filtering and assessment described	41564_2019_Article_449.tsv
6.1	Contaminant mitigation & identification	No	No contamination control methods described	41564_2019_Article_449.tsv
6.2	Replication	Yes	Sample replication detailed (3 biological replicates)	41564_2019_Article_449.tsv
6.3	Sequencing methods	Yes	Sequencing platform and parameters described	41564_2019_Article_449.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	Yes	Detailed proteomic methods provided	41564_2019_Article_449.tsv
6.5	Contextual & linked datasets	Yes	Links to data repositories provided	41564_2019_Article_449.tsv
6.6	Batch effects	Yes	Sample processing order and batches described	41564_2019_Article_449.tsv
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics methods provided	41564_2019_Article_449.tsv
7.1	Quality control	Yes	QC steps described for sequence and protein data	41564_2019_Article_449.tsv
7.2	Normalization	Yes	Data normalization methods described	41564_2019_Article_449.tsv
7.3	Database information	Yes	Reference databases described	41564_2019_Article_449.tsv
7.4	Statistical methods	Yes	Statistical analyses detailed	41564_2019_Article_449.tsv
7.5	Missing data	No	No discussion of missing data handling	41564_2019_Article_449.tsv
7.6	Bias & confounding variables	Yes	Potential biases discussed	41564_2019_Article_449.tsv
7.7	Subgroup analysis	Yes	Depth and treatment-based analyses described	41564_2019_Article_449.tsv
7.8	Sensitivity analyses	Yes	Permutation tests and sensitivity analyses described	41564_2019_Article_449.tsv
7.9	Criteria for significance	Yes	Statistical significance criteria defined	41564_2019_Article_449.tsv
8.0	Metadata access	Yes	Data availability statement provided	41564_2019_Article_449.tsv
8.1	Host data access (if applicable)	NA	No host data involved	41564_2019_Article_449.tsv
8.2	Raw data access	Yes	Raw data accessibility described (NCBI BioProject)	41564_2019_Article_449.tsv
8.3	Processed data access	Yes	Processed data availability described	41564_2019_Article_449.tsv
8.4	Software & source code access	Yes	Code availability on GitHub described	41564_2019_Article_449.tsv
8.5	Reproducible research	Yes	Methods enable reproduction	41564_2019_Article_449.tsv
9.0	Descriptive data	Yes	Sample characteristics described	41564_2019_Article_449.tsv
10.0	Microbiome sequencing data	NA	Not traditional microbiome sequencing	41564_2019_Article_449.tsv
10.1	Metabolomics, proteomics, & other omics data	Yes	Proteomic data described and available	41564_2019_Article_449.tsv
10.2	Statistical analyses	Yes	Statistical results reported throughout	41564_2019_Article_449.tsv
10.3	Figures, tables, & captions	Yes	Clear figures with detailed captions	41564_2019_Article_449.tsv
11.0	Key results	Yes	Key findings summarized	41564_2019_Article_449.tsv
11.1	Interpretation	Yes	Results interpreted in context of field	41564_2019_Article_449.tsv
11.2	Limitations	Yes	Study limitations discussed	41564_2019_Article_449.tsv
11.3	Generalizability	Yes	Broader implications discussed	41564_2019_Article_449.tsv
12.0	Ongoing & future work	Yes	Future directions described	41564_2019_Article_449.tsv
13.0	Conclusions	Yes	Clear conclusions provided	41564_2019_Article_449.tsv
14.0	Acknowledgements	Yes	Acknowledgements section present	41564_2019_Article_449.tsv
14.1	Funding	Yes	Funding information provided	41564_2019_Article_449.tsv
15.0	Conflicts of interest	Yes	Competing interests section included	41564_2019_Article_449.tsv
16.0	Supplementary data & files	Yes	Supplementary data described and available	41564_2019_Article_449.tsv
17.0	Sample & data availability	Yes	Data availability detailed	41564_2019_Article_449.tsv
18.0	AI usage	No	No mention of AI usage	41564_2019_Article_449.tsv
1.0	Structured or unstructured abstract	Yes	Unstructured abstract present with background, methods, results and significance (lines 13-33)	2022.12.12.520098v2.full.tsv
1.1	Study design	Yes	Study design described in abstract - pilot study with standardized sampling and molecular analysis	2022.12.12.520098v2.full.tsv
1.2	Environmental & sample information	Yes	Abstract describes soil samples across CONUS with focus on molecular composition and structure	2022.12.12.520098v2.full.tsv
1.3	Host information (if applicable)	NA	No host organisms involved in this study	2022.12.12.520098v2.full.tsv
1.4	Experiments & omics methods	Yes	Abstract describes FTICR-MS and XCT methods plus other molecular analyses	2022.12.12.520098v2.full.tsv
1.5	Analyses & results	Yes	Abstract summarizes key analyses and findings related to wildfire impacts on soil	2022.12.12.520098v2.full.tsv
2.0	Background & rationale	Yes	Introduction provides extensive background on soil carbon cycling and rationale for molecular-level analyses	2022.12.12.520098v2.full.tsv
2.1	Hypotheses or questions	Yes	Research objectives stated clearly to develop CONUS-scale molecular database and demonstrate utility through wildfire case study	2022.12.12.520098v2.full.tsv
3.0	Study design	Yes	Study design described in Data Generation Overview section (lines 108-145)	2022.12.12.520098v2.full.tsv
3.1	Samples	Yes	Sample collection and preparation detailed in Approach section and Fig 1B	2022.12.12.520098v2.full.tsv
3.2	Environmental context & geographic location	Yes	Geographic locations provided in map (Fig 1A) and site descriptions	2022.12.12.520098v2.full.tsv
3.3	Relevant dates	Yes	Sample collection dates provided (e.g., November 2021 for case study)	2022.12.12.520098v2.full.tsv
3.4	Host(s) (if applicable)	NA	No host organisms involved	2022.12.12.520098v2.full.tsv
3.5	Ethics	Yes	Acknowledgment of tribal leaders and permits mentioned (lines 337-338)	2022.12.12.520098v2.full.tsv
3.6	Environmental conditions & experimental treatments	Yes	Environmental conditions and site history described in case study 	2022.12.12.520098v2.full.tsv
3.7	Sample collection	Yes	Detailed sample collection methods provided in Approach section	2022.12.12.520098v2.full.tsv
3.8	Eligibility/selection criteria	Yes	Sample selection criteria described in Dataset Description	2022.12.12.520098v2.full.tsv
3.9	Analytic sample size	Yes	Sample sizes specified (76 cores total, 3 for case study)	2022.12.12.520098v2.full.tsv
4.0	Storage & preservation	Yes	Sample shipping and storage described (lines 108-109)	2022.12.12.520098v2.full.tsv
4.1	Shipping	Yes	Shipping methods described (shipped on ice within 24h)	2022.12.12.520098v2.full.tsv
4.2	Extraction methods	Yes	Multiple extraction methods detailed in Data Generation Overview	2022.12.12.520098v2.full.tsv
4.3	Experiments & sample processing	Yes	Sample processing detailed extensively in Methods	2022.12.12.520098v2.full.tsv
4.4	Library preparation	NA	Not applicable - no sequencing library prep	2022.12.12.520098v2.full.tsv
4.5	Depletion, enrichment, & multiplexing	NA	Not applicable - no sequencing involved	2022.12.12.520098v2.full.tsv
4.6	Primer selection	NA	Not applicable - no PCR/sequencing performed	2022.12.12.520098v2.full.tsv
5.0	Positive controls	No	No positive controls described	2022.12.12.520098v2.full.tsv
5.1	Negative controls	No	No negative controls described	2022.12.12.520098v2.full.tsv
6.0	Quantification & quality assessments	Yes	Quality assessment methods described for various analyses	2022.12.12.520098v2.full.tsv
6.1	Contaminant mitigation & identification	No	No contamination control methods described	2022.12.12.520098v2.full.tsv
6.2	Replication	Yes	Replicate cores collected (2x 30cm cores per site)	2022.12.12.520098v2.full.tsv
6.3	Sequencing methods	NA	Not applicable - no sequencing performed	2022.12.12.520098v2.full.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	Yes	FTICR-MS methods described in detail	2022.12.12.520098v2.full.tsv
6.5	Contextual & linked datasets	Yes	Data availability described (Zenodo repository)	2022.12.12.520098v2.full.tsv
6.6	Batch effects	No	No discussion of batch effects	2022.12.12.520098v2.full.tsv
7.0	Bioinformatics analyses	Yes	Data analysis methods described for FTICR-MS and XCT	2022.12.12.520098v2.full.tsv
7.1	Quality control	Yes	Data QC described for various analyses	2022.12.12.520098v2.full.tsv
7.2	Normalization	Yes	Data normalization described for analyses	2022.12.12.520098v2.full.tsv
7.3	Database information	Yes	Reference databases described (e.g., KEGG)	2022.12.12.520098v2.full.tsv
7.4	Statistical methods	Yes	Statistical methods described in case study	2022.12.12.520098v2.full.tsv
7.5	Missing data	No	No discussion of missing data handling	2022.12.12.520098v2.full.tsv
7.6	Bias & confounding variables	Yes	Limitations and potential biases discussed	2022.12.12.520098v2.full.tsv
7.7	Subgroup analysis	Yes	Subgroup analyses by depth and burn history	2022.12.12.520098v2.full.tsv
7.8	Sensitivity analyses	No	No sensitivity analyses described	2022.12.12.520098v2.full.tsv
7.9	Criteria for significance	Yes	Statistical significance criteria stated	2022.12.12.520098v2.full.tsv
8.0	Metadata access	Yes	Data availability via Zenodo described	2022.12.12.520098v2.full.tsv
8.1	Host data access (if applicable)	NA	No host data involved	2022.12.12.520098v2.full.tsv
8.2	Raw data access	Yes	Raw data availability described	2022.12.12.520098v2.full.tsv
8.3	Processed data access	Yes	Processed data availability described	2022.12.12.520098v2.full.tsv
8.4	Software & source code access	Yes	Software and analysis tools cited	2022.12.12.520098v2.full.tsv
8.5	Reproducible research	Yes	Reproducibility addressed through data/code availability	2022.12.12.520098v2.full.tsv
9.0	Descriptive data	Yes	Sample characteristics described in detail	2022.12.12.520098v2.full.tsv
10.0	Microbiome sequencing data	NA	Not applicable - no microbiome sequencing	2022.12.12.520098v2.full.tsv
10.1	Metabolomics, proteomics, & other omics data	Yes	FTICR-MS data reported	2022.12.12.520098v2.full.tsv
10.2	Statistical analyses	Yes	Statistical analyses reported throughout Results	2022.12.12.520098v2.full.tsv
10.3	Figures, tables, & captions	Yes	Multiple informative figures with detailed captions	2022.12.12.520098v2.full.tsv
11.0	Key results	Yes	Key findings summarized in Case Study Conclusions	2022.12.12.520098v2.full.tsv
11.1	Interpretation	Yes	Results interpreted in context of wildfire impacts	2022.12.12.520098v2.full.tsv
11.2	Limitations	Yes	Study limitations discussed (e.g., small sample size)	2022.12.12.520098v2.full.tsv
11.3	Generalizability	Yes	Broader implications discussed	2022.12.12.520098v2.full.tsv
12.0	Ongoing & future work	Yes	Future directions discussed in final section	2022.12.12.520098v2.full.tsv
13.0	Conclusions	Yes	Conclusions provided in final paragraph	2022.12.12.520098v2.full.tsv
14.0	Acknowledgements	Yes	Acknowledgements section present	2022.12.12.520098v2.full.tsv
14.1	Funding	Yes	Funding sources detailed	2022.12.12.520098v2.full.tsv
15.0	Conflicts of interest	Yes	Disclaimer statement included	2022.12.12.520098v2.full.tsv
16.0	Supplementary data & files	Yes	Supplementary data referenced	2022.12.12.520098v2.full.tsv
17.0	Sample & data availability	Yes	Data availability described with repository links	2022.12.12.520098v2.full.tsv
18.0	AI usage	No	No mention of AI usage	2022.12.12.520098v2.full.tsv
1.0	Structured or unstructured abstract	Yes	Unstructured abstract forms main body of conference paper	BISS_article_20637.tsv
1.1	Study design	Yes	Implementation report of MIxS standard in two systems	BISS_article_20637.tsv
1.2	Environmental & sample information	Yes	Environmental microbiome samples described	BISS_article_20637.tsv
1.3	Host information (if applicable)	NA	Not applicable - environmental samples	BISS_article_20637.tsv
1.4	Experiments & omics methods	Yes	Mentions sequencing and analysis methods	BISS_article_20637.tsv
1.5	Analyses & results	Yes	Describes implementation challenges and solutions	BISS_article_20637.tsv
2.0	Background & rationale	Yes	Explains purpose of MIxS standard and implementation goals	BISS_article_20637.tsv
2.1	Hypotheses or questions	Yes	Clear aim to report on MIxS implementation experiences	BISS_article_20637.tsv
3.0	Study design	NA	As a conference abstract about implementation experiences, detailed study design not applicable	BISS_article_20637.tsv
3.1	Samples	NA	Not applicable - paper discusses metadata standards rather than specific samples	BISS_article_20637.tsv
3.2	Environmental context & geographic location	NA	Not applicable for this implementation report	BISS_article_20637.tsv
3.3	Relevant dates	Yes	Publication dates provided	BISS_article_20637.tsv
3.4	Host(s) (if applicable)	NA	Not applicable - environmental samples	BISS_article_20637.tsv
3.5	Ethics	NA	Not applicable for this type of study	BISS_article_20637.tsv
3.6	Environmental conditions & experimental treatments	NA	Not applicable for this implementation report	BISS_article_20637.tsv
3.7	Sample collection	NA	Not applicable - discusses metadata standards rather than specific samples	BISS_article_20637.tsv
3.8	Eligibility/selection criteria	NA	Not applicable for this type of study	BISS_article_20637.tsv
3.9	Analytic sample size	Yes	Mentions 50,000 samples for EMP	BISS_article_20637.tsv
4.0	Storage & preservation	NA	Not applicable for this implementation report	BISS_article_20637.tsv
4.1	Shipping	NA	Not applicable	BISS_article_20637.tsv
4.2	Extraction methods	NA	Not applicable	BISS_article_20637.tsv
4.3	Experiments & sample processing	NA	Not applicable	BISS_article_20637.tsv
4.4	Library preparation	NA	Not applicable	BISS_article_20637.tsv
4.5	Depletion, enrichment, & multiplexing	NA	Not applicable	BISS_article_20637.tsv
4.6	Primer selection	NA	Not applicable	BISS_article_20637.tsv
5.0	Positive controls	NA	Not applicable	BISS_article_20637.tsv
5.1	Negative controls	NA	Not applicable	BISS_article_20637.tsv
6.0	Quantification & quality assessments	NA	Not applicable	BISS_article_20637.tsv
6.1	Contaminant mitigation & identification	NA	Not applicable	BISS_article_20637.tsv
6.2	Replication	NA	Not applicable	BISS_article_20637.tsv
6.3	Sequencing methods	NA	Not applicable	BISS_article_20637.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Not applicable	BISS_article_20637.tsv
6.5	Contextual & linked datasets	Yes	References EMP and GoC Ecobiomics projects	BISS_article_20637.tsv
6.6	Batch effects	NA	Not applicable	BISS_article_20637.tsv
7.0	Bioinformatics analyses	NA	Not applicable	BISS_article_20637.tsv
7.1	Quality control	NA	Not applicable	BISS_article_20637.tsv
7.2	Normalization	NA	Not applicable	BISS_article_20637.tsv
7.3	Database information	NA	Not applicable	BISS_article_20637.tsv
7.4	Statistical methods	NA	Not applicable	BISS_article_20637.tsv
7.5	Missing data	NA	Not applicable	BISS_article_20637.tsv
7.6	Bias & confounding variables	NA	Not applicable	BISS_article_20637.tsv
7.7	Subgroup analysis	NA	Not applicable	BISS_article_20637.tsv
7.8	Sensitivity analyses	NA	Not applicable	BISS_article_20637.tsv
7.9	Criteria for significance	NA	Not applicable	BISS_article_20637.tsv
8.0	Metadata access	Yes	Discusses metadata standards and implementation	BISS_article_20637.tsv
8.1	Host data access (if applicable)	NA	Not applicable	BISS_article_20637.tsv
8.2	Raw data access	NA	Not applicable for this implementation report	BISS_article_20637.tsv
8.3	Processed data access	NA	Not applicable for this implementation report	BISS_article_20637.tsv
8.4	Software & source code access	NA	Not applicable	BISS_article_20637.tsv
8.5	Reproducible research	NA	Not applicable for this type of report	BISS_article_20637.tsv
9.0	Descriptive data	Yes	Describes characteristics of projects implementing MIxS	BISS_article_20637.tsv
10.0	Microbiome sequencing data	NA	Not applicable - paper focuses on metadata standards	BISS_article_20637.tsv
10.1	Metabolomics, proteomics, & other omics data	NA	Not applicable	BISS_article_20637.tsv
10.2	Statistical analyses	NA	Not applicable	BISS_article_20637.tsv
10.3	Figures, tables, & captions	No	No figures or tables included	BISS_article_20637.tsv
11.0	Key results	Yes	Reports key implementation challenges and solutions	BISS_article_20637.tsv
11.1	Interpretation	Yes	Discusses implications of findings for metadata standards	BISS_article_20637.tsv
11.2	Limitations	Yes	Discusses challenges and limitations encountered	BISS_article_20637.tsv
11.3	Generalizability	Yes	Discusses applicability across different projects	BISS_article_20637.tsv
12.0	Ongoing & future work	No	No explicit discussion of future work	BISS_article_20637.tsv
13.0	Conclusions	Yes	Clear conclusions about implementation challenges	BISS_article_20637.tsv
14.0	Acknowledgements	No	No acknowledgements section	BISS_article_20637.tsv
14.1	Funding	No	No funding information provided	BISS_article_20637.tsv
15.0	Conflicts of interest	No	No conflicts of interest statement	BISS_article_20637.tsv
16.0	Supplementary data & files	No	No supplementary materials mentioned	BISS_article_20637.tsv
17.0	Sample & data availability	NA	Not applicable for this implementation report	BISS_article_20637.tsv
18.0	AI usage	NA	Published in 2017, before AI usage reporting requirements	BISS_article_20637.tsv
