slot	has_enum_range	has_preferred_unit	name_components	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s	evidence_score	weighted_evidence_score	confirmed
host_subject_id	False		3	False	string																																																																																																																																																																																																																																															True		True																																																																																																																																																																											-1	-0.333333333333333	
host_subspecf_genlin	False		3	False	string																																																																																																																																																																																																																																															True																																																																																																																																					True																																								-1	-0.333333333333333	
medic_hist_perform	False		3	False	boolean																																																																																																																																																																																																																																													True																																																																																																																																																																															-1	-0.333333333333333	
microb_start_prep	False		3	False	string																																																																																																																																																																																																																																																																																			True																																						True																																																			True																																																-1	-0.333333333333333	
microb_start_taxID	False		3	False	string																																																																																																																	True																																																																																																																																																																		True																																																																																									True																																																-1	-0.333333333333333	
mineral_nutr_regm	False	True	3	False	string																									True																																																				True									True																																																																																																																																																																																																								True																																								True																																																																																						-1	-0.333333333333333	
part_plant_animal	False		3	False	string																																																																																																																																																				True																																																																																																																																																						True									True																																																																																																									-1	-0.333333333333333	
pet_farm_animal	False		3	False	string																																																																																																																																																				True																																																																			True																																																																																																																																																																																																					-1	-0.333333333333333	
photosynt_activ_meth	False		3	False	string																																																																																																																			True																								True																																																																																																																																						True																																	True																																																																																																										-1	-0.333333333333333	
plant_part_maturity	False		3	False	string																																																																																																																																																																																																																																																																																																										True									True																																																																																																									-1	-0.333333333333333	
previous_land_use	False		3	False	string																																																																																																																																																																																																																																																													True																																																																																																																																																	True														-1	-0.333333333333333	
prod_label_claims	False		3	False	string																																																																																																																																																																																																																																																												True																																																																			True																																																																																													-1	-0.333333333333333	
prod_start_date	False		3	False	datetime																																																																																																																																																																																														True																																																																																																																																	True																																													True																																																-1	-0.333333333333333	
root_med_ph	False		3	True	float																																																																																																																																																																																																																																																																												True																																			True																												True																																																																																	-1	-0.333333333333333	
root_med_solid	False		3	False	string																																																																																																																																																																																																																																																																												True																																																															True																																																																																	-1	-0.333333333333333	
samp_collect_device	False		3	False	string																																																																																																																																																																												True																								True																																																																																																																																										True																																																																														-1	-0.333333333333333	
samp_collect_point	True		3	False	SampCollectPointEnum																																																																																																																																																																												True																																																																																																																																								True																										True																																																																														-1	-0.333333333333333	
samp_mat_process	False		3	False	string																																																																																																																																																																																																																																																																									True																																																																					True																																																																														-1	-0.333333333333333	
samp_room_id	False		3	False	integer																																																																																																																																																																																																																																																	True																																																																																									True				True																																																																														-1	-0.333333333333333	
samp_stor_device	False		3	False	string																																																																																																																																																																																																				True																																																																																																																																										True																																		True																																												-1	-0.333333333333333	
samp_store_loc	False		3	False	string																																																																																																																																																																																																																																																																				True																																																																										True																																			True																																											-1	-0.333333333333333	
samp_surf_moisture	True		3	False	SampSurfMoistureEnum																																																																																																																																																																																																																																																																																					True																																																									True																																								True																																						-1	-0.333333333333333	
samp_transport_cond	False	True	3	False	string																	True		True																																																																																																																																																													True																																																																																																																																																														True																																																								True																						-1	-0.333333333333333	
samp_well_name	False		3	False	string																																																																																																																																																																																																																																																																																								True																																																						True																																																																									True					-1	-0.333333333333333	
standing_water_regm	False		3	False	string																																																																																																																																																																																																																																																																																																																																						True																																																																															True							-1	-0.333333333333333	
subspecf_gen_lin	False		3	False	string																																																																																																																																																																																																																																																																																																																																																																																				True																																								-1	-0.333333333333333	
surf_air_cont	True		3	False	SurfAirContEnum																																																																																																																																															True																																				True																																																																																																																																																																																																			True																																						-1	-0.333333333333333	
surf_moisture_ph	False		3	False	float																																																																																																																																																																																																																																																																																					True																										True																																																																							True																																						-1	-0.333333333333333	
symbiont_host_role	True		3	False	SymbiontHostRoleEnum																																																																																																																																																																																																																																															True																																																																																																																																									True																																				-1	-0.333333333333333	
urogenit_tract_disor	False		3	False	string																																																																																																																																																																																																																																																																																																																																																																																																													True															-1	-0.333333333333333	
virus_enrich_appr	True		3	False	VirusEnrichApprEnum																																																																																																																																																							True																																																																																																																																																																																																																																																																					-1	-0.333333333333333	
water_source_shared	False		3	False	string																																																																																																																																																																																																																																																																																																																																																												True									True																																																True							-1	-0.333333333333333	
wga_amp_appr	True		3	False	WgaAmpApprEnum																																																																																																																																																			True				True																																																																																																																																																																																																																																																																	True				-1	-0.333333333333333	
wga_amp_kit	False		3	False	string																																																																																																																																																			True																																																																																																								True																																																																																																																																																													True				-1	-0.333333333333333	
host_of_host_env_loc	False		5	False	string																																																																																																																																																																																																															True																																True																					True																												True																																																																																																																												-2	-0.4	
host_of_host_env_med	False		5	False	string																																																																																																																																																																																																															True																																True																													True																				True																																																																																																																												-2	-0.4	
nose_mouth_teeth_throat_disord	False		5	False	string																																																																																																																																																																																																										True																																																																																True																																																																																																							True																											-2	-0.4	
HACCP_term	False		2	False	string																																																																																																																																				True																																																																																																																																																																																																																																																																																								-1	-0.5	
additional_info	False		2	False	string																																																																																																																																																																																																																																																					True																																																																																																																																																																							-1	-0.5	
adj_room	False		2	False	string																																																																																																																																	True																																																																																																																																																																																																									True																																																																																		-1	-0.5	
adjacent_environment	False		2	False	string																																																																																																																																																																																																																True																																																																																																																																																																																																												-1	-0.5	
aero_struc	True		2	False	AeroStrucEnum																																																																																																																																																																																																																																																																																																																																																																																		True																																										-1	-0.5	
alkalinity_method	False		2	False	string																																																																																																																																																	True																																																																																																																																	True																																																																																																																																										-1	-0.5	
ances_data	False		2	False	string																																																																																																																																																																																													True																																																																																																																																																																																																																															-1	-0.5	
animal_diet	False		2	False	string																																																																																																																																																				True																																																		True																																																																																																																																																																																																																						-1	-0.5	
animal_housing	False		2	False	string																																																																																																																																				True																True																																																																																																																																																																																																																																																																								-1	-0.5	
animal_intrusion	False		2	False	string																																																																																																																	True																																			True																																																																																																																																																																																																																																																																								-1	-0.5	
arch_struc	True		2	False	ArchStrucEnum																																																																																																																																																																																																																																																																																																																																																																																		True																																										-1	-0.5	
assembly_name	False		2	False	string																																																																																																																																																									True																																																																																																																															True																																																																																																																																				-1	-0.5	
associated_resource	False		2	False	string																																																																																																																		True																																																																																																																																																																																																																																																																																																										-1	-0.5	
atmospheric_data	False		2	False	string																																																																																																																																																																																													True																																																																																																																																																																																																																															-1	-0.5	
bin_software	False		2	False	string																																																																																																																																																												True																																																																																																																																																																																																					True																																																											-1	-0.5	
biotic_regm	False		2	False	string																																																																																																																																																																True																																																																																																																																																																						True																																																																																						-1	-0.5	
biotic_relationship	True		2	False	BioticRelationshipEnum																																																																																																																																																																True																																																																																																																																																																																																																																																												-1	-0.5	
build_docs	True		2	False	BuildDocsEnum																																																																																																																																																																			True																																																																																																																																																																																																																																																									-1	-0.5	
building_setting	True		2	False	BuildingSettingEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-0.5	
ceil_struc	True		2	False	CeilStrucEnum																																																																																																																																																																						True																																																																																																																																																																																																												True																																										-1	-0.5	
chem_treatment	False		2	False	string																																																																																																																																																																								True																																																																																																																																																																																																																																	True																			-1	-0.5	
chimera_check	False		2	False	string																																																																																																																																			True																																				True																																																																																																																																																																																																																																																					-1	-0.5	
climate_environment	False		2	False	string																																																																																																																																																																											True																																					True																																																																																																																																																																																																												-1	-0.5	
collection_date	False		2	False	datetime																																																																																																																																																																																														True																																																																																																																																																																																																																														-1	-0.5	
compl_appr	True		2	False	ComplApprEnum																																																																																																																																																							True																								True																																																																																																																																																																																																																																													-1	-0.5	
compl_software	False		2	False	string																																																																																																																																																																															True																																																																																																																																																																																		True																																																											-1	-0.5	
cult_target	False		2	False	string																																																																																																																																																																																											True																																																																																																																																																																																															True																																		-1	-0.5	
decontam_software	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																	True																																																											-1	-0.5	
dermatology_disord	False		2	False	string																																																																																																																																																																																																										True																																																																																																																																																																																																																		-1	-0.5	
detec_type	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																												True																-1	-0.5	
dominant_hand	True		2	False	DominantHandEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-0.5	
door_direct	True		2	False	DoorDirectEnum																																																																																																																																																																																																													True																																																																																																																																																																																																															-1	-0.5	
door_move	True		2	False	DoorMoveEnum																																																																																																																																																																																																													True																																																																																																																																																																																																															-1	-0.5	
enrichment_protocol	False		2	False	string																																																																																																																			True																																																																																																																																																																																																																																																																																																									-1	-0.5	
ext_door	False		2	False	integer																																																																																																																																																																																																													True							True																																																																																																																																																																																																								-1	-0.5	
extreme_event	False		2	False	datetime																																																																																																																																																																																																																		True																																																																																																																																																																																																										-1	-0.5	
farm_equip_san_freq	False		4	False	string																																																																																																																																																																																																																	True						True									True																																																																																																															True																																																																													-2	-0.5	
ferm_medium	False		2	False	string																																																																																																																																																																																																																									True																																																					True																																																																																																																																														-1	-0.5	
ferm_pH	False		2	False	float																																																																																																																																																																																																																									True																																																																														True																																																																																																																					-1	-0.5	
fertilizer_admin	False		2	False	string																																																																																																																																				True									True																																																																													True																																																																																																																																																																																																		-1	-0.5	
fertilizer_date	False		2	False	datetime																																																																																																																																																																																														True																												True																																																																																																																																																																																																		-1	-0.5	
floor_struc	True		2	False	FloorStrucEnum																																																																																																																																																																																																																												True																																																																																																																																																						True																																										-1	-0.5	
food_additive	False		2	False	string																																																																																																																																																																																																																														True																																																																																																																																																																																														-1	-0.5	
food_dis_point_city	False		4	False	string																																																																																																																																																																																																								True																						True																																																																																						True																																																																																																								-2	-0.5	
food_ingredient	False		2	False	string																																																																																																																																																																																																																														True																																																																																																																																																																																														-1	-0.5	
food_origin	False		2	False	string																																																																																																																																						True																																																																																								True																																																																																																																																																																																														-1	-0.5	
food_source	False		2	False	string																																																																																																																																																																																																																														True																																																																																																																																							True																																																							-1	-0.5	
gastrointest_disord	False		2	False	string																																																																																																																																																																																																										True																																																																																																																																																																																																																		-1	-0.5	
gender_restroom	True		2	False	GenderRestroomEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-0.5	
genetic_mod	False		2	False	string																																																																																																																		True																																																																																																																																																																																																																																																																																																										-1	-0.5	
gestation_state	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																														True																																														-1	-0.5	
growth_facil	False		2	False	string																																																																																																																																																																																																																																							True																																																																																																																																																																																					-1	-0.5	
gynecologic_disord	False		2	False	string																																																																																																																																																																																																										True																																																																																																																																																																																																																		-1	-0.5	
hc_produced	True		2	False	HcProducedEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-0.5	
host_dependence	True		2	False	HostDependenceEnum																																																																																																																																																																																																																																															True																																																																																																																																																																													-1	-0.5	
host_diet	False		2	False	string																																																																																																																																																																																																						True																																									True																																																																																																																																																																													-1	-0.5	
host_infra_spec_rank	False		4	False	string																																																																																																																																																																																																																																															True							True																																																																																																																	True																																																					-2	-0.5	
host_number	False		2	False	string																																																																																																																																																																																																																																															True																																														True																																																																																																																															-1	-0.5	
host_sex	False		2	False	string																																																																																																																																																																																																																																															True																																																																																																										True																																																																			-1	-0.5	
