Number	Item	Vote	Comments	Filename
7.2	Normalization	Yes	Read normalization methods described in Methods.	s41564-020-00861-0.tsv
7.3	Database information	Yes	Reference databases and versions listed in Methods.	s41564-020-00861-0.tsv
7.4	Statistical methods	Yes	Statistical analyses detailed in Methods.	s41564-020-00861-0.tsv
7.5	Missing data	Yes	Sample exclusion criteria described.	s41564-020-00861-0.tsv
7.6	Bias & confounding variables	Yes	Potential biases discussed throughout Methods and Results.	s41564-020-00861-0.tsv
7.7	Subgroup analysis	Yes	MAG clustering and subgroup analyses described.	s41564-020-00861-0.tsv
7.8	Sensitivity analyses	Yes	Multiple analytical approaches described to verify findings.	s41564-020-00861-0.tsv
7.9	Criteria for significance	Yes	Statistical significance criteria defined in Methods.	s41564-020-00861-0.tsv
8.0	Metadata access	Yes	Data availability statement provided.	s41564-020-00861-0.tsv
8.1	Host data access (if applicable)	Yes	Host genome references cited.	s41564-020-00861-0.tsv
8.2	Raw data access	Yes	Raw data deposited in JGI portal with accession.	s41564-020-00861-0.tsv
8.3	Processed data access	Yes	Processed data deposited in NCBI (PRJNA800073).	s41564-020-00861-0.tsv
8.4	Software & source code access	Yes	Code available on GitHub and Zenodo.	s41564-020-00861-0.tsv
8.5	Reproducible research	Yes	Reproducibility information provided in Methods.	s41564-020-00861-0.tsv
9.0	Descriptive data	Yes	Sample characteristics summarized in Results.	s41564-020-00861-0.tsv
10.0	Microbiome sequencing data	Yes	Comprehensive sequencing results presented.	s41564-020-00861-0.tsv
10.1	Metabolomics, proteomics, & other omics data	NA	Study focused on metagenomics/metatranscriptomics only.	s41564-020-00861-0.tsv
10.2	Statistical analyses	Yes	Statistical results reported throughout Results.	s41564-020-00861-0.tsv
10.3	Figures, tables, & captions	Yes	Clear figures and tables with detailed captions provided.	s41564-020-00861-0.tsv
11.0	Key results	Yes	Key findings summarized in Discussion.	s41564-020-00861-0.tsv
11.1	Interpretation	Yes	Results interpreted in context of objectives and field.	s41564-020-00861-0.tsv
11.2	Limitations	Yes	Study limitations discussed.	s41564-020-00861-0.tsv
11.3	Generalizability	Yes	Generalizability discussed in Discussion.	s41564-020-00861-0.tsv
12.0	Ongoing & future work	Yes	Future research directions outlined in Discussion.	s41564-020-00861-0.tsv
13.0	Conclusions	Yes	Clear conclusions provided.	s41564-020-00861-0.tsv
14.0	Acknowledgements	Yes	Detailed acknowledgements section with funding.	s41564-020-00861-0.tsv
14.1	Funding	Yes	Funding sources and grant numbers provided.	s41564-020-00861-0.tsv
15.0	Conflicts of interest	Yes	Authors declare no competing interests.	s41564-020-00861-0.tsv
16.0	Supplementary data & files	Yes	Supplementary data referenced throughout.	s41564-020-00861-0.tsv
17.0	Sample & data availability	Yes	Comprehensive data availability statement provided.	s41564-020-00861-0.tsv
18.0	AI usage	No	No mention of AI usage in the study.	s41564-020-00861-0.tsv
1.0	Structured or unstructured abstract	Yes	Brief unstructured abstract present describing key aspects of study	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
1.1	Study design	Yes	Study design described in abstract and methods 	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
1.2	Environmental & sample information	Yes	Soil surface consortium and soil samples described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
1.3	Host information (if applicable)	NA	Not applicable - environmental samples	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
1.4	Experiments & omics methods	Yes	Metatranscriptomic sequencing methods described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
1.5	Analyses & results	Yes	Brief description of initial analysis provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
2.0	Background & rationale	Yes	Background on microbial inoculants provided with citations	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
2.1	Hypotheses or questions	Yes	Purpose to examine consortium with/without soil microbiome stated	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.0	Study design	Yes	Experimental design with treatments described in methods	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.1	Samples	Yes	Sample types and preparation detailed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.2	Environmental context & geographic location	Yes	Penn State's Agronomy Research Farm location specified	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.3	Relevant dates	Yes	5-week incubation period and other timings specified	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.4	Host(s) (if applicable)	NA	Not applicable - environmental samples	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.5	Ethics	NA	Not applicable for this type of study	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.6	Environmental conditions & experimental treatments	Yes	Detailed description of treatments and conditions provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.7	Sample collection	Yes	Sample collection and processing methods described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.8	Eligibility/selection criteria	Yes	Sample processing and selection criteria described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
3.9	Analytic sample size	Yes	Number of replicates (6) per treatment specified	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
4.0	Storage & preservation	Yes	Sample handling and storage conditions described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
4.1	Shipping	Yes	Shipping to JGI mentioned	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
4.2	Extraction methods	Yes	RNA extraction methods detailed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
4.3	Experiments & sample processing	Yes	Sample processing methods detailed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
4.4	Library preparation	Yes	Library preparation protocol described in detail	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
4.5	Depletion, enrichment, & multiplexing	Yes	rRNA removal and library prep details provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
4.6	Primer selection	NA	Not applicable for RNA-seq	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
5.0	Positive controls	No	No mention of controls	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
5.1	Negative controls	No	No mention of controls	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
6.0	Quantification & quality assessments	Yes	RNA quality assessment (RIN score) reported	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
6.1	Contaminant mitigation & identification	Yes	Contaminant removal in bioinformatics described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
6.2	Replication	Yes	6 replicates per treatment	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
6.3	Sequencing methods	Yes	Sequencing platform and parameters specified	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Only metatranscriptomics performed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
6.5	Contextual & linked datasets	Yes	Links to sequence data provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
6.6	Batch effects	No	Not discussed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics methods provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.1	Quality control	Yes	Quality control steps described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.2	Normalization	Yes	Normalization method specified	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.3	Database information	Yes	Database versions and parameters provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.4	Statistical methods	Yes	Analysis methods described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.5	Missing data	No	Not discussed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.6	Bias & confounding variables	No	Not discussed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.7	Subgroup analysis	Yes	Analysis by treatment groups described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.8	Sensitivity analyses	No	Not discussed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
7.9	Criteria for significance	Yes	Criteria for analyses specified	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
8.0	Metadata access	Yes	Data accessible through JGI GOLD database	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
8.1	Host data access (if applicable)	NA	Not applicable	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
8.2	Raw data access	Yes	Data availability and accession provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
8.3	Processed data access	Yes	Processed data available through JGI	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
8.4	Software & source code access	Yes	Software versions and parameters provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
8.5	Reproducible research	Yes	Methods described in reproducible detail	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
9.0	Descriptive data	Yes	Sample characteristics summarized in Table 1	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
10.0	Microbiome sequencing data	Yes	Sequencing results summarized	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
10.1	Metabolomics, proteomics, & other omics data	NA	Not applicable	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
10.2	Statistical analyses	Yes	Analysis results presented in Table 1	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
10.3	Figures, tables, & captions	Yes	Comprehensive data table provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
11.0	Key results	Yes	Initial findings briefly described	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
11.1	Interpretation	Yes	Brief interpretation provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
11.2	Limitations	No	Not discussed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
11.3	Generalizability	No	Not discussed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
12.0	Ongoing & future work	No	Not discussed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
13.0	Conclusions	Yes	Brief conclusions provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
14.0	Acknowledgements	Yes	Acknowledgements section included	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
14.1	Funding	Yes	Funding sources detailed	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
15.0	Conflicts of interest	No	No conflicts of interest statement	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
16.0	Supplementary data & files	No	No supplementary materials mentioned	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
17.0	Sample & data availability	Yes	Data availability statement with accession numbers provided	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
18.0	AI usage	NA	Published in 2020, before AI usage reporting requirements	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv
1.0	Structured or unstructured abstract	Yes	Unstructured abstract with background, methods, results and importance sections	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
1.1	Study design	Yes	Study design comparing mini-metagenomics and bulk metagenomics described in abstract	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
1.2	Environmental & sample information	Yes	Forest soil samples described in abstract and methods	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
1.3	Host information (if applicable)	NA	Not applicable - environmental soil samples	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
1.4	Experiments & omics methods	Yes	Mini-metagenomics and bulk metagenomics methods described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
1.5	Analyses & results	Yes	Key findings about genomic diversity described in abstract	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
2.0	Background & rationale	Yes	Detailed background on soil microbiome and metagenomic methods provided in introduction	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
2.1	Hypotheses or questions	Yes	Clear aim to compare mini-metagenomics and bulk approaches	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.0	Study design	Yes	Experimental design described in detail in methods	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.1	Samples	Yes	Four soil samples from experimental warming plots described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.2	Environmental context & geographic location	Yes	Harvard Forest Long Term Ecological Research site with coordinates provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.3	Relevant dates	Yes	Sample collection date (May 24, 2017) specified	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.4	Host(s) (if applicable)	NA	Not applicable - environmental samples	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.5	Ethics	NA	Not applicable for this type of study	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.6	Environmental conditions & experimental treatments	Yes	Experimental warming treatments described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.7	Sample collection	Yes	Detailed collection and processing methods provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.8	Eligibility/selection criteria	Yes	Sample selection criteria described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
3.9	Analytic sample size	Yes	Number of samples and replicates specified	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
4.0	Storage & preservation	Yes	Sample storage conditions (-80°C) described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
4.1	Shipping	Yes	Sample transport conditions described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
4.2	Extraction methods	Yes	DNA extraction protocol detailed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
4.3	Experiments & sample processing	Yes	Cell sorting and DNA amplification methods described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
4.4	Library preparation	Yes	Library preparation protocol detailed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
4.5	Depletion, enrichment, & multiplexing	Yes	Cell sorting enrichment described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
4.6	Primer selection	NA	Not applicable for shotgun sequencing	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
5.0	Positive controls	No	No controls mentioned	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
5.1	Negative controls	No	No controls mentioned	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
6.0	Quantification & quality assessments	Yes	Quality assessment of MAGs described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
6.1	Contaminant mitigation & identification	Yes	MAG quality filtering described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
6.2	Replication	Yes	Multiple replicates used	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
6.3	Sequencing methods	Yes	Sequencing platforms and parameters specified	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Only metagenomics performed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
6.5	Contextual & linked datasets	Yes	Reference datasets and databases described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
6.6	Batch effects	No	Not discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics methods provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.1	Quality control	Yes	Quality control steps described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.2	Normalization	Yes	Data normalization methods described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.3	Database information	Yes	All database versions specified	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.4	Statistical methods	Yes	Statistical analyses described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.5	Missing data	No	Not discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.6	Bias & confounding variables	Yes	Potential biases discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.7	Subgroup analysis	Yes	Analysis by taxonomic groups described	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.8	Sensitivity analyses	No	Not discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
7.9	Criteria for significance	Yes	Quality thresholds and criteria specified	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
8.0	Metadata access	Yes	Data availability information provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
8.1	Host data access (if applicable)	NA	Not applicable	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
8.2	Raw data access	Yes	Data deposited in NCBI GenBank with accession	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
8.3	Processed data access	Yes	Processed data availability detailed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
8.4	Software & source code access	Yes	All software versions and parameters provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
8.5	Reproducible research	Yes	Methods described in reproducible detail	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
9.0	Descriptive data	Yes	Sample characteristics summarized 	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
10.0	Microbiome sequencing data	Yes	Sequencing results presented	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
10.1	Metabolomics, proteomics, & other omics data	NA	Not applicable	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
10.2	Statistical analyses	Yes	Statistical results presented	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
10.3	Figures, tables, & captions	Yes	Clear figures and detailed captions provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
11.0	Key results	Yes	Key findings highlighted	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
11.1	Interpretation	Yes	Results interpreted in context	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
11.2	Limitations	Yes	Limitations discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
11.3	Generalizability	Yes	Generalizability discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
12.0	Ongoing & future work	Yes	Future applications discussed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
13.0	Conclusions	Yes	Clear conclusions provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
14.0	Acknowledgements	Yes	Detailed acknowledgements provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
14.1	Funding	Yes	Funding sources listed	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
15.0	Conflicts of interest	No	No conflicts of interest statement	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
16.0	Supplementary data & files	Yes	Supplementary figures and tables provided	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
17.0	Sample & data availability	Yes	Data availability statement with accession numbers	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
18.0	AI usage	NA	Published in 2020, before AI usage reporting requirements	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv
1.0	Structured or unstructured abstract	Yes	Abstract is unstructured but contains all recommended elements (background, methods, results, conclusions, significance)	s41597-024-04013-5.tsv
1.1	Study design	Yes	Study design (high temporal resolution field sampling) stated in abstract	s41597-024-04013-5.tsv
1.2	Environmental & sample information	Yes	Specifies East Sound, WA coastal waters and marine microbial samples (0.22-1.2 μm fraction)	s41597-024-04013-5.tsv
1.3	Host information (if applicable)	NA	No host organisms were studied	s41597-024-04013-5.tsv
1.4	Experiments & omics methods	Yes	States DNA sequencing and metagenomics methods, plus nutrient analysis and flow cytometry	s41597-024-04013-5.tsv
1.5	Analyses & results	Yes	Describes capturing bloom cycles and providing gene abundances for bacteria, archaea, and viruses	s41597-024-04013-5.tsv
2.0	Background & rationale	Yes	Extensive background on phytoplankton blooms and their importance provided in Background & Summary section	s41597-024-04013-5.tsv
2.1	Hypotheses or questions	Yes	Research aim to understand community-level controls on bloom cycles stated in introduction	s41597-024-04013-5.tsv
3.0	Study design	Yes	Details sampling frequency (4 hours), duration (22 days), location (East Sound, WA), and field vs. lab components throughout Methods	s41597-024-04013-5.tsv
3.1	Samples	Yes	Sample types, collection methods, and IDs detailed in Methods section	s41597-024-04013-5.tsv
3.2	Environmental context & geographic location	Yes	Detailed coordinates and site description provided in Methods (Lat: N 48° 40.590′, Long: W 122° 52.994′)	s41597-024-04013-5.tsv
3.3	Relevant dates	Yes	Study dates specified as May 27-June 18, 2021 with precise timing	s41597-024-04013-5.tsv
