accession	Package.content	Package.display_name	Status.status	Status.when	access	id	last_update	publication_date	submission_date	owner_name	description	organism_name	taxonomy_id	taxonomy_name	elev	env_broad_scale	env_local_scale	env_package	env_medium	geo_loc_name	host_subject_id	investigation_type	project_name	sample_name	sample_type	samp_store_dur	samp_store_loc	samp_store_temp	diet	host_body_habitat	host_body_product	host_tissue_sampled	host_common_name	host	host_taxid	host_diet	host_life_stage	host_sex	cur_vegetation	ph	oxy_stat_samp	experimental_factor	soil_type	life_stage	sex	host_substrate	chem_administration	gravidity	host_age	host_last_meal	host_family_relationship	substrate	store_cond	density	diss_oxygen	fluor	host_disease	air_temp	drainage_class	cur_land_use	water_content	water_content_soil_meth	local_class	fao_class	link_climate_info	ph_meth	soil_text_measure	samp_vol_we_dna_ext	carb_nitro_ratio	slope_gradient	tot_nitro	tot_org_carb	annual_season_temp	flooding	soil_horizon	link_class_info	soil_texture_meth
SAMEA7723681	Generic.1.0	Generic	live	2020-12-19T18:06:39.490	public	17117688	2021-08-23T00:27:03.000	2020-12-17T00:00:00.000	2020-12-18T18:08:10.110	EBI	assemblage of cells containing any living stage of bees except adults	insect metagenome	1234904	insect metagenome	51	tropical broadleaf forest biome	insecta-associated habitat	host-associated	organic material	Costa Rica:Puerto Viejo,La Selva Biological Station	broodcombs.13	metagenome	Pinto insects from Costa Rica: bees, leaf-cutter ants	qiita_sid_13114:13114.pinto.63.s027	brood combs			-80					Mariaseca		166442			female								wooden boxes																															
SAMEA7723682	Generic.1.0	Generic	live	2020-12-19T18:06:39.787	public	17117689	2021-08-23T00:27:05.000	2020-12-17T00:00:00.000	2020-12-18T18:08:10.393	EBI	sediment from Iberian Abyssal Plain	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	marine benthic feature	sediment	sediment	Atlantic Ocean:Northeast Atlantic Ocean,Iberian Abyssal Plain	AP7	metagenome	Deep marine sediments	qiita_sid_13114:13114.rohwer.85.s007	sediment																																																				
SAMEA7723683	Generic.1.0	Generic	live	2020-12-19T18:06:40.100	public	17117690	2021-08-23T00:27:05.000	2020-12-17T00:00:00.000	2020-12-18T18:08:10.706	EBI	Southern African bush elephant fecal sample	gut metagenome	749906	gut metagenome	283	urban biome	animal-associated habitat	host-associated	feces	USA: State of Georgia,Atlanta Zoo	ATL.Southern.African.bush.elephant	metagenome	EMP500 Song Study 51	qiita_sid_13114:13114.song.51.s018	stool		CU Boulder	-20C		UBERON:feces	UBERON:feces	UBERON:feces	Southern African bush elephant	Loxodonta africana africana	9785	herbivore		female																																							
SAMEA7723684	Generic.1.0	Generic	live	2020-12-19T18:06:40.410	public	17117691	2021-08-23T00:27:04.000	2020-12-17T00:00:00.000	2020-12-18T18:08:10.986	EBI	Giant otter fecal sample	gut metagenome	749906	gut metagenome	283	urban biome	animal-associated habitat	host-associated	feces	USA: State of Georgia,Atlanta Zoo	ATL.giant.otter1	metagenome	EMP500 Song Study 75	qiita_sid_13114:13114.song.75.s001	stool		CU Boulder	-20C		UBERON:feces	UBERON:feces	UBERON:feces	Giant otter	Pteronura brasiliensis	9672	carnivore		not determined																																							
SAMEA7723685	Generic.1.0	Generic	live	2020-12-19T18:06:40.710	public	17117692	2021-08-23T00:27:06.000	2020-12-17T00:00:00.000	2020-12-18T18:08:11.270	EBI	Florida manatee fecal sample	gut metagenome	749906	gut metagenome	1.6	urban biome	animal-associated habitat	host-associated	feces	USA: State of Florida,South Florida Museum	SFM.ace	metagenome	EMP500 Song Study 75	qiita_sid_13114:13114.song.75.s003	stool		CU Boulder	-20C		UBERON:feces	UBERON:feces	UBERON:feces	Florida manatee	Trichechus manatus latirostris	127582	herbivore		male																																							
SAMEA7723686	Generic.1.0	Generic	live	2020-12-19T18:06:41.020	public	17117693	2024-02-07T05:17:09.000	2020-12-17T00:00:00.000	2020-12-18T18:08:11.550	EBI	seawater passed through 0.2um filter	marine metagenome	408172	marine metagenome	0	marine pelagic biome	ocean water	water	ocean water	Mexico	NH1410_150	metagenome	OMZ microbial nutrient cycling	qiita_sid_13114:13114.stewart.26.s003	seawater			-80													aerobic													27.5536	40.609	0.0633																					
SAMEA7723687	Generic.1.0	Generic	live	2020-12-19T18:06:41.320	public	17117694	2021-08-23T00:27:05.000	2020-12-17T00:00:00.000	2020-12-18T18:08:11.846	EBI	seawater passed through 0.2um filter	marine metagenome	408172	marine metagenome	0	marine pelagic biome	ocean water	water	ocean water	Mexico	NH1410_206	metagenome	OMZ microbial nutrient cycling	qiita_sid_13114:13114.stewart.26.s007	seawater			-80													aerobic													24.4744	183.344	1.07																					
SAMEA7723688	Generic.1.0	Generic	live	2020-12-19T18:06:41.630	public	17117695	2021-08-23T00:27:05.000	2020-12-17T00:00:00.000	2020-12-18T18:08:12.126	EBI	surface sediment (top 1 cm)	marine sediment metagenome	412755	marine sediment metagenome	0	marine sediment	coastal water body	sediment	sediment	United Kingdom:Western English Channel	L4.sediment.4	metagenome	Earthmicrobiome_L4_2016	qiita_sid_13114:13114.tait.78.s001	sediment																	time																																			
SAMEA7723689	Generic.1.0	Generic	live	2020-12-19T18:06:42.007	public	17117696	2023-09-03T08:37:43.890	2020-12-17T00:00:00.000	2020-12-18T18:08:12.486	EBI	C.foliascens: 1tube of bacterial pellet called CAR1bac and 10 tubes of tissue called CAR1.1 to CAR1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.foliascens_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s001	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Phyllospongia foliascens	593584		adult					none, natural samples															healthy																				
SAMEA7723690	Generic.1.0	Generic	live	2020-12-19T18:06:42.380	public	17117697	2023-09-03T08:37:44.149	2020-12-17T00:00:00.000	2020-12-18T18:08:12.830	EBI	C.foliascens: 1tube of bacterial pellet called CAR2bac and 10 tubes of tissue called CAR2.1 to CAR2.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.foliascens_rep2	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s002	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Phyllospongia foliascens	593584		adult					none, natural samples															healthy																				
SAMEA7723691	Generic.1.0	Generic	live	2020-12-19T18:06:42.490	public	17117698	2023-09-03T08:37:44.183	2020-12-17T00:00:00.000	2020-12-18T18:08:13.173	EBI	C.foliascens: 1tube of bacterial pellet called CAR3bac and 10 tubes of tissue called CAR3.1 to CAR3.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.foliascens_rep3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s003	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Phyllospongia foliascens	593584		adult					none, natural samples															healthy																				
SAMEA7723692	Generic.1.0	Generic	live	2020-12-19T18:06:42.600	public	17117699	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:13.533	EBI	C.orientalis: 1tube of bacterial pellet called CLI1bac and 10 tubes of tissue called CLI1.1 to CLI1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.orientalis_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s008	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Cliona orientalis	281731		adult					none, natural samples															healthy																				
SAMEA7723693	Generic.1.0	Generic	live	2020-12-19T18:06:42.990	public	17117700	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:13.876	EBI	C.orientalis: 1tube of bacterial pellet called CLI3bac and 10 tubes of tissue called CLI3.1 to CLI3.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.orientalis_rep3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s010	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Cliona orientalis	281731		adult					none, natural samples															healthy																				
SAMEA7723694	Generic.1.0	Generic	live	2020-12-19T18:06:43.350	public	17117701	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:14.220	EBI	C.orientalis: 1tube of bacterial pellet called CLI4bac and 10 tubes of tissue called CLI4.1 to CLI4.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.orientalis_rep4	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s011	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Cliona orientalis	281731		adult					none, natural samples															healthy																				
SAMEA7723695	Generic.1.0	Generic	live	2020-12-19T18:06:43.723	public	17117702	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:14.566	EBI	C.matthwesi: 1tube of bacterial pellet called COS1bac and 10 tubes of tissue called COS1.1 to COS1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.matthewsi_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s012	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Coscinoderma mathewsi	1162777		adult					none, natural samples															healthy																				
SAMEA7723696	Generic.1.0	Generic	live	2020-12-19T18:06:44.100	public	17117703	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:14.923	EBI	C.matthwesi: 1tube of bacterial pellet called COS2bac and 10 tubes of tissue called COS2.1 to COS2.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.matthewsi_rep2	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s013	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Coscinoderma mathewsi	1162777		adult					none, natural samples															healthy																				
SAMEA7723697	Generic.1.0	Generic	live	2020-12-19T18:06:44.210	public	17117704	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:15.020	EBI	C.matthwesi: 1tube of bacterial pellet called COS3bac and 10 tubes of tissue called COS3.1 to COS3.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.matthewsi_rep3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s014	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Coscinoderma mathewsi	1162777		adult					none, natural samples															healthy																				
SAMEA7723698	Generic.1.0	Generic	live	2020-12-19T18:06:44.570	public	17117705	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:15.363	EBI	C.matthwesi: 1tube of bacterial pellet called COS4bac and 10 tubes of tissue called COS4.1 to COS4.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.matthewsi_rep4	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s015	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Coscinoderma mathewsi	1162777		adult					none, natural samples															healthy																				
SAMEA7723699	Generic.1.0	Generic	live	2020-12-19T18:06:44.927	public	17117706	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:15.706	EBI	I.ramose: 1tube of bacterial pellet called IRC1bac and 10 tubes of tissue called IRC1.1 to IRC1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	I.ramose_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s016	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Ircinia ramose	281041		adult					none, natural samples															healthy																				
SAMEA7723700	Generic.1.0	Generic	live	2020-12-19T18:06:45.037	public	17117707	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:16.066	EBI	I.ramose: 1tube of bacterial pellet called IRC3bac and 10 tubes of tissue called IRC3.1 to IRC3.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	I.ramose_rep3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s019	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Ircinia ramose	281041		adult					none, natural samples															healthy																				
SAMEA7723701	Generic.1.0	Generic	live	2020-12-19T18:06:45.410	public	17117708	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:16.143	EBI	P.heteropahis: 1tube of bacterial pellet called PER1bac and 10 tubes of tissue called PER1.1 to PER1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	P.heteroaphis_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s021	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Pericharax heteroaphis	197030		adult					none, natural samples															healthy																				
SAMEA7723702	Generic.1.0	Generic	live	2020-12-19T18:06:45.507	public	17117709	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:16.486	EBI	P.heteropahis: 1tube of bacterial pellet called PER2bac and 10 tubes of tissue called PER2.1 to PER2.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	P.heteroaphis_rep2	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s023	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Pericharax heteroaphis	197030		adult					none, natural samples															healthy																				
SAMEA7723703	Generic.1.0	Generic	live	2020-12-19T18:06:45.880	public	17117710	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:16.846	EBI	P.heteropahis: 1tube of bacterial pellet called PER3bac and 10 tubes of tissue called PER3.1 to PER3.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	P.heteroaphis_rep3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s024	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Pericharax heteroaphis	197030		adult					none, natural samples															healthy																				
SAMEA7723704	Generic.1.0	Generic	live	2020-12-19T18:06:46.240	public	17117711	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:17.190	EBI	P.heteropahis: 1tube of bacterial pellet called PER4bac and 10 tubes of tissue called PER4.1 to PER4.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	P.heteroaphis_rep4	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s025	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Pericharax heteroaphis	197030		adult					none, natural samples															healthy																				
SAMEA7723705	Generic.1.0	Generic	live	2020-12-19T18:06:46.350	public	17117712	2021-08-23T00:27:07.000	2020-12-17T00:00:00.000	2020-12-18T18:08:17.283	EBI	S.flabelliformis: 1tube of bacterial pellet called STY1bac and 10 tubes of tissue called STY1.1 to STY1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	S.flabelliformis_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s026	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Stylissa flabelliformis	237128		adult					none, natural samples															healthy																				
SAMEA7723706	Generic.1.0	Generic	live	2020-12-19T18:06:46.710	public	17117713	2021-08-23T00:27:08.000	2020-12-17T00:00:00.000	2020-12-18T18:08:17.643	EBI	S.flabelliformis: 1tube of bacterial pellet called STY2bac and 10 tubes of tissue called STY2.1 to STY2.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	S.flabelliformis_rep2	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s028	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Stylissa flabelliformis	237128		adult					none, natural samples															healthy																				
SAMEA7723707	Generic.1.0	Generic	live	2020-12-19T18:06:46.803	public	17117714	2021-08-23T00:27:08.000	2020-12-17T00:00:00.000	2020-12-18T18:08:18.003	EBI	S.flabelliformis: 1tube of bacterial pellet called STY3bac and 10 tubes of tissue called STY3.1 to STY3.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	S.flabelliformis_rep3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s029	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Stylissa flabelliformis	237128		adult					none, natural samples															healthy																				
SAMEA7723708	Generic.1.0	Generic	live	2020-12-19T18:06:47.177	public	17117715	2021-08-23T00:27:08.000	2020-12-17T00:00:00.000	2020-12-18T18:08:18.393	EBI	S.flabelliformis: 1tube of bacterial pellet called STY4bac and 10 tubes of tissue called STY4.1 to STY4.6	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	S.flabelliformis_rep4	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s030	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Stylissa flabelliformis	237128		adult					none, natural samples															healthy																				
SAMEA7723709	Generic.1.0	Generic	live	2020-12-19T18:06:47.287	public	17117716	2023-09-03T08:37:44.248	2020-12-17T00:00:00.000	2020-12-18T18:08:18.753	EBI	C.foliascens: 1tube of bacterial pellet called CAR1bac and 10 tubes of tissue called CAR1.1 to CAR1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.foliascens_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s031	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Phyllospongia foliascens	593584		adult					none, natural samples															healthy																				
SAMEA7723710	Generic.1.0	Generic	live	2020-12-19T18:06:47.647	public	17117717	2023-09-03T08:37:44.280	2020-12-17T00:00:00.000	2020-12-18T18:08:19.096	EBI	C.foliascens: 1tube of bacterial pellet called CAR2bac and 10 tubes of tissue called CAR2.1 to CAR2.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.foliascens_rep2	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s032	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Phyllospongia foliascens	593584		adult					none, natural samples															healthy																				
SAMEA7723711	Generic.1.0	Generic	live	2020-12-19T18:06:48.007	public	17117718	2023-09-03T08:37:44.309	2020-12-17T00:00:00.000	2020-12-18T18:08:19.173	EBI	C.foliascens: 1tube of bacterial pellet called CAR3bac and 10 tubes of tissue called CAR3.1 to CAR3.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.foliascens_rep3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s033	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Phyllospongia foliascens	593584		adult					none, natural samples															healthy																				
SAMEA7723712	Generic.1.0	Generic	live	2020-12-19T18:06:48.117	public	17117719	2023-09-03T08:37:44.344	2020-12-17T00:00:00.000	2020-12-18T18:08:19.533	EBI	C.foliascens: 1tube of bacterial pellet called CAR4bac and 10 tubes of tissue called CAR4.1 to CAR4.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.foliascens_rep4	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s034	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Phyllospongia foliascens	593584		adult					none, natural samples															healthy																				
SAMEA7723713	Generic.1.0	Generic	live	2020-12-19T18:06:48.473	public	17117720	2021-08-23T00:27:08.000	2020-12-17T00:00:00.000	2020-12-18T18:08:19.876	EBI	Chondrilla australiensis: 11 tubes: CHO1 is the bacterial pellet, tubes CHO1.1 - CHO1.10 are replicate tissue samples	sponge metagenome	1163772	sponge metagenome	0	marine subtidal rocky reef biome	marine benthic feature	host-associated	organic material	Australia:New South Wales,Sydney Metropolitan Area,Botany Bay,Bare Island	CHO1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s035	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Chondrilla australiensis	220711		adult					none, natural samples															healthy																				
SAMEA7723714	Generic.1.0	Generic	live	2020-12-19T18:06:48.833	public	17117721	2021-08-23T00:27:05.000	2020-12-17T00:00:00.000	2020-12-18T18:08:20.220	EBI	Chondrilla australiensis: 11 tubes: CHO2 is the bacterial pellet, tubes CHO2.1 - CHO2.10 are replicate tissue samples	sponge metagenome	1163772	sponge metagenome	0	marine subtidal rocky reef biome	marine benthic feature	host-associated	organic material	Australia:New South Wales,Sydney Metropolitan Area,Botany Bay,Bare Island	CHO2	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s036	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Chondrilla australiensis	220711		adult					none, natural samples															healthy																				
SAMEA7723715	Generic.1.0	Generic	live	2020-12-19T18:06:49.210	public	17117722	2021-08-23T00:27:09.000	2020-12-17T00:00:00.000	2020-12-18T18:08:20.580	EBI	Chondrilla australiensis: 11 tubes: CHO3 is the bacterial pellet, tubes CHO3.1 - CHO3.10 are replicate tissue samples	sponge metagenome	1163772	sponge metagenome	0	marine subtidal rocky reef biome	marine benthic feature	host-associated	organic material	Australia:New South Wales,Sydney Metropolitan Area,Botany Bay,Bare Island	CHO3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s037	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Chondrilla australiensis	220711		adult					none, natural samples															healthy																				
SAMEA7723716	Generic.1.0	Generic	live	2020-12-19T18:06:49.570	public	17117723	2021-08-23T00:27:09.000	2020-12-17T00:00:00.000	2020-12-18T18:08:20.940	EBI	C.orientalis: 1tube of bacterial pellet called CLI1bac and 10 tubes of tissue called CLI1.1 to CLI1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.orientalis_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s038	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Cliona orientalis	281731		adult					none, natural samples															healthy																				
SAMEA7723717	Generic.1.0	Generic	live	2020-12-19T18:06:49.677	public	17117724	2021-08-23T00:27:09.000	2020-12-17T00:00:00.000	2020-12-18T18:08:21.283	EBI	C.orientalis: 1tube of bacterial pellet called CLI2bac and 10 tubes of tissue called CLI2.1 to CLI2.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.orientalis_rep2	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s039	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Cliona orientalis	281731		adult					none, natural samples															healthy																				
SAMEA7723718	Generic.1.0	Generic	live	2020-12-19T18:06:50.037	public	17117725	2021-08-23T00:27:09.000	2020-12-17T00:00:00.000	2020-12-18T18:08:21.626	EBI	C.orientalis: 1tube of bacterial pellet called CLI3bac and 10 tubes of tissue called CLI3.1 to CLI3.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.orientalis_rep3	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s040	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Cliona orientalis	281731		adult					none, natural samples															healthy																				
SAMEA7723719	Generic.1.0	Generic	live	2020-12-19T18:06:50.410	public	17117726	2021-08-23T00:27:09.000	2020-12-17T00:00:00.000	2020-12-18T18:08:21.956	EBI	C.orientalis: 1tube of bacterial pellet called CLI4bac and 10 tubes of tissue called CLI4.1 to CLI4.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.orientalis_rep4	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s041	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Cliona orientalis	281731		adult					none, natural samples															healthy																				
SAMEA7723720	Generic.1.0	Generic	live	2020-12-19T18:06:50.520	public	17117727	2021-08-23T00:27:09.000	2020-12-17T00:00:00.000	2020-12-18T18:08:22.316	EBI	C.matthwesi: 1tube of bacterial pellet called COS1bac and 10 tubes of tissue called COS1.1 to COS1.10	sponge metagenome	1163772	sponge metagenome	0	marine coral reef biome	marine benthic feature	host-associated	organic material	Australia:Queensland,Great Barrier Reef,Davies Reef	C.matthewsi_rep1	metagenome	EMP sponge microbiome deep sequencing	qiita_sid_13114:13114.thomas.18.s042	sponge tissue					UBERON:multicellular organism	UBERON:multicellular organism	UBERON:multicellular organism		Coscinoderma mathewsi	1162777		adult					none, natural samples															healthy																				
