Key	basename	extension	LastModified	Size	obo_foundry_title	bioportal_name	registry_url
eco.db.gz	eco	db.gz	2025-02-05T06:26:54.000Z	5377679	Evidence and Conclusion Ontology	Evidence and Conclusion Ontology	
eco.owl	eco	owl	2022-06-20T01:51:11.000Z	6883952	Evidence and Conclusion Ontology	Evidence and Conclusion Ontology	
ecocore-relation-graph.tsv.gz	ecocore	relation-graph.tsv.gz	2022-06-20T01:51:12.000Z	5073887	An ontology of core ecological entities	An ontology of core ecological entities	
ecocore.db.gz	ecocore	db.gz	2025-02-05T06:26:56.000Z	30587831	An ontology of core ecological entities	An ontology of core ecological entities	
ecocore.owl	ecocore	owl	2022-06-20T01:51:17.000Z	20700022	An ontology of core ecological entities	An ontology of core ecological entities	
ecosim.db.gz	ecosim	db.gz	2025-02-01T21:46:14.000Z	1371838		ecosim ontology	https://data.bioontology.org/ontologies/ECOSIM/submissions/1/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb
ecso.db.gz	ecso	db.gz	2025-02-01T21:46:14.000Z	1471205		The Ecosystem Ontology	'https://data.bioontology.org/ontologies/ECSO/submissions/64/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb'
ecto-relation-graph.tsv.gz	ecto	relation-graph.tsv.gz	2022-06-20T01:51:18.000Z	13196717	Environmental conditions, treatments and exposures ontology	Environmental conditions, treatments and exposures ontology	
ecto.db.gz	ecto	db.gz	2025-02-05T06:27:03.000Z	56675702	Environmental conditions, treatments and exposures ontology	Environmental conditions, treatments and exposures ontology	
ecto.owl	ecto	owl	2022-06-20T01:51:24.000Z	62406135	Environmental conditions, treatments and exposures ontology	Environmental conditions, treatments and exposures ontology	
edam.db	edam	db	2022-10-17T16:11:19.000Z	11829248		EDAM - The data analysis and management ontology	http://edamontology.org/EDAM.owl
edam.db.gz	edam	db.gz	2025-02-01T21:46:15.000Z	2383711		EDAM - The data analysis and management ontology	http://edamontology.org/EDAM.owl
efo.db.gz	efo	db.gz	2025-02-01T21:46:15.000Z	150940306		Experimental Factor Ontology	http://www.ebi.ac.uk/efo/efo.owl
emapa-relation-graph.tsv.gz	emapa	relation-graph.tsv.gz	2022-06-20T01:51:41.000Z	701518	Mouse Developmental Anatomy Ontology	Mouse gross anatomy and development, timed	
emapa.db	emapa	db	2022-10-17T16:12:34.000Z	44933120	Mouse Developmental Anatomy Ontology	Mouse gross anatomy and development, timed	
emapa.db.gz	emapa	db.gz	2025-02-05T06:27:04.000Z	7529078	Mouse Developmental Anatomy Ontology	Mouse gross anatomy and development, timed	
emapa.owl	emapa	owl	2022-06-20T01:52:00.000Z	10907105	Mouse Developmental Anatomy Ontology	Mouse gross anatomy and development, timed	
enanomapper.db	enanomapper	db	2022-10-17T16:12:41.000Z	57860096			http://enanomapper.github.io/ontologies/enanomapper.owl
enanomapper.db.gz	enanomapper	db.gz	2025-02-05T06:27:08.000Z	15018326			http://enanomapper.github.io/ontologies/enanomapper.owl
enanomapper.owl.old	enanomapper	owl.old	2022-06-15T13:40:53.000Z	5645			http://enanomapper.github.io/ontologies/enanomapper.owl
enigma_context.db.gz	enigma_context	db.gz	2025-02-01T21:46:20.000Z	233359			https://raw.githubusercontent.com/jmchandonia/CORAL/main/example/enigma/ontologies/context_measurement_ontology.obo
envo-relation-graph.tsv.gz	envo	relation-graph.tsv.gz	2022-06-20T01:52:00.000Z	1700415	Environment Ontology	Environment Ontology	
envo.db-journal	envo.db	journal	2022-02-12T09:14:58.000Z	8720			
envo.db.gz	envo	db.gz	2025-02-05T06:27:14.000Z	14980101	Environment Ontology	Environment Ontology	
envo.owl	envo	owl	2022-06-20T01:52:04.000Z	10129540	Environment Ontology	Environment Ontology	
envthes.db.gz	envthes	db.gz	2025-02-05T06:27:18.000Z	3841677		Thesaurus for long-term ecological research, monitoring, experiments	https://vocabs.lter-europe.net/rest/v1/envthes/data?format=text/turtle
epio-relation-graph.tsv.ttl.tmp	epio	relation-graph.tsv.ttl.tmp	2022-06-20T01:52:09.000Z	4708339	Epilepsy Ontology	EpilepsyOntology	
epio.db.gz	epio	db.gz	2025-02-05T06:27:19.000Z	2863708	Epilepsy Ontology	EpilepsyOntology	
epio.owl	epio	owl	2022-06-20T01:52:10.000Z	3259140	Epilepsy Ontology	EpilepsyOntology	
eupath-relation-graph.tsv.gz	eupath	relation-graph.tsv.gz	2022-06-20T01:52:12.000Z	302403	VEuPathDB ontology	VEuPathDB Ontology	
eupath.db	eupath	db	2022-10-17T16:12:55.000Z	19828736	VEuPathDB ontology	VEuPathDB Ontology	
eupath.db.gz	eupath	db.gz	2025-02-05T06:27:21.000Z	4512627	VEuPathDB ontology	VEuPathDB Ontology	
eupath.owl	eupath	owl	2022-06-20T01:52:14.000Z	4650296	VEuPathDB ontology	VEuPathDB Ontology	
exo-relation-graph.tsv.gz	exo	relation-graph.tsv.gz	2022-06-20T01:52:15.000Z	4889	Exposure ontology	Exposure Ontology	
exo.db	exo	db	2022-10-17T16:12:57.000Z	749568	Exposure ontology	Exposure Ontology	
exo.db.gz	exo	db.gz	2025-02-05T06:27:20.000Z	148819	Exposure ontology	Exposure Ontology	
exo.owl	exo	owl	2022-06-20T01:52:18.000Z	255174	Exposure ontology	Exposure Ontology	
fao-relation-graph.tsv.gz	fao	relation-graph.tsv.gz	2022-06-20T01:52:18.000Z	4529	Fungal gross anatomy	Fungal Gross Anatomy Ontology	
fao.db	fao	db	2022-10-17T16:12:58.000Z	741376	Fungal gross anatomy	Fungal Gross Anatomy Ontology	
fao.db.gz	fao	db.gz	2025-02-05T06:27:22.000Z	147441	Fungal gross anatomy	Fungal Gross Anatomy Ontology	
fao.owl	fao	owl	2022-06-20T01:52:19.000Z	235282	Fungal gross anatomy	Fungal Gross Anatomy Ontology	
fbbi-relation-graph.tsv.gz	fbbi	relation-graph.tsv.gz	2022-06-20T01:52:20.000Z	13880	Biological Imaging Methods Ontology	Biological Imaging Methods Ontology	
fbbi.db	fbbi	db	2022-10-17T16:12:59.000Z	2019328	Biological Imaging Methods Ontology	Biological Imaging Methods Ontology	
fbbi.db.gz	fbbi	db.gz	2025-02-05T06:27:22.000Z	384717	Biological Imaging Methods Ontology	Biological Imaging Methods Ontology	
fbbi.owl	fbbi	owl	2022-06-20T01:52:21.000Z	768600	Biological Imaging Methods Ontology	Biological Imaging Methods Ontology	
fbbt-relation-graph.tsv.gz	fbbt	relation-graph.tsv.gz	2022-06-20T01:52:22.000Z	22011872	Drosophila gross anatomy		
fbbt.db.gz	fbbt	db.gz	2025-02-05T06:27:23.000Z	444173464	Drosophila gross anatomy		
fbbt.owl	fbbt	owl	2022-06-20T01:52:28.000Z	76269898	Drosophila gross anatomy		
fbcv-relation-graph.tsv.gz	fbcv	relation-graph.tsv.gz	2022-06-20T01:52:35.000Z	445046	FlyBase Controlled Vocabulary		
fbcv.db.gz	fbcv	db.gz	2025-02-05T06:27:27.000Z	3845661	FlyBase Controlled Vocabulary		
fbcv.owl	fbcv	owl	2022-06-20T01:52:44.000Z	5749634	FlyBase Controlled Vocabulary		
fbdv-relation-graph.tsv.gz	fbdv	relation-graph.tsv.gz	2022-06-20T01:52:45.000Z	222394	Drosophila development		
fbdv.db	fbdv	db	2022-10-17T16:13:18.000Z	7684096	Drosophila development		
fbdv.db.gz	fbdv	db.gz	2025-02-05T06:27:23.000Z	1318202	Drosophila development		
fbdv.owl	fbdv	owl	2022-06-20T01:52:46.000Z	802844	Drosophila development		
fhkb.db.gz	fhkb	db.gz	2025-02-01T21:46:27.000Z	74056			
fibo.db.gz	fibo	db.gz	2025-02-01T21:46:28.000Z	13814070			https://spec.edmcouncil.org/fibo/ontology/AboutFIBOProd/
fideo-relation-graph.tsv.gz	fideo	relation-graph.tsv.gz	2022-06-20T01:52:47.000Z	10181	Food Interactions with Drugs Evidence Ontology	Food Interactions with Drugs Evidence Ontology	
fideo.db	fideo	db	2022-10-17T16:13:20.000Z	12722176	Food Interactions with Drugs Evidence Ontology	Food Interactions with Drugs Evidence Ontology	
fideo.db.gz	fideo	db.gz	2025-02-05T06:27:25.000Z	1849785	Food Interactions with Drugs Evidence Ontology	Food Interactions with Drugs Evidence Ontology	
fideo.owl	fideo	owl	2022-06-20T01:52:49.000Z	334714	Food Interactions with Drugs Evidence Ontology	Food Interactions with Drugs Evidence Ontology	
flopo-relation-graph.tsv.gz	flopo	relation-graph.tsv.gz	2022-06-20T01:52:50.000Z	7571055	Flora Phenotype Ontology	Flora Phenotype Ontology	
flopo.db.gz	flopo	db.gz	2025-02-05T06:27:27.000Z	51794371	Flora Phenotype Ontology	Flora Phenotype Ontology	
flopo.owl	flopo	owl	2022-06-20T01:52:51.000Z	62498877	Flora Phenotype Ontology	Flora Phenotype Ontology	
fma.db.gz	fma	db.gz	2025-02-05T06:27:31.000Z	628017413	Foundational Model of Anatomy Ontology (subset)	Foundational Model of Anatomy	http://sig.biostr.washington.edu/share/downloads/fma/release/latest/fma.owl
fobi-relation-graph.tsv.gz	fobi	relation-graph.tsv.gz	2022-06-20T01:53:02.000Z	80931	Food-Biomarker Ontology	FOBI (Food-Biomarker Ontology)	
fobi.db	fobi	db	2022-10-17T16:14:16.000Z	8892416	Food-Biomarker Ontology	FOBI (Food-Biomarker Ontology)	
fobi.db.gz	fobi	db.gz	2025-02-05T06:27:37.000Z	1620826	Food-Biomarker Ontology	FOBI (Food-Biomarker Ontology)	
fobi.owl	fobi	owl	2022-06-20T01:53:06.000Z	2640677	Food-Biomarker Ontology	FOBI (Food-Biomarker Ontology)	
foo.db	foo	db	2021-05-18T01:34:24.000Z	57344			
foodon-relation-graph.tsv.gz	foodon	relation-graph.tsv.gz	2022-06-20T01:53:08.000Z	4036406	Food Ontology	The FoodOn Food Ontology	http://purl.obolibrary.org/obo/foodon.owl
foodon.db.gz	foodon	db.gz	2025-02-05T06:27:39.000Z	50458969	Food Ontology	The FoodOn Food Ontology	http://purl.obolibrary.org/obo/foodon.owl
foodon.owl	foodon	owl	2022-06-20T01:53:09.000Z	40123872	Food Ontology	The FoodOn Food Ontology	http://purl.obolibrary.org/obo/foodon.owl
fovt-relation-graph.tsv.gz	fovt	relation-graph.tsv.gz	2022-06-20T01:53:17.000Z	7836316	FuTRES Ontology of Vertebrate Traits	FuTRES Ontology of Vertebrate Traits	
fovt.db.gz	fovt	db.gz	2025-02-05T06:28:01.000Z	74703499	FuTRES Ontology of Vertebrate Traits	FuTRES Ontology of Vertebrate Traits	
fovt.owl	fovt	owl	2022-06-20T01:53:43.000Z	20156463	FuTRES Ontology of Vertebrate Traits	FuTRES Ontology of Vertebrate Traits	
fypo-relation-graph.tsv.gz	fypo	relation-graph.tsv.gz	2022-06-20T01:53:48.000Z	9720548	Fission Yeast Phenotype Ontology	Fission Yeast Phenotype Ontology	
fypo.db.gz	fypo	db.gz	2025-02-05T06:28:18.000Z	58415565	Fission Yeast Phenotype Ontology	Fission Yeast Phenotype Ontology	
fypo.owl	fypo	owl	2022-06-20T01:53:51.000Z	100255019	Fission Yeast Phenotype Ontology	Fission Yeast Phenotype Ontology	
gard.db.gz	gard	db.gz	2025-02-05T06:28:48.000Z	2336625			https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/gard.owl
gecko-relation-graph.tsv.gz	gecko	relation-graph.tsv.gz	2022-06-20T01:54:02.000Z	2550	Genomics Cohorts Knowledge Ontology	Genomics Cohorts Knowledge Ontology	
gecko.db	gecko	db	2022-10-17T16:15:04.000Z	536576	Genomics Cohorts Knowledge Ontology	Genomics Cohorts Knowledge Ontology	
gecko.db.gz	gecko	db.gz	2025-02-05T06:28:53.000Z	113020	Genomics Cohorts Knowledge Ontology	Genomics Cohorts Knowledge Ontology	
gecko.owl	gecko	owl	2022-06-20T01:54:04.000Z	160220	Genomics Cohorts Knowledge Ontology	Genomics Cohorts Knowledge Ontology	
genepio.db.gz	genepio	db.gz	2025-02-05T06:29:01.000Z	6527289	Genomic Epidemiology Ontology	Genomic Epidemiology Application Ontology 	
geno-relation-graph.tsv.gz	geno	relation-graph.tsv.gz	2022-06-20T01:54:05.000Z	38495	Genotype Ontology	Genotype Ontology	
geno.db	geno	db	2022-10-17T16:15:04.000Z	2899968	Genotype Ontology	Genotype Ontology	
geno.db.gz	geno	db.gz	2025-02-05T06:29:02.000Z	615005	Genotype Ontology	Genotype Ontology	
geno.owl	geno	owl	2022-06-20T01:54:07.000Z	634329	Genotype Ontology	Genotype Ontology	
geo-relation-graph.tsv.gz	geo	relation-graph.tsv.gz	2022-06-20T01:54:07.000Z	3188	Geographical Entity Ontology	Geographical Entity Ontology	
geo.db	geo	db	2022-10-17T16:15:05.000Z	1003520	Geographical Entity Ontology	Geographical Entity Ontology	
geo.db.gz	geo	db.gz	2025-02-05T06:29:01.000Z	214032	Geographical Entity Ontology	Geographical Entity Ontology	
geo.owl	geo	owl	2022-06-20T01:54:07.000Z	325667	Geographical Entity Ontology	Geographical Entity Ontology	
gno-relation-graph.tsv.gz	gno	relation-graph.tsv.gz	2022-06-20T01:54:08.000Z	4236790	Glycan Naming and Subsumption Ontology (GNOme)	Glycan Naming Ontology	
gno.db.gz	gno	db.gz	2025-02-05T06:29:02.000Z	133918902	Glycan Naming and Subsumption Ontology (GNOme)	Glycan Naming Ontology	
gno.owl	gno	owl	2022-06-20T01:54:09.000Z	111657840	Glycan Naming and Subsumption Ontology (GNOme)	Glycan Naming Ontology	
go-amigo.db.gz	go	amigo.db.gz	2025-02-05T06:29:02.000Z	1155586241	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go-lego.db.gz	go	lego.db.gz	2025-02-05T06:29:04.000Z	1777838118	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go-nucleus-relation-graph.tsv.gz	go	nucleus-relation-graph.tsv.gz	2022-05-31T05:50:36.000Z	21749	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go-nucleus.db	go	nucleus.db	2022-10-17T16:15:12.000Z	1847296	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go-nucleus.db.old	go	nucleus.db.old	2022-05-31T05:50:44.000Z	1310720	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go-nucleus.owl	go	nucleus.owl	2022-05-31T05:50:47.000Z	495695	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go-plus.db	go	plus.db	2022-10-17T16:15:13.000Z	532480	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go-relation-graph.tsv.gz	go	relation-graph.tsv.gz	2022-06-20T01:54:30.000Z	36560630	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go.db.gz	go	db.gz	2025-02-05T06:30:23.000Z	285882090	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go.owl	go	owl	2022-06-20T01:54:41.000Z	226540271	Gene Ontology	Gene Ontology	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
goa_uniprot_all.db	goa_uniprot_all	db	2022-10-17T16:15:39.000Z	8192			
goldterms.db.gz	goldterms	db.gz	2025-02-05T06:29:52.000Z	2949396		GOLD Ecosystem Classification	https://raw.githubusercontent.com/cmungall/gold-ontology/main/gold.owl
gsso-relation-graph.tsv	gsso	relation-graph.tsv	2022-06-20T01:55:08.000Z	8193063	Gender, Sex, and Sexual Orientation (GSSO) ontology	Gender, Sex, and Sexual Orientation Ontology	
gsso.db.gz	gsso	db.gz	2025-02-05T06:29:52.000Z	644	Gender, Sex, and Sexual Orientation (GSSO) ontology	Gender, Sex, and Sexual Orientation Ontology	
gsso.db.tmp	gsso	db.tmp	2022-06-20T01:55:08.000Z	532480	Gender, Sex, and Sexual Orientation (GSSO) ontology	Gender, Sex, and Sexual Orientation Ontology	
gsso.owl	gsso	owl	2022-06-20T01:55:08.000Z	17904543	Gender, Sex, and Sexual Orientation (GSSO) ontology	Gender, Sex, and Sexual Orientation Ontology	
gtdb.db.gz	gtdb	db.gz	2025-02-01T21:47:15.000Z	63417498			https://w3id.org/biopragmatics/resources/gtdb/gtdb.owl
hancestro-relation-graph.tsv.gz	hancestro	relation-graph.tsv.gz	2022-06-20T01:55:10.000Z	11268	Human Ancestry Ontology	Human Ancestry Ontology	
hancestro.db	hancestro	db	2022-10-17T16:15:41.000Z	2437120	Human Ancestry Ontology	Human Ancestry Ontology	
hancestro.db.gz	hancestro	db.gz	2025-02-05T06:29:52.000Z	1698060	Human Ancestry Ontology	Human Ancestry Ontology	
hancestro.owl	hancestro	owl	2022-06-20T01:55:13.000Z	837074	Human Ancestry Ontology	Human Ancestry Ontology	
hao-relation-graph.tsv.gz	hao	relation-graph.tsv.gz	2022-06-20T01:55:14.000Z	402852	Hymenoptera Anatomy Ontology	Hymenoptera Anatomy Ontology	
hao.db	hao	db	2022-10-17T16:15:42.000Z	35266560	Hymenoptera Anatomy Ontology	Hymenoptera Anatomy Ontology	
hao.db.gz	hao	db.gz	2025-02-05T06:29:52.000Z	4518100	Hymenoptera Anatomy Ontology	Hymenoptera Anatomy Ontology	
hao.owl	hao	owl	2022-06-20T01:55:15.000Z	6923086	Hymenoptera Anatomy Ontology	Hymenoptera Anatomy Ontology	
hba.db.gz	hba	db.gz	2025-02-05T06:29:53.000Z	1379099			https://github.com/brain-bican/human_brain_atlas_ontology/raw/main/hbao-base.owl
hcao.db.gz	hcao	db.gz	2025-02-01T21:47:26.000Z	155640919			https://raw.githubusercontent.com/HumanCellAtlas/ontology/master/hcao.owl
hgnc.db.gz	hgnc	db.gz	2025-02-01T21:47:36.000Z	74978911		HUGO Gene Nomenclature	https://github.com/biopragmatics/obo-db-ingest/raw/main/export/hgnc/2022-06-01/hgnc.owl.gz
hgnc.genegroup.db.gz	hgnc	genegroup.db.gz	2025-02-01T21:47:39.000Z	1423023		HUGO Gene Nomenclature	https://github.com/biopragmatics/obo-db-ingest/raw/main/export/hgnc/2022-06-01/hgnc.owl.gz
hom-relation-graph.tsv.gz	hom	relation-graph.tsv.gz	2022-06-20T01:55:16.000Z	958	Homology Ontology	Ontology of Homology and Related Concepts in Biology	
hom.db	hom	db	2022-10-17T16:15:49.000Z	532480	Homology Ontology	Ontology of Homology and Related Concepts in Biology	
hom.db.gz	hom	db.gz	2025-02-05T06:29:53.000Z	79271	Homology Ontology	Ontology of Homology and Related Concepts in Biology	
hom.owl	hom	owl	2022-06-20T01:55:19.000Z	128079	Homology Ontology	Ontology of Homology and Related Concepts in Biology	
hp-relation-graph.tsv.gz	hp	relation-graph.tsv.gz	2022-06-20T01:55:19.000Z	21273554	Human Phenotype Ontology (HPO)	Human Phenotype Ontology	
hp.db.gz	hp	db.gz	2025-02-05T06:29:53.000Z	87804954	Human Phenotype Ontology (HPO)	Human Phenotype Ontology	
hp.owl	hp	owl	2022-06-20T01:55:23.000Z	95344503	Human Phenotype Ontology (HPO)	Human Phenotype Ontology	
hpinternational.db.gz	hpinternational	db.gz	2025-02-01T21:47:44.000Z	152804685			http://purl.obolibrary.org/obo/hp/hp-international.owl
hsapdv-relation-graph.tsv.gz	hsapdv	relation-graph.tsv.gz	2022-06-20T01:55:25.000Z	24410	Human Developmental Stages	Human Developmental Stages Ontology	
hsapdv.db	hsapdv	db	2022-10-17T16:16:04.000Z	2342912	Human Developmental Stages	Human Developmental Stages Ontology	
hsapdv.db.gz	hsapdv	db.gz	2025-02-05T06:29:57.000Z	398716	Human Developmental Stages	Human Developmental Stages Ontology	
hsapdv.owl	hsapdv	owl	2022-06-20T01:55:27.000Z	610323	Human Developmental Stages	Human Developmental Stages Ontology	
hso-relation-graph.tsv.gz	hso	relation-graph.tsv.gz	2022-06-20T01:55:29.000Z	24327	Health Surveillance Ontology	Health Surveillance Ontology	
hso.db	hso	db	2022-10-17T16:16:06.000Z	3870720	Health Surveillance Ontology	Health Surveillance Ontology	
hso.db.gz	hso	db.gz	2025-02-05T06:29:57.000Z	797134	Health Surveillance Ontology	Health Surveillance Ontology	
hso.owl	hso	owl	2022-06-20T01:55:31.000Z	1360649	Health Surveillance Ontology	Health Surveillance Ontology	
htn-relation-graph.tsv.gz	htn	relation-graph.tsv.gz	2022-06-20T01:55:32.000Z	33183	Hypertension Ontology	Hypertension Ontology	
htn.db	htn	db	2022-10-17T16:16:07.000Z	3723264	Hypertension Ontology	Hypertension Ontology	
htn.db.gz	htn	db.gz	2025-02-05T06:29:57.000Z	828221	Hypertension Ontology	Hypertension Ontology	
htn.owl	htn	owl	2022-06-20T01:55:34.000Z	1322052	Hypertension Ontology	Hypertension Ontology	
iao-relation-graph.tsv.gz	iao	relation-graph.tsv.gz	2022-06-20T01:55:35.000Z	9087	Information Artifact Ontology	Information Artifact Ontology	
iao.db	iao	db	2022-10-17T16:16:08.000Z	1691648	Information Artifact Ontology	Information Artifact Ontology	
iao.db.gz	iao	db.gz	2025-02-05T06:29:57.000Z	389256	Information Artifact Ontology	Information Artifact Ontology	
iao.owl	iao	owl	2022-06-20T01:55:38.000Z	560430	Information Artifact Ontology	Information Artifact Ontology	
icd10cm.db.gz	icd10cm	db.gz	2025-02-01T21:47:46.000Z	26205683		International Classification of Diseases, Version 10 - Clinical Modification	https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/icd10cm.owl
icd10who.db.gz	icd10who	db.gz	2025-02-05T06:29:57.000Z	3305653			https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/icd10who.owl
iceo-relation-graph.tsv.gz	iceo	relation-graph.tsv.gz	2022-06-20T01:55:38.000Z	6388459	Integrative and Conjugative Element Ontology	Integrative and Conjugative Element Ontology	
iceo.db.gz	iceo	db.gz	2025-02-05T06:29:57.000Z	61229308	Integrative and Conjugative Element Ontology	Integrative and Conjugative Element Ontology	
iceo.owl	iceo	owl	2022-06-20T01:55:40.000Z	37318862	Integrative and Conjugative Element Ontology	Integrative and Conjugative Element Ontology	
ico-relation-graph.tsv.gz	ico	relation-graph.tsv.gz	2022-06-20T01:55:49.000Z	38381	Informed Consent Ontology	Informed Consent Ontology	
ico.db	ico	db	2022-10-17T16:16:26.000Z	4485120	Informed Consent Ontology	Informed Consent Ontology	
ico.db.gz	ico	db.gz	2025-02-05T06:29:59.000Z	991919	Informed Consent Ontology	Informed Consent Ontology	
ico.owl	ico	owl	2022-06-20T01:55:52.000Z	1510583	Informed Consent Ontology	Informed Consent Ontology	
ido-relation-graph.tsv.gz	ido	relation-graph.tsv.gz	2022-06-20T01:55:53.000Z	12075	Infectious Disease Ontology	Infectious Disease Ontology	
ido.db	ido	db	2022-10-17T16:16:27.000Z	2220032	Infectious Disease Ontology	Infectious Disease Ontology	
ido.db.gz	ido	db.gz	2025-02-05T06:29:59.000Z	469497	Infectious Disease Ontology	Infectious Disease Ontology	
ido.owl	ido	owl	2022-06-20T01:55:56.000Z	766591	Infectious Disease Ontology	Infectious Disease Ontology	
ino-relation-graph.tsv.gz	ino	relation-graph.tsv.gz	2022-06-20T01:55:57.000Z	12218	Interaction Network Ontology	Interaction Network Ontology	
ino.db	ino	db	2022-10-17T16:16:28.000Z	1495040	Interaction Network Ontology	Interaction Network Ontology	
ino.db.gz	ino	db.gz	2025-02-05T06:30:00.000Z	330515	Interaction Network Ontology	Interaction Network Ontology	
ino.owl	ino	owl	2022-06-20T01:55:59.000Z	492962	Interaction Network Ontology	Interaction Network Ontology	
inst.db	inst	db	2022-10-17T16:16:30.000Z	532480			
interpro.db.gz	interpro	db.gz	2025-02-01T21:47:53.000Z	14256550			https://w3id.org/biopragmatics/resources/interpro/interpro.obo
iof.db.gz	iof	db.gz	2025-02-05T06:30:00.000Z	387093			https://spec.industrialontologies.org/ontology/AboutIOFProd/
ito.db.gz	ito	db.gz	2025-02-05T06:30:00.000Z	57605730		Intelligence Task Ontology	https://github.com/OpenBioLink/ITO/raw/master/ITO.owl.zip
ito.db.gz.old	ito	db.gz.old	2024-08-14T02:24:38.000Z	61265807		Intelligence Task Ontology	https://github.com/OpenBioLink/ITO/raw/master/ITO.owl.zip
kegg.genome.db.gz	kegg	genome.db.gz	2025-02-01T21:47:59.000Z	35			
kgcl.db.gz	kgcl	db.gz	2025-02-01T21:47:59.000Z	184756		Knowledge Graph Change Language	https://w3id.org/kgcl/kgcl.owl.ttl
kin.db.gz	kin	db.gz	2025-02-05T06:30:02.000Z	40642			http://purl.org/ga4gh/kin.owl
kisao-relation-graph.tsv.gz	kisao	relation-graph.tsv.gz	2022-06-20T01:56:01.000Z	33519	Kinetic Simulation Algorithm Ontology	Kinetic Simulation Algorithm Ontology	
kisao.db	kisao	db	2022-10-17T16:16:30.000Z	6971392	Kinetic Simulation Algorithm Ontology	Kinetic Simulation Algorithm Ontology	
kisao.db.gz	kisao	db.gz	2025-02-05T06:30:03.000Z	770672	Kinetic Simulation Algorithm Ontology	Kinetic Simulation Algorithm Ontology	
kisao.owl	kisao	owl	2022-06-20T01:56:02.000Z	1094726	Kinetic Simulation Algorithm Ontology	Kinetic Simulation Algorithm Ontology	
labo-relation-graph.tsv.gz	labo	relation-graph.tsv.gz	2022-06-20T01:56:04.000Z	5557	clinical LABoratory Ontology	clinical LABoratory Ontology	
labo.db	labo	db	2022-10-17T16:16:32.000Z	1175552	clinical LABoratory Ontology	clinical LABoratory Ontology	
labo.db.gz	labo	db.gz	2025-02-05T06:30:03.000Z	257741	clinical LABoratory Ontology	clinical LABoratory Ontology	
labo.owl	labo	owl	2022-06-20T01:56:07.000Z	380157	clinical LABoratory Ontology	clinical LABoratory Ontology	
lepao-relation-graph.tsv.gz	lepao	relation-graph.tsv.gz	2022-06-20T01:56:07.000Z	137078	Lepidoptera Anatomy Ontology	Lepidoptera Anatomy Ontology	
lepao.db	lepao	db	2022-10-17T16:16:33.000Z	11046912	Lepidoptera Anatomy Ontology	Lepidoptera Anatomy Ontology	
lepao.db.gz	lepao	db.gz	2025-02-05T06:30:04.000Z	1940269	Lepidoptera Anatomy Ontology	Lepidoptera Anatomy Ontology	
lepao.owl	lepao	owl	2022-06-20T01:56:15.000Z	3044039	Lepidoptera Anatomy Ontology	Lepidoptera Anatomy Ontology	
ma-relation-graph.tsv.gz	ma	relation-graph.tsv.gz	2022-06-20T01:56:17.000Z	177539	Mouse adult gross anatomy	Mouse Adult Gross Anatomy Ontology	
ma.db	ma	db	2022-10-17T16:16:37.000Z	10653696	Mouse adult gross anatomy	Mouse Adult Gross Anatomy Ontology	
ma.db.gz	ma	db.gz	2025-02-05T06:30:04.000Z	1874063	Mouse adult gross anatomy	Mouse Adult Gross Anatomy Ontology	
ma.owl	ma	owl	2022-06-20T01:56:23.000Z	2699120	Mouse adult gross anatomy	Mouse Adult Gross Anatomy Ontology	
mamo-relation-graph.tsv.gz	mamo	relation-graph.tsv.gz	2022-06-20T01:56:25.000Z	3408	Mathematical modeling ontology	Mathematical Modelling Ontology	
mamo.db	mamo	db	2022-10-17T16:16:40.000Z	778240	Mathematical modeling ontology	Mathematical Modelling Ontology	
mamo.db.gz	mamo	db.gz	2022-09-12T02:11:36.000Z	104395	Mathematical modeling ontology	Mathematical Modelling Ontology	
mamo.owl	mamo	owl	2022-06-20T01:56:27.000Z	126934	Mathematical modeling ontology	Mathematical Modelling Ontology	
matcher-test.db.old	matcher	test.db.old	2022-04-21T01:20:16.000Z	532480			
maxo-relation-graph.tsv.gz	maxo	relation-graph.tsv.gz	2022-06-20T01:56:28.000Z	15729464	Medical Action Ontology	Medical Action Ontology	http://purl.obolibrary.org/obo/maxo.owl
